id,g1,d1_m,b1_deg,w1,g2,d2_m,b2_deg,w2,g3,d3_m,b3_deg,w3
12391609,2320,2369.860951482597,62.36057611487007,0.6176001070271374,16019,4016.050007017563,257.20076294510267,0.3516797639446808,1720,3115.163422551416,345.0995497140892,0.030720129028181845
12391608,2320,2080.035369473255,90.28633904693112,0.5938915527330938,16019,4414.461643635915,243.06755344540608,0.2678924505054551,2790,4279.42633896625,351.10639592229074,0.1382159967614512
12391607,2320,2345.3887352454176,118.52950022863342,0.49047081651713487,16008,3037.4555975153885,263.3061580508601,0.2885537505194647,2790,3191.688042013056,347.6799480368111,0.22097543296340041
12367103,16053,3896.867083123119,321.66098467379453,0.41116160785456013,16013,3856.390251022125,188.86325292811853,0.3192041305835582,16095,4412.975489023538,96.1253727246671,0.2696342615618816
12367102,16006,2036.1020012322967,236.1348391648732,0.6374905565141139,5700,4593.160476657571,25.80227090293681,0.21644005645353592,16095,4644.731425977272,109.8963007050425,0.14606938703235012
12290104,16075,4135.238894517838,42.397396433868266,0.374536718156548,16074,3936.620104315129,297.11646246147865,0.34521983181296784,16071,5810.630256448905,178.32752246017492,0.2802434500304841
12290103,16075,3380.223069946351,54.89299550526249,0.4701180125662204,16074,3592.692687898818,280.9831714366536,0.37934897318601524,16069,6931.113862423374,183.4511614291553,0.15053301424776427
12290102,16074,3575.255157757508,263.16728569195914,0.47778800583526027,16065,5632.574681150271,32.16144894139967,0.28099205565277546,16066,5706.996304576236,147.71184907149916,0.2412199385119642
12290101,16065,4715.545892789331,39.12028366760296,0.3288220291423059,16074,3888.703632148172,246.74767902104884,0.5090750994419573,16061,5991.183674004572,114.1333128698547,0.16210287141573676
12290100,16065,3900.1711998111937,49.19727922044024,0.3631316049063194,16075,3031.493048620556,117.19644058910932,0.2547520304067523,16074,4463.871890022457,233.6625232201744,0.38211636468692833
12290099,16065,3263.555809851383,63.84157609561561,0.5981479196069133,16075,3656.9993561722977,133.02770091889022,0.03852695596857065,16074,5214.870122435152,223.9430538867384,0.36332512442451603
12342625,16036,3771.206263970912,38.762729663145706,0.7664033752739933,16033,5584.986143068977,285.19695345332025,0.5160696359525705,16046,4737.166633156841,332.94562430946587,-0.2824730112265637
12342624,16036,2971.17598580826,51.961667227737166,0.6921174156832274,16046,3794.6844529533455,325.015897535952,-0.04776434662277575,16033,5422.312177530152,273.7460187524673,0.35564693093954836
12367114,16020,2648.4984468137263,355.5192173585551,0.3401896498243632,16030,2753.9456023666125,246.7033199484831,0.35129566687414593,16044,3329.326579561464,116.37921077084695,0.30851468330149084
12367113,16019,4102.543666967726,32.992473188632175,0.30290594595807147,16042,3494.310807150911,157.6259127321896,0.2563672846134716,16026,2576.906878346816,255.64159003151053,0.4407267694284569
12367112,16019,3214.797733386461,43.51926104211736,0.3893605919116574,16027,3305.019562683411,295.9849619087267,0.2853996213656318,16043,3848.030783262556,184.8862033769269,0.32523978672271087
12367111,16019,2510.585766199806,60.88926157404677,0.17456499136944523,16020,739.1275101220533,201.23103120551025,0.7666308677806851,16015,4947.566534151718,325.09913424711635,0.05880414084986966
