,id_i,id_j,dist_m,n_samples,corr,gamma_semi,gamma_vario
125,7010,2520,23004.84429166997,19,0.8927564327614872,2.0101827368421055,1.9186808199445988
126,7010,3810,15967.66156395726,19,0.7230053943467176,3.0696033684210526,2.9537962548476457
127,7010,3770,25960.056126868934,19,0.8945900073988307,2.8794509473684204,2.787949030470914
128,7010,16048,34592.008719964164,19,0.3034075098954476,49.22231242105263,46.7002908365651
129,7010,16035,38515.552655069834,19,0.1078453244989148,50.09158063157895,48.02706863157897
130,7010,16040,35741.22565339067,19,0.14759748513463816,34.96088084210527,33.918616819944596
131,7010,16049,32299.425286982096,19,0.32105263504889314,70.32923115789474,66.61053606648197
132,7010,2800,31248.916190816923,19,0.3305031913235367,45.09328842105263,43.240374603878124
133,7010,2320,25143.297548218045,19,0.44001588409255415,5.351432421052631,4.835304421052631
134,7010,2700,26702.01553160724,19,0.3687054137343602,18.716431157894736,18.47480890858726
135,7010,2710,24075.739626573104,19,0.3637716200674225,17.738504421052628,17.49688217174515
136,7010,2420,21921.046982246145,19,0.33674928322700587,10.757194105263158,10.751475235457063
138,7010,2440,20297.190885494547,19,0.2595828403618541,9.643444210526315,9.630576753462604
139,7010,2460,18996.37605951843,19,0.36047355368235257,8.013566315789475,8.000698858725764
141,7010,4160,16607.235387552275,19,0.9386641597030725,1.032256,1.0265371301939064
142,7010,2500,19357.43511740343,19,0.7827216008197253,2.3904875789473685,2.3676120997229915
143,7010,16093,15491.278537901113,19,0.45212194153753926,16.814906947368424,16.699099833795014
144,7010,5600,15577.425350429068,19,0.44424032118286044,16.135791157894733,15.992819412742378
145,7010,16094,15420.482317327822,19,0.40488142244369024,16.29877894736842,16.20727703047092
146,7010,5700,12678.385177015876,19,0.48426932237010406,6.601005473684211,6.530949318559558
147,7010,5800,13633.571907658466,19,0.5295058022323914,7.388779789473685,7.383060919667588
148,7010,5900,14335.035080057403,19,0.5215743138877081,6.981310315789474,6.968442858725763
149,7010,5170,17242.648494109395,19,0.451483380856809,8.312377263157895,8.3066583933518
150,7010,5100,17667.936155632993,19,0.46209373918344854,9.887925894736842,9.882207024930747
151,7010,5200,14182.830974565786,19,0.5713210822996856,6.247865263157895,6.2421463933518
152,7010,5400,15616.800798340153,19,0.4640937076545296,11.409145263157894,11.403426393351799
153,7010,6000,18366.11189808045,19,0.424958255952973,6.926981052631579,6.891238116343492
154,7010,16084,44847.6768786568,19,0.46561873703406953,64.73331705263159,63.17635474792244
155,7010,16085,37000.70214315136,19,0.4556206128955777,70.41072505263158,68.75797167867039
156,7010,16086,30987.843212592194,19,0.45065413597665244,36.91673431578947,36.286228919667586
157,7010,16068,30238.2580544085,19,0.4478767371730746,31.61963115789474,31.25362349030471
158,7010,16073,29193.7483132878,19,0.4502696724314172,34.9880454736842,34.524817019390575
159,7010,16071,27532.80091926601,19,0.4512310216475304,38.60094147368422,38.084813473684214
160,7010,16069,27846.038325147227,19,0.4512310216475304,38.60094147368422,38.084813473684214
161,7010,16070,25500.45735192655,19,-0.09829170637436678,7.062804210526315,6.096315213296399
162,7010,16072,25966.431136373292,19,0.44542467393620455,15.239358315789472,15.226490858725754
163,7010,16074,24286.616964554447,19,0.4512602626522174,10.64853557894737,10.625660099722992
164,7010,16037,32557.75351256993,19,0.43811788539512214,95.80965557894739,92.09096048753463
165,7010,16039,33437.60964486525,19,0.3995338008726397,94.85889347368419,90.04932396675902
166,7010,3640,21742.901619003937,19,0.578119921218607,4.454999578947368,4.088991911357341
167,7010,2610,27773.644245878197,19,0.965613027681536,2.1188412631578952,1.8386166426592796
168,7010,16018,30623.046033134287,19,0.45173489521842036,131.12367663157897,127.10760031024935
169,7010,16007,28889.20169278681,19,0.44969515269034127,97.08639326315789,94.3184602770083
170,7010,16028,21831.04949167824,19,0.43138652185190496,26.404021894736847,26.038014227146824
171,7010,16017,20797.9531960675,19,0.42895522104210043,29.8810947368421,29.417866282548474
172,7010,16016,21148.35082470159,19,0.43542576261615173,34.44475284210527,33.872865861495846
173,7010,16015,21328.203223654997,19,0.44186080954860396,20.101827368421052,20.01032545152355
174,7010,16013,20558.25350060332,19,0.4389903152206469,28.848838736842104,28.482831069252075
175,7010,16006,16656.913212854,19,0.450742576491386,27.354784000000002,26.838656
176,7010,16029,22014.307747885166,19,0.3982494278288678,21.758869894736844,21.437183468144045
177,7010,16008,22448.7201464181,19,0.4333017931831227,38.1391427368421,37.018244254847644
178,7010,16095,18849.69715113186,19,0.4235682429339702,19.803016421052632,19.630020609418285
179,7010,2790,20116.70199255254,19,0.4051508791089095,19.993168842105263,19.78728952908588
180,7010,1720,22150.259801738142,19,0.39779947438497426,20.53646147368421,20.256236853185598
181,7010,16083,40880.59174836025,19,0.4849018543535999,80.08133389473683,77.79378597229918
182,7010,16080,39067.557257100605,19,0.46381317279739415,50.55337936842105,49.5111153462604
183,7010,16076,35294.72402857647,19,0.4535128141546564,65.30377431578947,64.0170286094183
184,7010,16077,35916.03539796049,19,0.41362409836591574,5.432926315789474,4.9696978614958445
