,3620,3600,2540,2520,3810,3770,16048,16035,16040,16049,2800,2700,2710,2420,5110,2440,2460,4080,4060,4040,4160,2500,16093,5600,16094,5700,5800,5900,5170,5100,5200,5400,6000,16087,16084,16085,16088,16086,16068,16073,16071,16069,16070,16072,16074,16037,16038,16039,3640,2610,3720,3860,16018,16007,16014,16028,16017,16016,16015,16098,16013,16011,16006,16096,16029,16010,16008,16095,2790,1720,16083,16080,16076,16077,16082,16078,16081,16079,2730,2720,2890,2740,2840,4200,4000,3920,16067,16055,16066,16057,16061,16075,16065,16064,16062,16059,16060,16058,16063,3700,2620,2600,2650,3980,2630,2640,16030,16043,16042,16044,16045,3820,3800,4150,3740,3900,3680,3880,7000,7060,7050,3940,3760,3660,3690,16025,16023,16024,16021,16022,16026,16027,16020,16019,16053,16090,16052,16054,16051,3000,2900,1010,16032,16033,16031,16046,16036,16047,16034,16005,16050
2017-08-21 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-21 13:00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,4.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,7.112,,0.0,,,,,,
2017-08-21 14:00:00,,,,,,,,,,,2.032,1.016,,1.016,6.096,,9.144,1.016,3.048,6.096,,,7.112,6.096,6.096,5.08,,,2.032,1.016,,,,,,,,,,,,,,,,7.112,6.096,,,,,,8.128,7.112,13.208,16.256,18.288,22.352,40.64,27.178,37.592,30.48,25.4,19.304,26.416,22.098,10.16,22.352,,6.096,,,,,,,,,,2.032,,1.016,1.016,,,,,,,,,,,,,,,,,,0.0,,,,,,6.096,5.08,3.048,1.016,,,,,,,,,,,,,,,,13.208,12.192,12.192,8.128,8.128,10.16,13.208,12.192,12.192,5.08,1.016,,,4.064,,,,1.016,,,,,,,1.016,1.016
2017-08-21 15:00:00,,,,,,,18.288,12.192,14.224,1.016,1.016,23.368,32.512,34.544,44.704,49.784,41.656,34.544,36.576,34.544,8.128,1.016,16.256,21.336,28.448,13.208,23.368,19.304,30.48,40.64,25.4,31.496,36.576,,,,,,,,,,,,,,5.8420000000000005,4.064,,,,,,,,,,,1.016,,,3.048,7.112,13.208,3.048,11.684,20.32,20.32,,31.496,,,,,,,,,32.512,27.432,23.368,12.192,8.128,,,,,,,,,,,,,,,,,,,,,,,,8.128,4.064,1.016,3.048,1.016,,,,,,,,,,,,,,,,,,,,3.048,,8.128,19.304,3.048,,,,2.032,10.16,6.096,2.032,,7.112,14.224,5.08,17.272,24.384,31.496,19.304,1.016
2017-08-21 16:00:00,,,,,,19.304,5.08,11.176,17.272,20.32,14.224,14.224,13.208,17.272,7.112,18.288,25.4,30.48,30.48,23.368,24.384,,5.08,4.064,5.08,3.048,7.112,8.128,6.096,9.144,4.064,9.144,20.32,,,,,,,,,0.0,,,,1.016,10.414,15.24,,,,,,,0.0,,0.0,,,,,0.0,1.016,,,0.254,,1.016,,4.064,,,,,,,,,12.192,10.16,13.208,5.08,5.08,,6.096,10.16,,,,,,,,,,,,,,1.016,,,14.224,12.192,,1.016,6.096,19.304,23.368,29.464,23.368,,,,,,3.048,,,0.0,,3.048,31.496,,,,,,,,1.016,,,,1.016,,,,,2.032,5.08,8.128,,0.0,,2.032,2.032,4.064,8.128,3.048,
2017-08-21 17:00:00,,,0.0,,1.016,6.096,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,0.0,,,,1.016,1.016,0.0,,0.0,,0.0,,0.0,0.0,0.254,,,,,,,,,1.016,,,,,,,,,,,,,,,,1.016,1.016,,,,,,,,,,,,,,,2.032,,,,1.016,,,,,,,,,,,,,0.0,,,,0.0,1.016,,,,,0.0,,,,0.0,,,,,,,,,0.0,,0.0,,,,,,,,
2017-08-21 18:00:00,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,
2017-08-21 19:00:00,1.016,2.032,5.08,,1.016,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,1.016,1.016,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,1.016,,,,,,0.0,,,,,,,,,,1.016,5.08,,0.0,,1.016,,,,,,,2.032,2.032,3.048,3.048,,,2.032,,1.016,,,,,1.016,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,
2017-08-21 20:00:00,24.384,45.72,39.624,31.496,40.64,,,,,,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,24.384,37.592,39.624,15.24,0.0,,,,,,,,,,,1.016,,,,0.0,,,,,,0.0,,,,0.0,,,,,,29.464,5.08,10.16,,,,,,,,,0.0,,,,,32.512,42.672,46.736,11.176,16.256,39.624,24.384,,,,0.0,,36.576,39.624,49.784,27.432,17.272,26.416,38.608,,2.032,,25.4,,21.336,42.672,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0
2017-08-21 21:00:00,,7.112,25.4,40.64,31.496,30.48,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,4.064,16.256,23.368,17.272,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,25.4,37.592,,0.0,,,,,0.0,0.0,,,0.0,,,37.592,28.448,10.16,8.128,43.688,26.416,26.416,,0.0,,,,17.272,6.096,20.32,28.448,22.352,35.56,16.256,1.016,9.144,6.096,30.48,16.256,3.048,7.112,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,
2017-08-21 22:00:00,2.032,,,4.064,,6.096,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,17.272,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,5.08,11.176,,,,,,,,,,,,0.0,,14.224,,,8.128,7.112,1.016,15.24,,,,,,6.096,5.08,,2.032,17.272,16.256,6.096,2.032,8.128,,16.256,3.048,,0.0,,,,,,,,,,,,,,,,,1.016,,,,,0.0,,,,
2017-08-21 23:00:00,,,2.032,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,1.016,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
2017-08-22 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-22 01:00:00,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,
2017-08-22 02:00:00,2.032,23.368,,,3.048,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.528,,2.032,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,23.368,,,,,,,,,,,,,,,,,0.0,31.496,,,,,,,,,,,1.016,8.128,1.016,,,,,,,,,35.56,19.304,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-22 03:00:00,4.064,29.464,58.928,47.752,40.64,21.336,,,1.016,,,,1.016,2.032,7.112,11.176,12.192,10.16,10.16,14.224,26.416,1.016,6.096,5.08,7.112,20.32,22.352,20.32,11.176,13.208,23.368,16.256,12.192,2.032,1.016,1.016,1.016,,1.016,8.128,4.064,4.064,13.208,13.208,22.352,,0.254,,30.48,59.944,42.672,26.416,1.016,,1.016,,1.016,1.016,,1.016,5.08,2.032,4.064,3.048,2.032,2.54,2.032,6.096,,1.016,7.112,43.688,3.048,4.064,17.272,6.096,28.448,17.272,1.016,0.0,1.016,,,28.448,20.32,23.368,,1.016,5.08,5.08,6.096,16.256,21.336,11.176,7.112,9.144,6.096,14.224,25.4,33.528,48.768,53.848,29.464,40.64,52.832,33.528,,1.016,,,,34.544,35.56,34.544,45.72,30.48,25.4,27.432,24.384,23.368,24.384,28.448,26.416,30.48,32.512,1.016,1.016,1.016,1.016,1.016,1.016,6.096,1.016,2.032,10.16,25.4,20.32,22.352,28.448,35.56,30.48,19.304,1.016,1.016,,1.016,,0.0,,22.352,22.352
2017-08-22 04:00:00,2.032,7.112,4.064,3.048,6.096,10.16,16.256,5.08,6.096,11.176,10.16,34.544,37.592,34.544,35.56,40.64,29.464,34.544,38.608,30.48,24.384,1.016,37.592,37.592,34.544,23.368,24.384,24.384,31.496,35.56,24.384,26.416,30.48,33.528,33.528,39.624,34.544,43.688,40.64,42.672,41.656,38.608,40.64,40.64,21.336,23.368,21.59,22.352,6.096,4.064,6.096,8.128,48.768,53.848,70.104,73.152,72.136,70.104,84.328,53.086,85.344,51.816,41.656,52.832,55.88,46.99,31.496,59.944,,24.384,42.672,9.144,36.576,53.848,33.528,29.464,14.224,6.096,37.592,29.464,42.672,36.576,39.624,25.4,2.032,9.144,55.88,47.752,29.464,29.464,34.544,32.512,18.288,33.528,33.528,34.544,30.48,27.432,24.384,4.064,4.064,5.08,11.176,4.064,4.064,8.128,22.352,21.336,20.32,19.304,14.224,6.096,6.096,7.112,7.112,6.096,5.08,19.304,15.24,14.224,21.336,8.128,6.096,5.08,9.144,48.768,29.464,37.592,37.592,27.432,29.464,36.576,23.368,26.416,22.352,28.448,27.432,24.384,19.304,19.304,22.352,17.272,32.512,23.368,19.304,20.32,10.16,13.208,5.08,22.352,19.304
2017-08-22 05:00:00,1.016,8.128,8.128,11.176,7.112,8.128,78.232,73.152,75.184,82.296,72.136,44.704,42.672,29.464,32.512,22.352,16.256,22.352,21.336,17.272,20.32,,26.416,23.368,29.464,22.352,18.288,17.272,25.4,22.352,16.256,14.224,13.208,18.288,23.368,26.416,19.304,29.464,25.4,36.576,33.528,32.512,33.528,34.544,45.72,41.656,39.878,56.896,6.096,8.128,8.128,10.16,29.464,32.512,31.496,37.592,39.624,46.736,57.912,40.894,27.432,41.656,30.48,32.512,30.48,37.592,41.656,35.56,0.0,39.624,20.32,24.384,22.352,22.352,32.512,25.4,51.816,26.416,31.496,29.464,26.416,34.544,26.416,10.16,4.064,7.112,27.432,25.4,24.384,25.4,26.416,34.544,27.432,31.496,32.512,34.544,26.416,29.464,26.416,8.128,6.096,9.144,12.192,9.144,8.128,10.16,44.704,52.832,75.184,77.21600000000001,76.2,7.112,6.096,7.112,7.112,8.128,2.032,8.128,18.288,17.272,18.288,8.128,11.176,7.112,7.112,32.512,40.64,30.48,37.592,41.656,48.768,40.64,42.672,34.544,30.48,25.4,24.384,22.352,22.352,25.4,24.384,20.32,28.448,39.624,73.152,43.688,74.168,70.104,78.232,21.336,27.432
2017-08-22 06:00:00,,4.064,2.032,2.032,4.064,2.032,24.384,26.416,22.352,31.496,34.544,11.176,13.208,9.144,7.112,4.064,5.08,3.048,4.064,3.048,6.096,,9.144,8.128,8.128,5.08,3.048,2.032,5.08,4.064,3.048,2.032,4.064,10.16,12.192,28.448,13.208,36.576,28.448,32.512,26.416,26.416,26.416,23.368,19.304,25.4,25.146,32.512,4.064,1.016,3.048,10.16,29.464,29.464,31.496,29.464,25.4,23.368,28.448,18.288,22.352,20.32,10.16,9.144,21.336,18.288,22.352,12.192,,18.288,22.352,28.448,30.48,25.4,19.304,23.368,11.176,16.256,7.112,10.16,7.112,12.192,9.144,2.032,1.016,4.064,33.528,26.416,26.416,14.224,14.224,13.208,16.256,9.144,9.144,11.176,12.192,16.256,15.24,4.064,1.016,4.064,4.064,3.048,2.032,5.08,22.352,34.544,32.512,34.544,36.576,5.08,6.096,6.096,2.032,10.16,4.064,7.112,2.032,5.08,5.08,4.064,2.032,3.048,6.096,35.56,25.4,21.336,25.4,24.384,27.432,33.528,28.448,24.384,7.112,12.192,4.064,2.032,2.032,4.064,2.032,9.144,26.416,20.32,18.288,24.384,18.288,19.304,22.352,3.048,3.048
2017-08-22 07:00:00,1.016,14.224,8.128,8.128,10.16,5.08,32.512,28.448,27.432,24.384,21.336,20.32,14.224,20.32,12.192,14.224,14.224,16.256,16.256,16.256,14.224,2.032,16.256,19.304,20.32,14.224,16.256,14.224,18.288,19.304,16.256,16.256,13.208,47.752,38.608,26.416,50.8,15.24,14.224,14.224,13.208,13.208,11.176,10.16,13.208,37.592,35.56,37.592,11.176,6.096,9.144,22.352,20.32,19.304,14.224,12.192,12.192,12.192,14.224,11.43,8.128,12.192,19.304,21.336,12.192,12.446,14.224,18.288,1.016,16.256,31.496,10.16,20.32,20.32,21.336,15.24,12.192,3.048,22.352,22.352,17.272,26.416,25.4,6.096,3.048,7.112,14.224,10.16,9.144,9.144,8.128,8.128,8.128,21.336,13.208,16.256,14.224,9.144,8.128,9.144,6.096,8.128,13.208,6.096,5.08,16.256,20.32,22.352,25.4,23.368,21.336,16.256,19.304,15.24,9.144,21.336,8.128,8.128,20.32,14.224,21.336,8.128,4.064,14.224,8.128,13.208,21.336,19.304,20.32,19.304,25.4,7.112,18.288,16.256,15.24,9.144,18.288,18.288,21.336,16.256,16.256,13.208,38.608,43.688,42.672,38.608,33.528,30.48,37.592,17.272,20.32
2017-08-22 08:00:00,1.016,21.336,10.16,8.128,13.208,7.112,8.128,10.16,8.128,14.224,14.224,22.352,22.352,27.432,31.496,25.4,27.432,24.384,24.384,26.416,31.496,3.048,26.416,24.384,23.368,24.384,31.496,32.512,33.528,33.528,35.56,33.528,29.464,9.144,35.56,18.288,18.288,8.128,9.144,10.16,11.176,10.16,17.272,16.256,24.384,8.128,6.604,8.128,15.24,5.08,15.24,28.448,7.112,9.144,15.24,22.352,25.4,23.368,24.384,21.59,28.448,24.384,22.352,22.352,28.448,19.304,25.4,33.528,,24.384,20.32,13.208,12.192,11.176,16.256,12.192,10.16,10.16,10.16,18.288,22.352,15.24,15.24,19.304,4.064,12.192,9.144,17.272,19.304,29.464,27.432,25.4,19.304,21.336,25.4,19.304,18.288,18.288,17.272,12.192,5.08,14.224,24.384,9.144,9.144,29.464,9.144,9.144,10.16,13.208,13.208,22.352,24.384,19.304,13.208,26.416,15.24,14.224,26.416,22.352,16.256,18.288,12.192,19.304,11.176,15.24,8.128,8.128,13.208,12.192,13.208,20.32,13.208,19.304,19.304,23.368,21.336,27.432,26.416,34.544,31.496,32.512,13.208,12.192,11.176,13.208,11.176,8.128,11.176,27.432,25.4
2017-08-22 09:00:00,,3.048,4.064,6.096,6.096,6.096,19.304,19.304,20.32,23.368,18.288,16.256,12.192,11.176,10.16,14.224,10.16,11.176,13.208,12.192,10.16,,11.176,11.176,10.16,12.192,13.208,11.176,12.192,12.192,11.176,11.176,11.176,,62.992,28.448,52.832,11.176,12.192,13.208,10.16,12.192,10.16,9.144,9.144,11.176,12.7,16.256,3.048,4.064,6.096,9.144,13.208,13.208,16.256,15.24,9.144,8.128,12.192,8.89,11.176,17.272,13.208,12.192,15.24,12.192,17.272,10.16,2.032,11.176,22.352,6.096,16.256,18.288,20.32,15.24,9.144,4.064,16.256,15.24,13.208,18.288,14.224,10.16,3.048,7.112,13.208,14.224,12.192,6.096,5.08,6.096,5.08,8.128,6.096,8.128,7.112,4.064,4.064,6.096,4.064,4.064,8.128,5.08,4.064,8.128,18.288,23.368,23.368,22.352,21.336,7.112,8.128,5.08,6.096,7.112,5.08,16.256,12.192,12.192,7.112,8.128,7.112,2.032,4.064,18.288,18.288,16.256,19.304,25.4,28.448,11.176,14.224,13.208,9.144,9.144,10.16,8.128,10.16,11.176,10.16,10.16,18.288,35.56,25.4,21.336,18.288,18.288,19.304,12.192,12.192
