,3620,3600,2540,2520,3810,3770,16048,16035,16040,16049,2800,2700,2710,2420,5110,2440,2460,4080,4060,4040,4160,2500,16093,5600,16094,5700,5800,5900,5170,5100,5200,5400,6000,16087,16084,16085,16088,16086,16068,16073,16071,16069,16070,16072,16074,16037,16038,16039,3640,2610,3720,3860,16018,16007,16014,16028,16017,16016,16015,16098,16013,16011,16006,16096,16029,16010,16008,16095,2790,1720,16083,16080,16076,16077,16082,16078,16081,16079,2730,2720,2890,2740,2840,4200,4000,3920,16067,16055,16066,16057,16061,16075,16065,16064,16062,16059,16060,16058,16063,2620,2600,2650,3980,2630,2640,16030,16043,16042,16044,16045,3820,3800,4150,3740,3900,3680,3880,7000,7060,7050,3940,3660,3690,16025,16023,16024,16021,16022,16026,16027,16020,16019,16053,16090,16052,16054,16051,3000,2900,1010,16032,16033,16031,16046,16036,16047,16034,16005,16050
2018-07-18 06:00:00,,,,,,,1.016,3.048,1.016,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08,8.128,6.096,2.032,,,3.048,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,1.016,1.016,,,,,,,,,0.0,,1.016,,1.016,,,,,,,,,0.0,,,,,,,,,,,1.016,2.032,4.064,,,4.064,4.064,5.08,5.08,,,,,,,,,,,1.016,,4.064
2018-07-18 07:00:00,1.016,1.016,,,,,,,,,1.016,11.176,9.144,5.08,7.112,5.08,,,,,,,1.016,,,0.0,1.016,2.032,2.032,6.096,,,,,,,,,,,0.0,0.0,,,,,,,1.016,,,,,,,,,,1.016,1.524,1.016,0.0,2.032,1.016,,0.254,,1.016,1.016,,,,,,,,,,3.048,3.048,3.048,,,0.0,,,,,,,,,,,,,1.016,,,,,,,,,,,,,,,,,,,0.0,1.016,,,,,,,,,,,,,,,,1.016,1.016,2.032,2.032,,,,,,,,0.0,,,,,1.016
2018-07-18 08:00:00,,,3.048,1.016,,,,,,,,,,1.016,,2.032,4.064,4.064,4.064,3.048,0.0,1.016,,,,,1.016,3.048,,2.032,4.064,5.08,4.064,,,,,,,,,,,,,0.0,0.254,,,,,,,,,,0.0,,,0.762,,,,,,,,,,,,,,0.0,,,,,1.016,,3.048,1.016,,,0.0,0.0,,,,0.0,,,0.0,0.0,,,,,,7.112,,,,3.048,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,1.016,,,,,,0.0,,2.032,,
2018-07-18 09:00:00,,,,0.0,,,6.096,2.032,6.096,1.016,,,,0.0,,,,,,,,1.016,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,2.032,1.27,2.032,,1.016,,,3.048,1.016,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,,,1.016,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,19.304,8.128,2.032,3.048,,1.016,,,
2018-07-18 10:00:00,,,,,,0.0,1.016,,1.016,2.032,0.0,,,,,,,,,,,,,,1.016,2.032,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.032,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,1.016,,,,,2.032,,,0.0,,,,,,,,1.016,
2018-07-18 11:00:00,,,,,,,,,,,,,,,,6.096,6.096,0.0,,2.032,1.016,,,1.016,,1.016,13.208,10.16,,2.032,7.112,7.112,6.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.128,,,,,,,,,,1.016,,,,,,,,,1.016,17.272,8.128,,,,1.016,,,,,3.048,
2018-07-18 12:00:00,,,,,,,,,,,,,,,,1.016,1.016,4.064,3.048,3.048,1.016,9.144,,,,,,,,,4.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,17.272,3.048,,,,,,,,,,,,,,,,,,,1.016,2.032,1.016,,,,,,,,,
2018-07-18 13:00:00,,1.016,,,,,0.0,,,,,,,,,,,10.16,8.128,2.032,1.016,1.016,,0.0,,1.016,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1.016,12.192,,,0.0,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,0.0,,0.0,,0.0,1.016,,1.016,,0.0,,,5.08,,,,,,0.0,0.0,,,,,,,,,0.0,,0.0,,,,5.08,,,0.0,,,,,,
2018-07-18 14:00:00,2.032,3.048,5.08,,4.064,1.016,,,,,,,0.0,,,,,4.064,2.032,3.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.032,0.0,,10.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.192,,,,,,,,,,,,,,,,,,1.016,,,4.064,,,,,,5.08,14.224,13.208,1.016,6.096,1.016,16.256,,,,8.128,3.048,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-18 15:00:00,4.064,5.08,6.096,10.16,8.128,19.304,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,6.096,5.08,11.176,9.144,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,0.0,13.208,8.128,15.24,,,,,,,,,,,,,,2.032,5.08,4.064,13.208,4.064,9.144,,0.0,,,,11.176,13.208,3.048,13.208,12.192,16.256,,,,,8.128,4.064,4.064,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,
2018-07-18 16:00:00,1.016,2.032,,1.016,0.0,10.16,,,0.0,,,,,,,,1.016,1.016,2.032,1.016,,0.0,,,0.0,,,,,,,,,0.0,0.0,,,0.0,,,,,,,0.0,,,,8.128,4.064,,1.016,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,,,,,,,1.016,,,1.016,2.032,,,,,,,,,,,,,,2.032,1.016,3.048,2.032,1.016,5.08,,,,0.0,,,,,1.016,1.016,2.032,,,,,3.048,5.08,1.016,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
