,id_i,id_j,dist_m,n_overlap,frac_bad,corr,gamma_vario
8,7010,2520,23004.84429166997,19,0.631578947368421,0.8927564327614872,1.9186808199445988
9,7010,3810,15967.66156395726,19,0.631578947368421,0.7230053943467176,2.9537962548476457
10,7010,16048,34592.008719964164,19,0.631578947368421,0.3034075098954476,46.7002908365651
11,7010,16035,38515.552655069834,19,0.631578947368421,0.1078453244989148,48.02706863157897
12,7010,16040,35741.22565339067,19,0.631578947368421,0.14759748513463816,33.918616819944596
13,7010,16049,32299.425286982096,19,0.6842105263157895,0.32105263504889314,66.61053606648197
14,7010,2700,26702.01553160724,19,0.6842105263157895,0.3687054137343602,18.47480890858726
15,7010,2710,24075.739626573104,19,0.6842105263157895,0.3637716200674225,17.49688217174515
16,7010,5900,14335.035080057403,19,0.6842105263157895,0.5215743138877081,6.968442858725763
17,7010,5200,14182.830974565786,19,0.6842105263157895,0.5713210822996856,6.2421463933518
18,7010,16084,44847.6768786568,19,0.6842105263157895,0.46561873703406953,63.17635474792244
19,7010,16085,37000.70214315136,19,0.6842105263157895,0.4556206128955777,68.75797167867039
20,7010,16086,30987.843212592194,19,0.6842105263157895,0.45065413597665244,36.286228919667586
21,7010,16071,27532.80091926601,19,0.6842105263157895,0.4512310216475304,38.084813473684214
22,7010,16069,27846.038325147227,19,0.6842105263157895,0.4512310216475304,38.084813473684214
23,7010,16072,25966.431136373292,19,0.6842105263157895,0.44542467393620455,15.226490858725754
24,7010,16037,32557.75351256993,19,0.631578947368421,0.43811788539512214,92.09096048753463
25,7010,16039,33437.60964486525,19,0.6842105263157895,0.3995338008726397,90.04932396675902
26,7010,16013,20558.25350060332,19,0.6842105263157895,0.4389903152206469,28.482831069252075
27,7010,16006,16656.913212854,19,0.6842105263157895,0.450742576491386,26.838656
28,7010,16029,22014.307747885166,19,0.6842105263157895,0.3982494278288678,21.437183468144045
29,7010,16008,22448.7201464181,19,0.6842105263157895,0.4333017931831227,37.018244254847644
30,7010,16095,18849.69715113186,19,0.6842105263157895,0.4235682429339702,19.630020609418285
31,7010,16077,35916.03539796049,19,0.6842105263157895,0.41362409836591574,4.9696978614958445
32,7010,16082,38237.06002786887,19,0.6842105263157895,0.4890684143539242,33.195179789473684
33,7010,2720,27296.95516114247,19,0.631578947368421,0.16801000028970034,18.165989939058168
34,7010,2840,30360.160942637736,19,0.6842105263157895,0.27723514968452834,17.831436055401657
35,7010,4200,22000.42750906533,19,0.631578947368421,0.4944370684286331,4.915368598337952
36,7010,16075,18872.385753811504,19,0.6842105263157895,0.4473600508905852,11.434880177285315
37,7010,2620,29566.117560488223,19,0.6842105263157895,0.8668872440029503,2.138857307479224
38,7010,2600,22853.449576960094,19,0.6842105263157895,0.9476322802767027,2.3676120997229915
39,7010,2630,25902.28722169276,19,0.6842105263157895,0.9252984347660914,0.8950031246537393
40,7010,2640,14745.522285839514,19,0.6842105263157895,0.9148264560734303,1.3782476232686982
41,7010,16030,29807.487194925012,19,0.6842105263157895,0.42955731005455255,63.77683607756232
42,7010,16044,30890.00833772456,19,0.631578947368421,0.38525378432275104,66.92507390581721
43,7010,16045,30577.17819943281,19,0.631578947368421,0.3543580766363098,47.93270727977841
44,7010,4150,13647.521499982018,19,0.6842105263157895,0.8775703119524396,1.4039825373961217
45,7010,7020,6769.8790980476915,19,0.6842105263157895,0.8047213769399988,2.9452179501385034
46,7010,7030,10182.731654996065,19,0.6842105263157895,0.1138832487371572,24.95482454293628
47,7010,3690,21775.812407636753,19,0.631578947368421,0.8130301638373548,3.088189695290858
48,7010,16023,29827.893871984506,19,0.6842105263157895,0.4433500734555155,150.02311162326865
49,7010,16024,28137.513035081745,19,0.6842105263157895,0.4370332645849508,73.03282685872577
