,3600,7010,2520,3810,3770,16048,16035,16040,16049,2800,2700,2710,2420,5110,2440,2460,4080,4060,4160,2500,16093,5600,16094,5700,5800,5900,5170,5100,5200,5400,6000,16084,16085,16086,16068,16073,16071,16069,16070,16072,16074,16037,16038,16039,3640,2610,16018,16007,16028,16017,16016,16015,16013,16011,16006,16096,16029,16010,16008,16095,2790,1720,16083,16080,16076,16077,16082,16078,16081,16079,2730,2720,2890,2740,2840,4200,3920,16067,16055,16066,16057,16061,16075,16065,16064,16062,16059,16058,16063,2620,2600,2650,2630,2640,16030,16043,16042,16044,16045,4150,3740,3880,7020,7000,7060,7030,7080,7050,3660,3690,16025,16023,16024,16021,16022,16026,16027,16020,16019,16053,16052,16054,16051,3000,2900,1010,16032,16033,16031,16046,16036,16047,16034,16005,16050
2014-08-06 13:00:00,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,
2014-08-06 14:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.048,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-06 15:00:00,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-06 16:00:00,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
2014-08-06 17:00:00,0.0,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,0.0
2014-08-06 18:00:00,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
2014-08-06 19:00:00,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,0.0,,,,
2014-08-06 20:00:00,,0.0,,,,,0.0,,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,
2014-08-06 21:00:00,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,
2014-08-06 22:00:00,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,12.192,1.016,,1.016,2.032,1.016,7.112,11.176,12.192,,,,,1.016,,,,,,,,,,,,,,,,,3.048,4.064,,3.048,22.352,7.112,27.432,22.352,,,,,,,,,1.016,,3.048,1.016,2.032,5.08,1.016,3.048,2.032,2.032,2.032,,17.272,,0.0,,0.0,0.0,,,0.0,,3.048,,,,,0.762,,4.064,,8.128,,,,,,0.0,,,,,,0.0,,,,,3.048,1.016,,,,,,,
2014-08-06 23:00:00,0.254,26.416,17.272,17.272,10.16,21.336,20.32,18.288,21.336,20.32,13.208,29.464,24.384,0.254,22.352,19.304,0.0,11.176,21.336,16.256,18.288,18.288,26.416,22.352,26.416,27.432,19.304,24.384,29.464,22.352,22.352,,2.032,26.416,14.224,15.24,14.224,14.224,11.176,10.16,13.208,18.288,16.51,20.32,21.336,28.448,17.272,20.32,12.192,14.224,21.336,28.448,13.208,20.32,11.176,12.192,25.4,21.59,27.432,17.272,18.288,16.256,1.016,1.016,4.064,2.032,1.016,,3.048,4.064,21.336,22.352,10.16,10.16,2.032,49.784,0.0,20.32,27.432,21.336,25.4,20.32,12.192,18.288,29.464,31.496,36.576,22.352,20.32,23.368,28.448,25.4,18.288,17.272,24.384,21.336,19.304,24.384,22.352,25.4,14.224,17.272,22.352,32.512,27.432,22.606,,27.432,0.0,27.432,17.272,21.336,18.288,25.4,23.368,29.464,25.4,20.32,20.32,26.416,30.48,29.464,28.448,27.432,33.528,25.4,8.128,14.224,13.208,21.336,21.336,20.32,13.208,25.4,29.464
2014-08-07 00:00:00,0.0,3.048,5.08,4.064,12.192,,1.016,1.016,2.032,2.032,4.064,5.08,3.048,0.0,12.192,13.208,0.0,14.224,12.192,14.224,1.016,3.048,1.016,2.032,2.032,4.064,1.016,3.048,9.144,7.112,11.176,,1.016,2.032,2.032,2.032,2.032,2.032,1.016,2.032,2.032,1.016,0.508,1.016,3.048,4.064,1.016,2.032,1.016,1.016,1.016,1.016,1.016,1.016,1.016,1.016,1.016,1.016,1.016,2.032,1.016,1.016,,,1.016,1.016,1.016,1.016,1.016,2.032,17.272,16.256,16.256,19.304,15.24,4.064,0.0,1.016,2.032,1.016,2.032,1.016,2.032,2.032,1.016,1.016,2.032,1.016,1.016,5.08,3.048,6.096,5.08,5.08,,1.016,1.016,1.016,1.016,2.032,5.08,4.064,,2.032,2.032,2.286,,,,2.032,1.016,1.016,1.016,1.016,,1.016,2.032,1.016,1.016,,1.016,1.016,2.032,,4.064,8.128,1.016,,,,,1.016,,2.032,2.032
2014-08-07 01:00:00,0.0,2.032,3.048,3.048,,,1.016,1.016,,2.032,2.032,1.016,2.032,0.0,3.048,5.08,0.0,4.064,2.032,2.032,2.032,2.032,2.032,2.032,1.016,2.032,4.064,2.032,1.016,2.032,2.032,,0.0,,1.016,,,1.016,1.016,1.016,1.016,1.016,0.254,,2.032,4.064,1.016,1.016,1.016,1.016,1.016,1.016,1.016,1.016,,1.016,1.016,1.27,1.016,2.032,2.032,1.016,,1.016,,,,,,,3.048,2.032,2.032,1.016,1.016,3.048,0.0,1.016,1.016,1.016,1.016,1.016,1.016,1.016,2.032,2.032,1.016,1.016,2.032,4.064,4.064,2.032,2.032,3.048,1.016,,1.016,,1.016,4.064,3.048,3.048,3.048,2.032,2.032,1.27,,3.048,0.0,4.064,1.016,,,1.016,1.016,1.016,1.016,1.016,1.016,3.048,2.032,2.032,2.032,5.08,2.032,1.016,,0.0,,1.016,1.016,,0.0,1.016,2.032
2014-08-07 02:00:00,0.0,1.016,2.032,3.048,,1.016,,,1.016,,1.016,1.016,1.016,0.0,1.016,,0.0,2.032,2.032,1.016,1.016,1.016,1.016,1.016,2.032,1.016,1.016,2.032,2.032,2.032,2.032,,,,,1.016,1.016,,,,,,0.254,1.016,2.032,2.032,,,1.016,1.016,1.016,1.016,1.016,1.016,1.016,2.032,1.016,0.762,1.016,1.016,1.016,,,,,,,,,,1.016,1.016,1.016,1.016,1.016,3.048,0.0,,1.016,1.016,1.016,1.016,1.016,1.016,1.016,1.016,1.016,,1.016,3.048,2.032,1.016,3.048,1.016,,1.016,,1.016,,2.032,1.016,1.016,2.032,1.016,2.032,1.778,,2.032,0.0,2.032,,1.016,1.016,,1.016,,,1.016,1.016,1.016,1.016,1.016,2.032,2.032,1.016,2.032,,,,,,,,1.016,1.016
2014-08-07 03:00:00,0.0,1.016,1.016,3.048,,,,,,,,,,0.0,,2.032,,,,,,,,,,,,,,,,,,,,,,,1.016,1.016,9.144,,,,10.16,3.048,,0.0,,,,,,,,0.0,,0.254,,0.0,,,,,,,,,3.048,5.08,,,,,,12.192,0.0,,,,,,2.032,10.16,,,,1.016,1.016,2.032,6.096,1.016,2.032,2.032,,,,,1.016,2.032,3.048,2.032,,1.016,1.016,9.398,1.016,1.016,0.0,6.096,,,,1.016,,,,,,,1.016,,,,1.016,1.016,,,,,,,,1.016,
2014-08-07 04:00:00,0.0,24.384,16.256,13.208,,20.32,20.32,17.272,19.304,10.16,,14.224,17.272,0.0,26.416,26.416,0.254,37.592,25.4,30.48,35.56,31.496,33.528,31.496,25.4,27.432,23.368,24.384,32.512,24.384,30.48,29.464,23.368,18.288,25.4,36.576,36.576,42.672,16.256,17.272,12.192,18.288,20.32,21.336,8.128,15.24,12.192,12.192,18.288,22.352,22.352,22.352,21.336,20.32,14.224,43.688,24.384,39.116,23.368,35.56,29.464,27.432,45.72,39.624,28.448,27.432,30.48,33.528,18.288,14.224,10.16,5.08,18.288,3.048,7.112,15.24,0.0,13.208,29.464,28.448,20.32,18.288,22.352,22.352,21.336,14.224,15.24,22.352,32.512,18.288,15.24,14.224,15.24,18.288,15.24,14.224,20.32,19.304,17.272,14.224,14.224,16.256,29.464,34.544,18.288,10.922,3.048,11.176,0.0,12.192,16.256,15.24,16.256,15.24,18.288,22.352,11.176,24.384,14.224,15.24,34.544,33.528,30.48,25.4,22.352,21.336,24.384,27.432,21.336,15.24,19.304,21.336,23.368,31.496,40.64
2014-08-07 05:00:00,0.0,8.128,4.064,7.112,,11.176,24.384,17.272,15.24,17.272,19.304,19.304,21.336,0.762,36.576,24.384,0.508,16.256,7.112,10.16,20.32,27.432,28.448,16.256,24.384,22.352,24.384,33.528,6.096,23.368,22.352,3.048,4.064,5.08,3.048,2.032,3.048,3.048,3.048,3.048,3.048,5.08,5.8420000000000005,7.112,19.304,4.064,4.064,3.048,5.08,6.096,4.064,6.096,7.112,8.128,7.112,20.32,7.112,9.906,7.112,32.512,16.256,11.176,4.064,3.048,2.032,3.048,4.064,3.048,4.064,4.064,29.464,19.304,29.464,20.32,16.256,18.288,0.0,4.064,4.064,3.048,5.08,4.064,4.064,4.064,6.096,5.08,5.08,3.048,4.064,5.08,10.16,5.08,4.064,5.08,5.08,9.144,12.192,14.224,15.24,6.096,6.096,5.08,8.128,9.144,14.224,20.32,,,0.0,11.176,4.064,4.064,3.048,4.064,6.096,7.112,6.096,5.08,7.112,8.128,7.112,8.128,6.096,12.192,7.112,6.096,5.08,7.112,11.176,6.096,12.192,11.176,24.384,19.304,7.112
2014-08-07 06:00:00,0.0,12.192,9.144,7.112,,3.048,2.032,3.048,4.064,5.08,8.128,15.24,13.208,0.254,16.256,18.288,0.0,18.288,8.128,8.128,10.16,10.16,10.16,9.144,14.224,17.272,15.24,12.192,15.24,21.336,15.24,,1.016,2.032,2.032,2.032,2.032,2.032,1.016,2.032,2.032,3.048,3.302,4.064,8.128,4.064,3.048,3.048,3.048,4.064,5.08,5.08,5.08,6.096,3.048,8.128,5.08,6.604,6.096,10.16,9.144,7.112,,,2.032,1.016,,1.016,,,16.256,14.224,20.32,15.24,13.208,6.096,0.0,3.048,4.064,4.064,4.064,4.064,3.048,4.064,5.08,4.064,5.08,3.048,4.064,4.064,11.176,6.096,4.064,6.096,4.064,4.064,3.048,4.064,4.064,5.08,8.128,5.08,15.24,11.176,16.256,6.096,,,0.0,14.224,4.064,4.064,3.048,4.064,4.064,5.08,7.112,5.08,4.064,6.096,8.128,9.144,13.208,14.224,17.272,9.144,2.032,2.032,2.032,3.048,3.048,3.048,3.048,13.208,12.192
2014-08-07 07:00:00,0.0,2.032,3.048,1.016,,1.016,2.032,2.032,2.032,2.032,5.08,4.064,3.048,0.0,8.128,4.064,0.0,4.064,4.064,4.064,2.032,3.048,3.048,4.064,4.064,5.08,4.064,5.08,3.048,5.08,6.096,0.0,,,,,1.016,,1.016,,,1.016,0.762,1.016,0.0,2.032,1.016,1.016,1.016,1.016,1.016,2.032,1.016,2.032,1.016,3.048,2.032,2.032,2.032,3.048,3.048,3.048,,,,,,,,,10.16,9.144,5.08,15.24,6.096,0.0,0.0,0.0,1.016,,,,1.016,1.016,1.016,1.016,,1.016,1.016,2.032,4.064,2.032,2.032,3.048,1.016,1.016,2.032,2.032,2.032,1.016,1.016,1.016,3.048,3.048,1.016,0.254,,,0.0,2.032,1.016,1.016,1.016,1.016,1.016,1.016,1.016,1.016,3.048,1.016,2.032,2.032,3.048,4.064,3.048,3.048,,,,0.0,0.0,1.016,1.016,3.048,2.032
2014-08-07 08:00:00,,0.0,,,,,0.0,,,1.016,,,1.016,,,,,,,0.0,,,,0.0,,,,,,,1.016,,,,,,0.0,0.0,,,,0.0,,0.0,,,,,,0.0,,,,,,,,0.254,,,,,0.0,,,,,,,,,,1.016,0.0,,,0.0,,,,0.0,,,0.0,0.0,,,0.0,,,0.0,,,,,,0.0,,,,2.032,,0.0,,0.0,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,
2014-08-07 09:00:00,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,1.016,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,0.0,0.0,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,
