,3620,3600,7010,2540,2520,3810,3770,16048,16035,16040,16049,2800,2700,2710,2420,5110,2440,2460,4080,4060,4040,4160,2500,16093,5600,16094,5700,5800,5900,5170,5100,5200,5400,6000,16084,16085,16088,16086,16068,16073,16071,16069,16070,16072,16074,16037,16038,16039,3640,2610,3720,3860,16018,16007,16014,16028,16017,16016,16015,16013,16011,16006,16096,16029,16010,16008,16095,2790,1720,16083,16080,16076,16077,16082,16078,16081,16079,2730,2720,2890,2740,2840,4200,4000,3920,16067,16055,16066,16057,16061,16075,16065,16064,16062,16059,16060,16058,16063,3700,2620,2600,2650,3980,2630,2640,16030,16043,16042,16044,16045,3820,3800,4150,3740,3900,3680,3880,7020,7000,7060,7030,7080,7050,3940,3760,3660,3690,16025,16023,16024,16021,16022,16026,16027,16020,16019,16053,16090,16052,16054,16051,3000,2900,1010,16032,16033,16031,16046,16036,16047,16034,16005,16050
2016-04-26 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.032,1.016,1.016,3.048,13.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,3.048,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,2.032,6.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.048,0.0,4.064,3.048,4.064,1.016,3.048,10.16,3.048,3.048,2.032,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-26 08:00:00,0.0,0.0,6.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,1.016,1.016,0.0,1.016,2.032,1.016,6.096,6.096,7.112,3.048,5.08,6.096,2.032,2.032,3.048,8.128,3.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,1.016,5.08,5.08,3.048,3.048,0.0,2.032,8.128,0.0,0.0,0.0,2.032,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,6.096,3.048,4.064,0.254,0.0,8.128,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.096,9.144,0.0,7.112,8.128,4.064,3.048,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.048,9.144
2016-04-26 09:00:00,1.016,2.032,3.048,1.016,2.032,6.096,4.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,1.016,4.064,10.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,2.032,3.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08,1.016,10.16,8.128,3.048,1.016,6.096,0.0,0.0,0.0,0.0,0.0,1.016,1.016,2.032,0.0,7.112,5.08,0.0,0.0,0.0,10.16,0.0,0.0,0.0,4.064,3.048,1.016,13.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-26 10:00:00,19.304,13.208,0.0,2.032,3.048,0.0,7.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.208,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.064,14.224,0.0,1.016,4.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08,11.176,12.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-26 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-26 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,1.016,0.0,1.016,1.016,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,1.016,1.016,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,2.032,1.016,4.064,2.032,5.08,1.016,1.016,1.016,2.032,3.048,3.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-26 13:00:00,16.256,16.256,4.064,5.08,4.064,8.128,4.064,0.0,0.0,0.0,1.016,1.016,0.0,2.032,1.016,0.0,1.016,1.016,1.016,1.016,2.032,6.096,4.064,1.016,1.016,1.016,1.016,2.032,1.016,1.016,1.016,6.096,1.016,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.272,4.064,7.112,7.112,1.016,0.0,0.0,0.0,1.016,0.0,0.0,1.016,1.016,0.0,1.016,0.0,0.254,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.032,1.016,0.0,0.0,0.0,14.224,1.016,3.048,0.0,0.0,0.0,1.016,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,3.048,2.032,11.176,2.032,3.048,3.048,4.064,0.0,1.016,1.016,1.016,1.016,7.112,6.096,15.24,6.096,5.08,4.064,6.096,3.048,1.016,4.064,10.16,1.016,4.064,4.064,7.112,14.224,11.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,1.016,0.0,1.016,3.048,4.064,5.08,4.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.032,2.032
2016-04-26 14:00:00,21.336,23.368,12.192,26.416,17.272,20.32,18.288,1.016,2.032,3.048,2.032,3.048,1.016,0.0,1.016,1.016,2.032,4.064,8.128,7.112,6.096,11.176,9.144,1.016,1.016,2.032,1.016,3.048,3.048,1.016,3.048,7.112,3.048,3.048,0.0,0.0,0.0,1.016,0.0,0.0,1.016,1.016,0.0,0.0,1.016,0.0,0.254,1.016,15.24,37.592,26.416,13.208,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08,0.0,0.0,16.256,10.16,12.192,1.016,1.016,0.0,1.016,3.048,2.032,3.048,3.048,1.016,6.096,6.096,3.048,2.032,10.16,36.576,25.4,15.24,19.304,21.336,18.288,0.0,0.0,3.048,2.032,3.048,18.288,18.288,17.272,22.352,12.192,15.24,17.272,8.128,0.0,17.272,12.954,0.0,7.112,14.224,10.16,17.272,23.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,2.032,0.0,4.064,5.08,8.128,8.128,6.096,0.0,0.0,0.0,0.0,1.016,1.016,1.016,2.032,4.064
2016-04-26 15:00:00,2.032,1.016,3.048,5.08,5.08,5.08,8.128,0.0,0.0,0.0,1.016,2.032,6.096,9.144,7.112,8.128,10.16,11.176,12.192,11.176,9.144,11.176,10.16,5.08,6.096,4.064,6.096,6.096,9.144,7.112,7.112,9.144,9.144,10.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,1.016,6.096,5.08,7.112,1.016,1.016,1.016,3.048,4.064,4.064,2.032,4.064,4.064,3.048,5.08,3.048,4.064,5.08,6.096,7.112,6.096,2.032,1.016,0.0,0.0,1.016,1.016,1.016,1.016,12.192,11.176,17.272,14.224,16.256,4.064,4.064,6.096,0.0,0.0,0.0,0.0,1.016,1.016,0.0,1.016,1.016,0.0,1.016,0.0,0.0,1.016,6.096,4.064,7.112,5.08,6.096,9.144,1.016,2.032,1.016,1.016,1.016,5.08,5.08,3.048,7.112,11.176,6.096,5.08,5.08,0.0,5.08,1.016,0.0,3.048,7.112,8.128,2.032,4.064,2.032,1.016,1.016,1.016,2.032,2.032,2.032,4.064,3.048,2.032,0.0,0.0,2.032,3.048,4.064,5.08,5.08,0.0,0.0,1.016,0.0,0.0,1.016,0.0,7.112,3.048
