Sensor Title,site_id,site,device_id,device,Sensor ID,sensor_url
,4386,08b6bde1-cdd9-4b8c-b0d5-37ff8c8d2eee,3,fb18fc26-844d-4819-b800-b014143e7949,,https://www.stormwatch.com/sensor/?site_id=4386&site=08b6bde1-cdd9-4b8c-b0d5-37ff8c8d2eee&device_id=3&device=fb18fc26-844d-4819-b800-b014143e7949
,4387,5bb41ef3-8ab2-46c3-a061-903c01f6055a,4,a67d93e4-3f4a-4343-9a51-9c1a325f8d28,,https://www.stormwatch.com/sensor/?site_id=4387&site=5bb41ef3-8ab2-46c3-a061-903c01f6055a&device_id=4&device=a67d93e4-3f4a-4343-9a51-9c1a325f8d28
,4388,a39ae34d-fe94-48ba-88d5-863ae23dfc68,3,c4305a7d-17cc-4e7c-8496-c96283d5d797,,https://www.stormwatch.com/sensor/?site_id=4388&site=a39ae34d-fe94-48ba-88d5-863ae23dfc68&device_id=3&device=c4305a7d-17cc-4e7c-8496-c96283d5d797
,4432,e577dee3-66f4-4b2e-8f1c-9141be2e2d2c,2,217ccb73-07f4-40d2-9efb-a635ae3a90c5,,https://www.stormwatch.com/sensor/?site_id=4432&site=e577dee3-66f4-4b2e-8f1c-9141be2e2d2c&device_id=2&device=217ccb73-07f4-40d2-9efb-a635ae3a90c5
,4379,88682a95-78c4-4575-a7ee-200d9ba30733,4,28b955c8-3a40-4422-b277-d7c831eaeb28,,https://www.stormwatch.com/sensor/?site_id=4379&site=88682a95-78c4-4575-a7ee-200d9ba30733&device_id=4&device=28b955c8-3a40-4422-b277-d7c831eaeb28
,4457,04f6800c-fe08-44bb-9449-bd0e19f3e192,3,9c9b3d61-dd95-498b-93da-a950dfaa3539,,https://www.stormwatch.com/sensor/?site_id=4457&site=04f6800c-fe08-44bb-9449-bd0e19f3e192&device_id=3&device=9c9b3d61-dd95-498b-93da-a950dfaa3539
,4460,b834ad94-5262-4f33-97c0-83530ef98566,3,fe927a81-8c2e-4083-8400-ef46063bfc73,,https://www.stormwatch.com/sensor/?site_id=4460&site=b834ad94-5262-4f33-97c0-83530ef98566&device_id=3&device=fe927a81-8c2e-4083-8400-ef46063bfc73
,92,06b6c9de-1bb2-4b95-8238-c90011a982f0,9,b0fd5b41-1c06-4334-babb-64928807e64d,,https://www.stormwatch.com/sensor/?site_id=92&site=06b6c9de-1bb2-4b95-8238-c90011a982f0&device_id=9&device=b0fd5b41-1c06-4334-babb-64928807e64d
,4381,1890d287-225b-415f-83d4-0f80a47d122e,4,7f515e4d-a50a-4cd1-a3b5-ce717db4251e,,https://www.stormwatch.com/sensor/?site_id=4381&site=1890d287-225b-415f-83d4-0f80a47d122e&device_id=4&device=7f515e4d-a50a-4cd1-a3b5-ce717db4251e
,94,c69b7b9d-477a-47f7-9c41-2837662e4cec,4,929dab02-924a-4116-8aae-f442d0a08dce,,https://www.stormwatch.com/sensor/?site_id=94&site=c69b7b9d-477a-47f7-9c41-2837662e4cec&device_id=4&device=929dab02-924a-4116-8aae-f442d0a08dce
,24,239d5f75-1ec9-4c83-8cf5-0d15a783304c,6,296fca99-83fd-4d9d-8b3e-aa5c25dcd7b2,,https://www.stormwatch.com/sensor/?site_id=24&site=239d5f75-1ec9-4c83-8cf5-0d15a783304c&device_id=6&device=296fca99-83fd-4d9d-8b3e-aa5c25dcd7b2
,4383,f5076e1f-b0d4-403b-b935-f69c1a305099,4,23d87798-9a1c-49c6-b38d-ba19fad41c7a,,https://www.stormwatch.com/sensor/?site_id=4383&site=f5076e1f-b0d4-403b-b935-f69c1a305099&device_id=4&device=23d87798-9a1c-49c6-b38d-ba19fad41c7a
,132,3462ea93-7321-4585-89fa-d581d30a2a21,2,aa26ec7f-6d95-4331-83d4-77c9ea6f1f64,,https://www.stormwatch.com/sensor/?site_id=132&site=3462ea93-7321-4585-89fa-d581d30a2a21&device_id=2&device=aa26ec7f-6d95-4331-83d4-77c9ea6f1f64
,43,70c72a6c-6890-4a65-be1e-9d6d6fc26a36,6,235ea14e-f3b8-40bd-805e-f36b553e4201,,https://www.stormwatch.com/sensor/?site_id=43&site=70c72a6c-6890-4a65-be1e-9d6d6fc26a36&device_id=6&device=235ea14e-f3b8-40bd-805e-f36b553e4201
,39,793c3698-6d60-4df8-85f0-89ddb8ad5fe5,5,36d3fa72-3c50-4af0-89ec-37b044a97861,,https://www.stormwatch.com/sensor/?site_id=39&site=793c3698-6d60-4df8-85f0-89ddb8ad5fe5&device_id=5&device=36d3fa72-3c50-4af0-89ec-37b044a97861
,4376,0863220b-1e06-47fd-b717-ffe29722c477,4,d15cda29-2594-4f5b-b0c0-5b06fd8bd1c1,,https://www.stormwatch.com/sensor/?site_id=4376&site=0863220b-1e06-47fd-b717-ffe29722c477&device_id=4&device=d15cda29-2594-4f5b-b0c0-5b06fd8bd1c1
