time_local,grid_rain_mm,contrib_16029,contrib_16015,contrib_16006,rain_16029,rain_16015,rain_16006
2016-08-26 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-26 07:00:00,1.8009436522490696,0.23105634775093015,1.3257408944055102,0.24414641009262905,1.016,2.032,2.032
2016-08-26 08:00:00,1.9402253910037204,1.1552817387546508,0.6628704472027551,0.12207320504631453,5.08,1.016,1.016
2016-08-26 09:00:00,16.714138396739607,3.927957911765812,11.931668049649593,0.8545124353242016,17.272,18.288,7.112
2016-08-26 10:00:00,6.126298596050034,2.079507129758371,3.3143522360137756,0.7324392302778872,9.144,5.08,6.096
2016-08-26 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-26 12:00:00,0.23105634775093015,0.23105634775093015,0.0,0.0,1.016,0.0,0.0
2016-08-26 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-26 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-26 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-26 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-26 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-26 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-26 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-26 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-26 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-26 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-26 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-27 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-27 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-27 02:00:00,0.12207320504631453,0.0,0.0,0.12207320504631453,0.0,0.0,1.016
2016-08-27 03:00:00,15.823609210130623,0.23105634775093015,7.291574919230307,8.300977943149386,1.016,11.176,69.088
2016-08-27 04:00:00,0.6103660252315726,0.0,0.0,0.6103660252315726,0.0,0.0,5.08
2016-08-27 05:00:00,11.372639280334253,0.9242253910037206,8.617315813635816,1.8310980756947177,4.064,13.208,15.24
2016-08-27 06:00:00,3.754259105594489,1.1552817387546508,1.9886113416082654,0.6103660252315726,5.08,3.048,5.08
2016-08-27 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-27 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-27 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-27 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-27 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-27 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
