event,event_start_local,event_end_local,n_event_hours,n_grids,n_gauges_used,n_gauges_per_grid
7,2017-07-26 17:00:00,2017-07-27 12:00:00,20,533,76,4

station_id,file_exists,rows_read,n_duplicates_collapsed,n_bad_time_rows_dropped,n_missing_after_reindex,n_filled_as_zero
16006,True,119224,13,0,6,6
16007,True,119214,13,0,7,7
16008,True,119218,13,0,6,6
16010,True,96500,11,0,4,4
16011,True,104153,12,0,7,7
16013,True,119223,13,0,7,7
16014,True,95109,11,0,7,7
16015,True,119218,13,0,6,6
16016,True,113129,13,0,6,6
16017,True,109568,12,0,7,7
16018,True,119206,13,0,8,8
16019,True,105157,12,0,8,8
16020,True,105149,12,0,7,7
16021,True,105163,12,0,8,8
16022,True,105155,12,0,8,8
16023,True,105154,12,0,9,9
16024,True,101860,11,0,8,8
16025,True,105161,12,0,8,8
16026,True,104358,12,0,7,7
16027,True,105153,12,0,8,8
16028,True,119219,13,0,7,7
16029,True,110428,12,0,7,7
16030,True,119221,13,0,9,9
16031,True,105155,12,0,10,10
16032,True,105155,12,0,8,8
16033,True,105156,12,0,10,10
16034,True,105147,12,0,9,9
16035,True,119225,13,0,9,9
16036,True,105154,12,0,9,9
16037,True,119223,13,0,8,8
16038,True,96766,11,0,6,6
16039,True,119221,13,0,9,9
16042,True,119219,13,0,10,10
16043,True,119218,13,0,9,9
16045,True,119223,13,0,10,10
16046,True,105153,12,0,10,10
16047,True,105157,12,0,9,9
16048,True,119216,13,0,11,11
16049,True,119217,13,0,10,10
16052,True,105162,12,0,7,7
16053,True,104289,12,0,6,6
16054,True,105153,12,0,9,9
16055,True,98172,11,0,6,6
16057,True,119223,13,0,6,6
16058,True,119222,13,0,8,8
16059,True,119214,13,0,7,7
16060,True,85078,9,0,5,5
16061,True,119217,13,0,8,8
16062,True,119217,13,0,4,4
16063,True,119217,13,0,8,8
16064,True,119216,13,0,6,6
16065,True,119221,13,0,8,8
16066,True,119210,13,0,6,6
16067,True,119220,13,0,9,9
16068,True,119222,13,0,8,8
16069,True,119208,13,0,9,9
16070,True,119218,13,0,9,9
16071,True,119220,13,0,8,8
16073,True,119208,13,0,8,8
16074,True,119214,13,0,7,7
16075,True,119212,13,0,8,8
16085,True,119220,13,0,8,8
16086,True,119229,13,0,8,8
16088,True,94436,11,0,9,9
16090,True,68174,8,0,8,8
16093,True,119228,13,0,6,6
16094,True,119215,13,0,5,5
16095,True,119213,13,0,5,5
16096,True,96586,11,0,6,6
16098,True,78042,9,0,5,5
1720,True,119229,13,0,8,8
2420,True,119216,13,0,7,7
2710,True,119210,13,0,9,9
2790,True,117991,13,0,8,8
2800,True,119212,13,0,11,11
5700,True,119229,13,0,5,5
