time_local,16006,16007,16008,16010,16011,16013,16014,16015,16016,16017,16018,16019,16020,16021,16022,16023,16024,16025,16026,16027,16028,16029,16030,16031,16032,16034,16035,16036,16037,16038,16039,16040,16042,16043,16044,16045,16046,16047,16048,16049,16052,16053,16054,16055,16057,16058,16059,16061,16062,16063,16064,16065,16066,16067,16068,16069,16070,16071,16073,16074,16075,16085,16086,16088,16093,16094,16095,16096,1720,2420,2700,2710,2790,2800,5600,5700
2015-09-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-11 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-11 02:00:00,9.144,6.096,3.048,2.794,5.08,7.112,8.128,10.16,14.224,13.208,7.112,1.016,3.048,3.048,2.032,2.032,5.08,4.064,1.016,9.144,15.24,4.064,2.032,1.016,5.08,0.0,0.0,1.016,3.048,2.286,2.032,1.016,0.0,1.016,0.0,0.0,2.032,1.016,1.016,0.0,4.064,6.096,4.064,22.352,26.416,37.592,21.336,38.608,21.336,32.512,10.16,29.464,37.592,8.128,35.56,45.72,58.928,42.672,45.72,43.688,42.672,17.272,15.24,3.048,5.08,3.048,2.032,6.096,2.032,1.016,0.0,0.0,1.016,0.0,3.048,2.032
2015-09-11 03:00:00,7.112,21.336,5.08,3.302,4.064,5.08,10.16,6.096,5.08,5.08,22.352,4.064,6.096,18.288,10.16,11.176,13.208,11.176,10.16,5.08,4.064,5.08,8.128,8.128,31.496,14.224,5.08,11.176,11.176,8.636,8.128,7.112,9.144,7.112,5.08,3.048,14.224,13.208,15.24,3.048,14.224,9.144,16.256,6.096,5.08,9.144,11.176,5.08,11.176,7.112,20.32,7.112,6.096,21.336,14.224,4.064,4.064,4.064,8.128,4.064,5.08,20.32,26.416,31.496,17.272,24.384,10.16,8.128,6.096,15.24,9.144,14.224,7.112,2.032,21.336,13.208
2015-09-11 04:00:00,5.08,6.096,5.08,4.8260000000000005,5.08,5.08,6.096,4.064,5.08,5.08,8.128,4.064,3.048,3.048,4.064,4.064,4.064,5.08,4.064,2.032,4.064,4.064,2.032,36.576,11.176,17.272,10.16,19.304,3.048,2.794,4.064,6.096,5.08,3.048,5.08,5.08,20.32,7.112,4.064,5.08,6.096,4.064,5.08,4.064,5.08,4.064,6.096,7.112,5.08,8.128,6.096,6.096,7.112,7.112,20.32,8.128,11.176,9.144,13.208,10.16,8.128,19.304,1.016,26.416,6.096,5.08,4.064,7.112,4.064,4.064,6.096,7.112,4.064,5.08,6.096,6.096
2015-09-11 05:00:00,3.048,6.096,5.08,5.8420000000000005,6.096,4.064,4.064,5.08,4.064,5.08,5.08,6.096,6.096,5.08,5.08,5.08,4.064,5.08,5.08,3.048,5.08,6.096,6.096,8.128,6.096,7.112,9.144,7.112,7.112,5.8420000000000005,7.112,9.144,6.096,7.112,7.112,7.112,7.112,6.096,7.112,6.096,5.08,6.096,4.064,5.08,5.08,4.064,4.064,4.064,4.064,4.064,4.064,4.064,6.096,5.08,6.096,6.096,5.08,7.112,7.112,5.08,4.064,6.096,4.064,9.144,6.096,6.096,6.096,5.08,7.112,6.096,7.112,6.096,7.112,6.096,6.096,5.08
2015-09-11 06:00:00,1.016,1.016,2.032,1.016,1.016,1.016,3.048,1.016,2.032,1.016,2.032,1.016,1.016,1.016,2.032,2.032,2.032,2.032,2.032,1.016,1.016,1.016,1.016,3.048,3.048,3.048,2.032,3.048,2.032,2.54,2.032,2.032,2.032,2.032,1.016,1.016,3.048,3.048,2.032,2.032,1.016,1.016,1.016,1.016,1.016,2.032,1.016,1.016,1.016,1.016,1.016,1.016,2.032,2.032,1.016,1.016,1.016,1.016,2.032,0.0,1.016,1.016,0.0,3.048,1.016,1.016,1.016,1.016,1.016,2.032,3.048,3.048,2.032,2.032,2.032,0.0
2015-09-11 07:00:00,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016
2015-09-11 08:00:00,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016
