time_local,16006,16007,16008,16010,16014,16015,16016,16017,16018,16019,16020,16021,16022,16023,16024,16025,16026,16027,16028,16029,16030,16031,16032,16033,16034,16035,16036,16037,16038,16039,16040,16042,16043,16044,16045,16046,16047,16048,16049,16052,16054,16055,16057,16058,16059,16060,16061,16062,16063,16064,16065,16066,16067,16068,16070,16071,16073,16074,16075,16085,16086,16088,16090,16093,16094,16095,16096,16098,1720,2420,2710,2790,2800
2017-07-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-23 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-23 02:00:00,0.0,10.16,0.0,0.0,8.128,0.0,1.016,1.016,6.096,0.0,5.08,10.16,9.144,0.0,4.064,12.192,4.064,7.112,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-23 03:00:00,15.24,35.56,15.24,14.732,21.336,32.512,29.464,26.416,35.56,33.528,31.496,33.528,33.528,37.592,31.496,42.672,35.56,40.64,32.512,31.496,19.304,3.048,19.304,8.128,1.016,4.064,0.0,15.24,14.986,10.16,36.576,45.72,32.512,56.896,35.56,5.08,8.128,11.176,41.656,9.144,5.08,15.24,12.192,6.096,13.208,10.16,20.32,14.224,6.096,7.112,7.112,40.64,17.272,27.432,36.576,37.592,52.832,27.432,10.16,47.752,30.48,11.176,25.4,4.064,1.016,23.368,15.24,28.194,10.16,3.048,1.016,3.048,29.464
2017-07-23 04:00:00,69.088,22.352,42.672,10.414,24.384,49.784,46.736,46.736,19.304,26.416,24.384,27.432,24.384,21.336,24.384,18.288,24.384,10.16,42.672,31.496,16.256,19.304,10.16,10.16,31.496,25.4,31.496,18.288,17.272,16.256,26.416,28.448,26.416,25.4,24.384,19.304,24.384,24.384,26.416,34.544,34.544,18.288,16.256,30.48,45.72,35.56,20.32,43.688,23.368,44.704,18.288,24.384,17.272,15.24,15.24,16.256,11.176,3.048,17.272,7.112,17.272,7.112,28.448,59.944,52.832,48.768,61.976,40.64,67.056,53.848,56.896,8.128,22.352
2017-07-23 05:00:00,0.0,4.064,0.0,0.254,2.032,1.016,0.0,1.016,4.064,1.016,2.032,5.08,2.032,3.048,6.096,5.08,1.016,2.032,2.032,0.0,4.064,1.016,5.08,1.016,0.0,1.016,2.032,3.048,1.016,0.0,1.016,1.016,1.016,1.016,2.032,2.032,1.016,1.016,2.032,0.0,1.016,0.0,0.0,1.016,0.0,1.016,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,1.016,1.016,0.0,1.016,1.016,0.0,0.0,1.016,0.0,1.016,0.0,1.016,0.0,0.254,1.016,1.016,0.0,0.0,1.016
2017-07-23 06:00:00,1.016,1.016,1.016,1.524,2.032,1.016,2.032,1.016,1.016,1.016,1.016,2.032,1.016,1.016,1.016,2.032,2.032,1.016,1.016,1.016,1.016,1.016,1.016,1.016,1.016,0.0,1.016,1.016,1.016,1.016,0.0,1.016,1.016,1.016,1.016,1.016,1.016,1.016,1.016,1.016,1.016,2.032,3.048,2.032,2.032,2.032,3.048,3.048,2.032,1.016,3.048,2.032,1.016,2.032,2.032,1.016,2.032,1.016,2.032,1.016,1.016,1.016,1.016,0.0,3.048,1.016,1.016,1.524,1.016,1.016,1.016,2.032,1.016
2017-07-23 07:00:00,1.016,0.0,1.016,0.254,0.0,1.016,0.0,1.016,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,1.016,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.508,0.0,1.016,1.016,0.0,1.016,1.016,0.0,0.0,0.0,0.0,1.016,0.0,1.016,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,1.016,0.0,1.016,0.0,0.0,0.0,1.016,0.0,1.016,0.0,1.016,0.254,0.0,0.0,1.016,1.016,1.016
2017-07-23 08:00:00,0.0,0.0,0.0,0.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,1.016,0.0,1.016,0.0,1.016,0.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
