event,event_start_local,event_end_local,n_event_hours,n_grids,n_gauges_used,n_gauges_per_grid
3,2015-09-11 00:00:00,2015-09-11 12:00:00,13,533,70,4

station_id,file_exists,rows_read,n_duplicates_collapsed,n_bad_time_rows_dropped,n_missing_after_reindex,n_filled_as_zero
16006,True,119224,13,0,7,7
16007,True,119214,13,0,7,7
16008,True,119218,13,0,7,7
16010,True,96500,11,0,8,8
16011,True,104153,12,0,8,8
16013,True,119223,13,0,6,6
16014,True,95109,11,0,7,7
16015,True,119218,13,0,7,7
16016,True,113129,13,0,8,8
16017,True,109568,12,0,8,8
16018,True,119206,13,0,7,7
16019,True,105157,12,0,8,8
16020,True,105149,12,0,7,7
16021,True,105163,12,0,6,6
16022,True,105155,12,0,7,7
16023,True,105154,12,0,7,7
16024,True,101860,11,0,8,8
16025,True,105161,12,0,8,8
16026,True,104358,12,0,7,7
16027,True,105153,12,0,8,8
16028,True,119219,13,0,8,8
16029,True,110428,12,0,7,7
16030,True,119221,13,0,6,6
16031,True,105155,12,0,7,7
16032,True,105155,12,0,7,7
16034,True,105147,12,0,8,8
16035,True,119225,13,0,9,9
16036,True,105154,12,0,7,7
16037,True,119223,13,0,6,6
16038,True,96766,11,0,7,7
16039,True,119221,13,0,8,8
16040,True,119221,13,0,7,7
16042,True,119219,13,0,8,8
16043,True,119218,13,0,8,8
16044,True,119224,13,0,8,8
16045,True,119223,13,0,8,8
16046,True,105153,12,0,8,8
16047,True,105157,12,0,8,8
16048,True,119216,13,0,6,6
16052,True,105162,12,0,8,8
16053,True,104289,12,0,7,7
16054,True,105153,12,0,8,8
16055,True,98172,11,0,7,7
16057,True,119223,13,0,8,8
16058,True,119222,13,0,7,7
16059,True,119214,13,0,8,8
16061,True,119217,13,0,8,8
16062,True,119217,13,0,7,7
16063,True,119217,13,0,8,8
16064,True,119216,13,0,8,8
16065,True,119221,13,0,8,8
16066,True,119210,13,0,7,7
16067,True,119220,13,0,8,8
16068,True,119222,13,0,8,8
16070,True,119218,13,0,7,7
16071,True,119220,13,0,7,7
16073,True,119208,13,0,8,8
16074,True,119214,13,0,8,8
16075,True,119212,13,0,7,7
16085,True,119220,13,0,7,7
16086,True,119229,13,0,9,9
16088,True,94436,11,0,7,7
16093,True,119228,13,0,8,8
16095,True,119213,13,0,8,8
16096,True,96586,11,0,7,7
1720,True,119229,13,0,7,7
2790,True,117991,13,0,7,7
2800,True,119212,13,0,8,8
5600,True,119208,13,0,7,7
5700,True,119229,13,0,7,7
