time,raw_raw_value_str,raw_value,raw_unit,event_raw_value_str,event_value,event_unit,hourly_value
2014-10-02 10:43:22+00:00,,,,0.03,0.7619999999999999,mm,
2014-10-02 10:54:21+00:00,,,,0.04,1.016,mm,
2014-10-02 10:57:53+00:00,,,,0.04,1.016,mm,
2014-10-02 10:58:49+00:00,,,,0.04,1.016,mm,
2014-10-02 11:01:59+00:00,,,,0.04,1.016,mm,
2014-10-02 11:44:52+00:00,,,,0.04,1.016,mm,
2014-10-02 11:47:33+00:00,,,,0.04,1.016,mm,
2014-10-02 11:51:19+00:00,,,,0.04,1.016,mm,
2014-10-02 11:51:59+00:00,,,,0.04,1.016,mm,
2014-10-02 11:52:41+00:00,,,,0.04,1.016,mm,
2014-10-02 11:53:22+00:00,,,,0.04,1.016,mm,
2014-10-02 11:54:15+00:00,,,,0.04,1.016,mm,
2014-10-02 11:55:04+00:00,,,,0.04,1.016,mm,
2014-10-02 11:56:05+00:00,,,,0.04,1.016,mm,
2014-10-02 11:56:46+00:00,,,,0.04,1.016,mm,
2014-10-02 11:57:35+00:00,,,,0.04,1.016,mm,
2014-10-02 11:58:14+00:00,,,,0.04,1.016,mm,
2014-10-02 11:59:26+00:00,,,,0.04,1.016,mm,
2014-10-02 12:02:43+00:00,,,,0.04,1.016,mm,
2014-10-02 14:12:33+00:00,,,,0.04,1.016,mm,
2014-10-02 14:14:13+00:00,,,,0.04,1.016,mm,
2014-10-02 14:16:14+00:00,,,,0.04,1.016,mm,
2014-10-02 14:23:04+00:00,,,,0.04,1.016,mm,
2014-10-02 22:43:24+00:00,,,,0.0,0.0,mm,
2014-10-03 10:05:13+00:00,,,,0.04,1.016,mm,
2014-10-03 10:43:26+00:00,,,,0.0,0.0,mm,
2014-10-03 22:43:27+00:00,,,,0.0,0.0,mm,
2014-10-04 10:43:29+00:00,,,,0.0,0.0,mm,
2014-10-04 22:43:31+00:00,,,,0.0,0.0,mm,
2014-10-05 10:43:32+00:00,,,,0.0,0.0,mm,
2014-10-05 22:43:34+00:00,,,,0.0,0.0,mm,
2014-10-05 23:14:27+00:00,,,,0.04,1.016,mm,
2014-10-06 10:43:36+00:00,,,,0.0,0.0,mm,
2014-10-06 22:43:37+00:00,,,,0.0,0.0,mm,
2014-10-07 10:43:39+00:00,,,,0.0,0.0,mm,
2014-10-07 22:43:41+00:00,,,,0.0,0.0,mm,
2014-10-08 10:43:42+00:00,,,,0.0,0.0,mm,
2014-10-08 22:43:44+00:00,,,,0.0,0.0,mm,
2014-10-09 08:47:12+00:00,,,,0.04,1.016,mm,
2014-10-09 09:49:30+00:00,,,,0.04,1.016,mm,
2014-10-09 09:52:02+00:00,,,,0.04,1.016,mm,
2014-10-09 09:53:24+00:00,,,,0.04,1.016,mm,
2014-10-09 09:59:24+00:00,,,,0.04,1.016,mm,
2014-10-09 10:27:18+00:00,,,,0.04,1.016,mm,
2014-10-09 10:43:45+00:00,,,,0.0,0.0,mm,
2014-10-09 10:45:34+00:00,,,,0.04,1.016,mm,
2014-10-09 18:29:22+00:00,,,,0.04,1.016,mm,
2014-10-09 18:43:47+00:00,,,,0.04,1.016,mm,
2014-10-09 18:54:11+00:00,,,,0.04,1.016,mm,
2014-10-09 19:13:20+00:00,,,,0.04,1.016,mm,
2014-10-09 19:32:21+00:00,,,,0.04,1.016,mm,
2014-10-09 19:49:27+00:00,,,,0.04,1.016,mm,
2014-10-09 20:12:17+00:00,,,,0.08,2.032,mm,
2014-10-09 20:38:52+00:00,,,,0.04,1.016,mm,
2014-10-09 20:59:33+00:00,,,,0.04,1.016,mm,
2014-10-09 21:24:26+00:00,,,,0.04,1.016,mm,
