id,Latitude,Longitude,g1,d1_m,b1_deg,w1,g2,d2_m,b2_deg,w2,g3,d3_m,b3_deg,w3,g4,d4_m,b4_deg,w4,sum_w
1.0,38.8447,-94.8653,16085,3780.825498478041,229.9133784571152,0.572110202612669,16068,4515.048958955611,343.7919799737395,0.03604308099144927,16032,5599.933108507675,130.399229451064,-0.04114017650705617,16067,4997.756723513019,59.79711938167509,0.43298689290293796,1.0
2.0,38.8447,-94.861133,16085,4063.579459506049,233.1943026312865,0.5513036020201951,16068,4628.762012581333,339.50105072255764,-0.002299005918382532,16032,5330.245943335818,132.91683818642878,-0.03565657081887895,16067,4689.37783770729,57.58110834644697,0.4866519747170663,1.0
3.0,38.8447,-94.856966,16085,4357.8966065747845,236.04055640486865,0.525764805834434,16068,4767.130556932916,335.43748337520447,-0.03457879800475473,16032,5071.920778088464,135.6966023970807,-0.024565686951644627,16067,4389.002398598867,55.05736835559185,0.5333796791219654,1.0
4.0,38.8447,-94.852799,16085,4661.587269849561,238.5216036517144,0.4958017350091928,16032,4826.782211122648,138.7664414786555,-0.008230158644745607,16068,4928.078229111667,331.62118182592815,-0.06118361869754783,16067,4098.390528422692,52.1692274931512,0.5736120423331007,1.0
5.0,38.8447,-94.848632,16032,4596.940311196156,142.1536900003174,0.01259491190304711,16085,4972.934459704421,240.69580637893935,0.46205373345453615,16067,3819.771343363734,48.85004320039508,0.6082779270316105,16068,5109.471755678419,328.06100683286377,-0.08292657238919371,1.0000000000000002
6.0,38.8447,-94.844465,16032,4384.801194694527,145.88269630972957,0.27849381649718097,16085,5290.586605057458,242.611570187956,0.292200197746991,16007,5729.936669554312,61.845733607858506,0.2620240654868182,16073,7052.12393095265,327.6165919698336,0.16728192026900982,1.0
7.0,38.8447,-94.840298,16032,4193.052634352106,149.97134947435757,0.29647223687684743,16085,5613.473463279728,244.30881227695303,0.26170212990675673,16007,5414.430401046862,60.04621579017851,0.2876128687704046,16073,7251.804370239412,325.2106105281408,0.15421276444599122,0.9999999999999999
8.0,38.8447,-94.836131,16086,2172.699931222117,341.41214525389574,-0.5584353181367037,16032,4024.61015012308,154.42651649287222,-0.4041157058875929,16085,5940.7415551598815,245.8204054859717,0.715688240969353,16018,3569.3466141168446,71.32851213455217,1.2468627830549435,1.0
9.0,38.8447,-94.831964,16086,2313.156111853303,332.9109772292296,-0.6345775653231593,16032,3882.508328125258,159.2387359595932,-0.41604879893572055,16085,6271.705057199065,247.1734590844614,0.7118152745309655,16018,3229.524532308067,69.2811358344535,1.3388110897279142,0.9999999999999999
10.0,38.8447,-94.827797,16086,2498.230911791865,325.52437539535003,-0.7420841912807604,16032,3769.727121323653,164.3770827708055,-0.44763931423548975,16085,6605.80855099741,248.3903984143709,0.726119819777927,16018,2894.7975118091003,66.75609267019763,1.463603685738323,0.9999999999999999
11.0,38.8447,-94.82363,16018,2567.159333730146,63.578612946498765,1.6012474761707565,16086,2718.8277734655608,319.2449429518474,-0.8619015892671934,16032,3688.9567381727343,169.7857418588735,-0.4869387574070977,16085,6942.598726707009,249.4898506813619,0.7475928705035347,1.0
12.0,38.8447,-94.819463,16067,2537.396271343351,7.948876698949219,0.6171314531674568,16032,3642.327368567997,175.3841306147998,0.4677750237372408,16085,7281.702803459151,250.4873612729503,-0.015257445037659271,16037,6855.491250497377,103.2918736599475,-0.0696490318670383,1.0
13.0,38.8447,-94.815296,16067,2513.028200855684,359.77497435760205,0.6112974143476183,16032,3631.154513523187,181.0719074169957,0.46606637645742643,16037,6504.810297502695,104.02539892202424,-0.03828495590550314,16085,7622.811982195734,251.39596889915143,-0.039078834899541594,0.9999999999999999
14.0,38.8447,-94.811129,16067,2540.2021541903005,351.6101639551619,0.8495435088065314,16085,7965.66867648439,252.22666613821087,0.00994918860640799,16024,6628.619730273198,64.3972311497962,-0.14856381870064894,16046,7252.304848198672,142.95768035502056,0.28907112128770956,1.0
15.0,38.8447,-94.806962,16032,3715.44274298355,192.2765920177453,-44.11294737699126,16037,5807.211933238445,105.7570152673626,56.17126755361821,16007,3249.7326617226117,33.74388904465616,-76.63879402122191,16086,3820.9284632516046,302.62462049039647,65.58047384459496,1.0
16.0,38.8447,-94.802795,16018,1244.6029165748123,23.429092512486704,0.3996938564887731,16032,3808.544605114855,197.5917134071392,0.1919472303282693,16037,5460.775326419018,106.78800493471108,0.16774647975405577,16086,4129.450624375661,299.9266072567082,0.24061243342890187,1.0
17.0,38.8447,-94.798628,16032,3932.6958739380334,202.61250925200824,-41.19174584045524,16086,4445.855469629478,297.60824557735583,61.157616448412824,16037,5116.340871469251,107.9580531636235,52.50579559343233,16007,2911.3106800068795,21.85272170155247,-71.47166620138992,1.0
18.0,38.8447,-94.794461,16032,4085.0666160545625,207.29274609712724,-40.99561212516888,16086,4768.574158871091,295.60092227828864,60.804384892542195,16037,4774.341911454405,109.2961663804154,52.268283285422285,16007,2797.1024832585235,14.977826280047282,-71.0770560527956,1.0
19.0,38.8447,-94.790294,16032,4262.6317303697215,211.61010918968933,-41.95668353592608,16037,4435.341869107764,110.83957812915791,53.49064306554418,16007,2726.2086946471272,7.633564303155879,-72.68568344614168,16086,5096.407402124718,293.85008468400684,62.151723916523586,1.0
20.0,38.8447,-94.786127,16018,1484.5096192079104,320.2908950830388,0.9467940151817553,16037,4100.084675311301,112.63666562527165,0.37151581644047826,16032,4462.384661508618,215.56192070510755,-0.10956745239688044,16025,5743.7243644518,41.531244539467934,-0.20874237922535294,1.0000000000000002
21.0,38.8447,-94.78196,16018,1737.3911888903474,311.0984190982455,0.9351599752332475,16037,3769.5691053526,114.75105293177388,0.44221065692279155,16032,4681.486094127109,219.15979108598935,-0.1576300527321195,16025,5511.069964621874,38.7241535104971,-0.21974057942391956,1.0
22.0,38.8447,-94.777793,16018,2023.2938414614728,304.3675920110497,0.9249752639827926,16037,3445.160110528885,117.267374175802,0.5134426400615542,16032,4917.350385249033,222.42451950260445,-0.20671620825851414,16025,5292.80088752596,35.67758219743104,-0.23170169578583255,1.0
23.0,38.8447,-94.773626,16037,3128.7577712306825,120.2992438869572,0.817610504127442,16032,5167.682763868032,225.38192494162368,-0.20649852293551135,16067,4405.2030047742055,304.79567856071554,0.6349670312587111,16025,5090.7678025830455,32.37910510055718,-0.24607901245064157,1.0000000000000002
