Reading,Receive,Value,Unit,Data Quality
04/25/2015 02:42:22 AM,07/27/2015 02:22:20 PM,0.04,in,A
04/25/2015 02:40:43 AM,07/27/2015 02:22:20 PM,0.04,in,A
04/24/2015 03:47:36 PM,07/27/2015 02:22:20 PM,0.00,in,A
04/23/2015 03:51:39 PM,07/27/2015 02:22:20 PM,0.00,in,A
04/23/2015 08:17:56 AM,07/27/2015 02:22:20 PM,0.04,in,A
04/23/2015 08:17:34 AM,07/27/2015 02:22:20 PM,0.04,in,A
04/22/2015 03:57:44 AM,07/27/2015 02:22:20 PM,0.00,in,A
04/21/2015 03:59:45 PM,07/27/2015 02:22:19 PM,0.00,in,A
04/21/2015 04:01:47 AM,07/27/2015 02:22:19 PM,0.00,in,A
04/20/2015 04:05:50 AM,07/27/2015 02:22:19 PM,0.08,in,A
04/19/2015 04:44:28 AM,07/27/2015 02:22:19 PM,0.04,in,A
04/19/2015 04:37:40 AM,07/27/2015 02:22:19 PM,0.04,in,A
04/19/2015 04:32:10 AM,07/27/2015 02:22:19 PM,0.04,in,A
04/19/2015 04:28:03 AM,07/27/2015 02:22:19 PM,0.04,in,A
04/19/2015 04:24:21 AM,07/27/2015 02:22:19 PM,0.04,in,A
04/19/2015 04:09:53 AM,07/27/2015 02:22:19 PM,0.04,in,A
04/19/2015 12:52:09 AM,07/27/2015 02:22:19 PM,0.04,in,A
04/16/2015 10:09:33 AM,07/27/2015 02:22:19 PM,0.08,in,A
04/16/2015 10:08:10 AM,07/27/2015 02:22:19 PM,0.08,in,A
04/16/2015 10:06:47 AM,07/27/2015 02:22:18 PM,0.04,in,A
04/16/2015 10:06:06 AM,07/27/2015 02:22:18 PM,0.04,in,A
04/16/2015 10:05:24 AM,07/27/2015 02:22:18 PM,0.04,in,A
04/16/2015 10:04:43 AM,07/27/2015 02:22:18 PM,0.04,in,A
04/16/2015 10:04:02 AM,07/27/2015 02:22:18 PM,0.04,in,AN
04/15/2015 01:47:59 PM,07/27/2015 02:22:18 PM,0.04,in,A
04/15/2015 01:47:16 PM,07/27/2015 02:22:18 PM,0.04,in,A
04/15/2015 01:46:33 PM,07/27/2015 02:22:18 PM,0.16,in,A
04/11/2015 07:45:46 PM,07/27/2015 02:22:18 PM,0.00,in,AN
04/05/2015 08:09:56 PM,07/27/2015 02:22:17 PM,0.00,in,A
04/04/2015 08:15:58 AM,07/27/2015 02:22:17 PM,0.00,in,A
04/01/2015 08:28:02 AM,07/27/2015 02:22:17 PM,0.00,in,A
03/31/2015 08:32:04 AM,07/27/2015 02:22:17 PM,0.00,in,A
03/29/2015 08:38:06 PM,07/27/2015 02:22:17 PM,0.00,in,A
03/29/2015 08:40:07 AM,07/27/2015 02:22:17 PM,0.00,in,A
03/28/2015 08:42:07 PM,07/27/2015 02:22:17 PM,0.00,in,A
03/28/2015 08:44:08 AM,07/27/2015 02:22:17 PM,0.00,in,A
03/27/2015 08:46:09 PM,07/27/2015 02:22:17 PM,0.00,in,AN
03/23/2015 09:02:13 PM,07/27/2015 02:22:16 PM,0.00,in,A
03/23/2015 09:04:14 AM,07/27/2015 02:22:16 PM,0.00,in,A
03/22/2015 09:06:15 PM,07/27/2015 02:22:16 PM,0.00,in,A
03/22/2015 09:08:16 AM,07/27/2015 02:22:16 PM,0.00,in,A
03/21/2015 09:12:17 AM,07/27/2015 02:22:16 PM,0.00,in,A
03/17/2015 10:17:43 AM,07/27/2015 02:22:16 PM,0.12,in,A
03/17/2015 10:15:36 AM,07/27/2015 02:22:16 PM,0.04,in,A
03/17/2015 10:14:53 AM,07/27/2015 02:22:16 PM,0.12,in,A
03/10/2015 10:55:10 PM,07/27/2015 02:22:16 PM,0.00,in,A
03/10/2015 10:57:07 AM,07/27/2015 02:22:16 PM,0.00,in,A
03/09/2015 10:59:04 PM,07/27/2015 02:22:15 PM,0.00,in,A
03/09/2015 11:01:02 AM,07/27/2015 02:22:15 PM,0.00,in,A
03/08/2015 11:02:59 PM,07/27/2015 02:22:15 PM,0.00,in,A
03/08/2015 11:04:56 AM,07/27/2015 02:22:15 PM,0.00,in,A
03/07/2015 10:06:53 PM,07/27/2015 02:22:15 PM,0.00,in,A
03/06/2015 10:10:48 PM,07/27/2015 02:22:15 PM,0.00,in,A
03/06/2015 10:12:45 AM,07/27/2015 02:22:15 PM,0.00,in,A
03/05/2015 10:14:42 PM,07/27/2015 02:22:15 PM,0.00,in,A
03/02/2015 10:26:21 PM,07/27/2015 02:22:15 PM,0.00,in,A
03/02/2015 10:28:18 AM,07/27/2015 02:22:15 PM,0.12,in,A
02/24/2015 10:49:40 PM,07/27/2015 02:22:15 PM,0.16,in,A
02/20/2015 11:05:12 PM,07/27/2015 02:22:15 PM,0.00,in,A
02/20/2015 09:07:54 PM,07/27/2015 02:22:14 PM,0.04,in,A
02/17/2015 11:31:38 AM,07/27/2015 02:22:14 PM,0.04,in,A
02/17/2015 11:18:46 AM,07/27/2015 02:22:14 PM,0.04,in,A
02/14/2015 11:30:24 AM,07/27/2015 02:22:14 PM,0.00,in,A
02/13/2015 11:32:21 PM,07/27/2015 02:22:14 PM,0.00,in,A
02/13/2015 11:34:17 AM,07/27/2015 02:22:14 PM,0.00,in,A
02/11/2015 11:40:07 PM,07/27/2015 02:22:14 PM,0.00,in,A
02/10/2015 11:44:01 PM,07/27/2015 02:22:14 PM,0.00,in,A
02/10/2015 11:45:58 AM,07/27/2015 02:22:14 PM,0.00,in,A
02/09/2015 11:47:55 PM,07/27/2015 02:22:14 PM,0.00,in,A
02/08/2015 11:51:49 PM,07/27/2015 02:22:14 PM,0.00,in,A
02/08/2015 11:53:46 AM,07/27/2015 02:22:13 PM,0.00,in,A
02/07/2015 11:55:44 PM,07/27/2015 02:22:13 PM,0.00,in,A
02/07/2015 11:57:41 AM,07/27/2015 02:22:13 PM,0.00,in,A
02/06/2015 11:59:38 PM,07/27/2015 02:22:13 PM,0.00,in,A
02/06/2015 12:01:35 PM,07/27/2015 02:22:13 PM,0.00,in,A
02/05/2015 02:39:59 PM,07/27/2015 02:22:13 PM,0.04,in,A
02/05/2015 02:39:15 PM,07/27/2015 02:22:13 PM,0.04,in,A
02/05/2015 02:38:30 PM,07/27/2015 02:22:13 PM,0.04,in,A
02/05/2015 02:37:45 PM,07/27/2015 02:22:13 PM,0.04,in,A
02/05/2015 02:37:01 PM,07/27/2015 02:22:13 PM,0.04,in,A
02/05/2015 02:36:16 PM,07/27/2015 02:22:13 PM,0.04,in,A
02/05/2015 02:35:32 PM,07/27/2015 02:22:13 PM,0.04,in,A
02/05/2015 02:34:48 PM,07/27/2015 02:22:12 PM,0.04,in,A
02/05/2015 02:34:05 PM,07/27/2015 02:22:12 PM,0.04,in,A
02/05/2015 02:33:22 PM,07/27/2015 02:22:12 PM,0.04,in,A
02/05/2015 02:32:39 PM,07/27/2015 02:22:12 PM,0.04,in,A
02/05/2015 02:31:56 PM,07/27/2015 02:22:12 PM,0.04,in,A
02/05/2015 02:31:19 PM,07/27/2015 02:22:12 PM,0.00,in,A
02/04/2015 06:45:15 AM,07/27/2015 02:22:12 PM,0.00,in,A
02/03/2015 06:47:09 PM,07/27/2015 02:22:12 PM,0.00,in,A
02/03/2015 02:14:00 PM,07/27/2015 02:22:12 PM,0.04,in,A
02/03/2015 01:51:22 PM,07/27/2015 02:22:12 PM,0.04,in,A
02/03/2015 01:38:41 PM,07/27/2015 02:22:11 PM,0.04,in,A
02/03/2015 01:25:15 PM,07/27/2015 02:22:11 PM,0.04,in,A
02/03/2015 01:16:52 PM,07/27/2015 02:22:11 PM,0.04,in,A
02/03/2015 01:03:04 PM,07/27/2015 02:22:11 PM,0.04,in,A
02/03/2015 12:51:44 PM,07/27/2015 02:22:11 PM,0.04,in,A
02/03/2015 12:41:57 PM,07/27/2015 02:22:11 PM,0.04,in,A
02/03/2015 12:26:41 PM,07/27/2015 02:22:11 PM,0.04,in,A
02/03/2015 12:00:55 PM,07/27/2015 02:22:11 PM,0.04,in,A
02/03/2015 11:29:38 AM,07/27/2015 02:22:11 PM,0.04,in,A
02/03/2015 06:49:03 AM,07/27/2015 02:22:11 PM,0.00,in,A
02/02/2015 06:50:57 PM,07/27/2015 02:22:11 PM,0.04,in,A
02/02/2015 01:17:19 PM,07/27/2015 02:22:11 PM,0.04,in,A
02/02/2015 06:52:50 AM,07/27/2015 02:22:10 PM,0.00,in,A
02/01/2015 06:54:43 PM,07/27/2015 02:22:10 PM,0.00,in,A
02/01/2015 06:56:37 AM,07/27/2015 02:22:10 PM,0.00,in,A
01/31/2015 09:37:40 PM,07/27/2015 02:22:10 PM,0.04,in,A
01/31/2015 08:53:36 PM,07/27/2015 02:22:10 PM,0.04,in,A
01/31/2015 08:23:29 PM,07/27/2015 02:22:10 PM,0.04,in,A
01/31/2015 07:54:43 PM,07/27/2015 02:22:10 PM,0.04,in,A
01/31/2015 07:09:27 PM,07/27/2015 02:22:10 PM,0.04,in,A
01/31/2015 06:58:31 PM,07/27/2015 02:22:10 PM,0.00,in,A
01/31/2015 06:49:20 PM,07/27/2015 02:22:10 PM,0.04,in,A
01/31/2015 06:27:36 PM,07/27/2015 02:22:10 PM,0.04,in,A
