id,n_gauges,a_km,b,nugget,g1,d1_m,b1_deg,w1,g2,d2_m,b2_deg,w2,g3,d3_m,b3_deg,w3,g4,d4_m,b4_deg,w4
12391609,4,13.049563049727649,0.6615557392258655,0.0,2800,6216.258638255029,173.40148472503438,0.18288001650143437,16019,4016.050007017563,257.20076294510267,0.2685342291520023,1720,3115.163422551416,345.0995497140892,0.3709734444859186,2700,6255.910512695266,73.96084544139751,0.1776123098606447
12391608,4,13.049563049727649,0.6615557392258655,0.0,2710,5854.47685908007,57.76357623691979,0.24585789322860574,16019,4414.461643635915,243.06755344540608,0.3249904912046192,2790,4279.42633896625,351.10639592229074,0.24462422028059436,16010,4646.354608599017,306.73444712527584,0.18452739528618067
12391607,4,13.049563049727649,0.6615557392258655,0.0,2710,5327.584608164121,67.79892026051311,0.2376322166458653,2790,3191.688042013056,347.6799480368111,0.32643339459804405,16019,5030.938120346143,231.8275411229761,0.23928636757214664,16010,4098.412771943505,294.03449925902083,0.19664802118394406
12367103,4,13.049563049727649,0.6615557392258655,0.0,16093,2368.3762976623425,36.22106893366845,0.2980187280410013,16006,1670.5708651075918,269.149661996645,0.43445537207458673,16013,3856.390251022125,188.86325292811853,0.15094771350950398,16095,4412.975489023538,96.1253727246671,0.11657818637490802
12367102,4,13.049563049727649,0.6615557392258655,0.0,16093,1594.8479229458526,59.857133402973886,0.43987776400478934,16006,2036.1020012322967,236.1348391648732,0.3313919217210701,16090,3828.160060285012,311.1705206958633,0.12790727406195393,16010,4565.972229263046,150.86567638501538,0.10082304021218655
12342625,4,13.049563049727649,0.6615557392258655,0.0,16034,5467.1795404832965,76.43826758233183,0.33381553106789175,16033,5584.986143068977,285.19695345332025,0.2805524163649072,16046,4737.166633156841,332.94562430946587,0.27371827821230954,16039,7847.785452249794,20.399593658780876,0.11191377435489155
12342624,4,13.049563049727649,0.6615557392258655,0.0,16046,3794.6844529533455,325.015897535952,0.3298679204470811,16034,5296.49840002071,88.1364507541843,0.3030848682604471,16033,5422.312177530152,273.7460187524673,0.2386911136989867,16039,6810.175352060287,23.48963156902425,0.1283560975934851
12367114,4,13.049563049727649,0.6615557392258655,0.0,16043,1639.8300938451112,190.08930872010168,0.41810774770600545,16026,2520.5187474668232,280.7641252215998,0.20889017848623753,16020,2648.4984468137263,355.5192173585551,0.24862277947720374,16045,4671.900414807144,99.26480993293728,0.12437929433055325
12367113,4,13.049563049727649,0.6615557392258655,0.0,16019,4102.543666967726,32.992473188632175,0.23308517499355147,16027,3904.9874468373137,310.9209513026531,0.2253558488968025,16030,3366.919261806951,229.2239063472012,0.28774425104988377,16044,3934.3358341841736,131.1522992349743,0.25381472505976227
12367112,4,13.049563049727649,0.6615557392258655,0.0,16019,3214.797733386461,43.51926104211736,0.3207814096728335,16027,3305.019562683411,295.9849619087267,0.29385000473782047,16045,5451.637664885969,123.03215285428912,0.16040445327300218,16030,4189.532254595647,217.8365974662652,0.2249641323163439
