ID,Latitude,Longitude
3620,39.289336800000001,-94.628969100000006
3600,39.289198100000000,-94.645378300000004
7010,39.122897999999999,-94.712834000000001
2540,39.266929500000003,-94.518555300000003
2520,39.245374699999999,-94.498011099999999
3810,39.246234200000004,-94.617708100000002
3770,39.189593899999998,-94.424915600000006
16048,38.812609999999999,-94.675690000000003
16035,38.781750000000002,-94.631630000000001
16040,38.807380000000002,-94.630520000000004
16049,38.842579999999998,-94.612799999999993
2800,38.859486699999998,-94.585526500000000
2320,38.925231699999998,-94.571011499999997
2700,38.931497299999997,-94.526008099999999
2710,38.953897800000000,-94.538500999999997
2420,38.972711599999997,-94.548375800000002
5110,38.998600000000003,-94.558300000000003
2440,39.014274499999999,-94.524134799999999
2460,39.037405300000003,-94.522620599999996
4080,39.036633799999997,-94.476568000000000
4060,39.038649300000003,-94.478582900000006
4040,39.044464400000003,-94.492849800000002
4160,39.098109500000000,-94.523447599999997
2500,39.089770799999997,-94.493078699999998
16093,38.992440000000002,-94.649249999999995
5600,38.994693499999997,-94.639625899999999
16094,38.997380000000000,-94.636470000000003
5700,39.022575699999997,-94.642787700000000
5800,39.033069400000002,-94.605365800000001
5900,39.040312499999999,-94.585445899999996
5170,39.004267599999999,-94.584198000000001
5100,39.013533600000002,-94.564480000000003
5200,39.066764900000003,-94.565536300000005
5400,39.040527699999998,-94.566492800000006
6000,39.037060799999999,-94.531346900000003
16087,38.767603999999999,-95.024220999999997
16084,38.782719999999998,-94.991969999999995
16085,38.822800000000001,-94.898690000000002
16088,38.768932999999997,-94.871385000000004
16086,38.863219999999998,-94.844130000000007
16068,38.883690000000001,-94.879859999999994
16073,38.898249999999997,-94.888109999999998
16071,38.912720000000000,-94.881659999999997
16069,38.912610000000001,-94.888159999999999
16070,38.956020000000002,-94.915270000000007
16072,38.956299999999999,-94.923389999999998
16074,38.980499999999999,-94.925860000000000
16037,38.830500000000001,-94.742440000000002
16038,38.825997000000001,-94.723859000000004
16039,38.821719999999999,-94.705110000000005
3640,39.311132499999999,-94.643191700000003
2610,39.304904700000002,-94.492127199999999
3960,39.194922900000002,-94.548267300000006
3720,39.259974600000000,-94.565079600000004
3860,39.189886399999999,-94.610029400000002
16018,38.854970000000002,-94.797079999999994
16007,38.869000000000000,-94.786111000000005
16014,38.894165999999998,-94.760833000000005
16028,38.927109999999999,-94.736720000000005
16017,38.935619000000003,-94.720149000000006
16016,38.932378000000000,-94.714160000000007
16015,38.931080000000001,-94.698499999999996
16098,38.936525000000003,-94.686368999999999
16013,38.940579999999997,-94.671049999999994
