bin_start_utc,bin_end_utc,depth_5min_mm,mm_per_hr
2020-10-09 21:50:00+00:00,2020-10-09 21:55:00+00:00,0.0,0.0
2020-10-10 09:45:00+00:00,2020-10-10 09:50:00+00:00,0.0,0.0
2020-10-10 21:45:00+00:00,2020-10-10 21:50:00+00:00,0.0,0.0
2020-10-11 09:40:00+00:00,2020-10-11 09:45:00+00:00,0.0,0.0
2020-10-11 21:35:00+00:00,2020-10-11 21:40:00+00:00,0.0,0.0
2020-10-12 09:35:00+00:00,2020-10-12 09:40:00+00:00,0.0,0.0
2020-10-12 21:30:00+00:00,2020-10-12 21:35:00+00:00,0.0,0.0
2020-10-13 09:30:00+00:00,2020-10-13 09:35:00+00:00,0.0,0.0
2020-10-13 21:25:00+00:00,2020-10-13 21:30:00+00:00,0.0,0.0
2020-10-14 09:25:00+00:00,2020-10-14 09:30:00+00:00,0.0,0.0
2020-10-14 21:20:00+00:00,2020-10-14 21:25:00+00:00,0.0,0.0
2020-10-15 09:15:00+00:00,2020-10-15 09:20:00+00:00,0.0,0.0
2020-10-15 21:15:00+00:00,2020-10-15 21:20:00+00:00,0.0,0.0
2020-10-16 09:10:00+00:00,2020-10-16 09:15:00+00:00,0.0,0.0
2020-10-16 21:10:00+00:00,2020-10-16 21:15:00+00:00,0.0,0.0
2020-10-17 09:05:00+00:00,2020-10-17 09:10:00+00:00,0.0,0.0
2020-10-17 21:05:00+00:00,2020-10-17 21:10:00+00:00,0.0,0.0
2020-10-18 09:00:00+00:00,2020-10-18 09:05:00+00:00,0.0,0.0
2020-10-18 20:55:00+00:00,2020-10-18 21:00:00+00:00,0.0,0.0
2020-10-19 08:55:00+00:00,2020-10-19 09:00:00+00:00,0.0,0.0
2020-10-19 20:50:00+00:00,2020-10-19 20:55:00+00:00,0.0,0.0
2020-10-20 08:50:00+00:00,2020-10-20 08:55:00+00:00,0.0,0.0
2020-10-20 20:45:00+00:00,2020-10-20 20:50:00+00:00,0.0,0.0
2020-10-21 08:45:00+00:00,2020-10-21 08:50:00+00:00,0.0,0.0
2020-10-21 20:40:00+00:00,2020-10-21 20:45:00+00:00,0.0,0.0
2020-10-22 08:35:00+00:00,2020-10-22 08:40:00+00:00,0.0,0.0
2020-10-22 20:35:00+00:00,2020-10-22 20:40:00+00:00,0.0,0.0
2020-10-23 08:30:00+00:00,2020-10-23 08:35:00+00:00,0.0,0.0
2020-10-23 20:30:00+00:00,2020-10-23 20:35:00+00:00,0.0,0.0
2020-10-24 08:25:00+00:00,2020-10-24 08:30:00+00:00,0.0,0.0
2020-10-24 20:25:00+00:00,2020-10-24 20:30:00+00:00,0.0,0.0
2020-10-25 08:20:00+00:00,2020-10-25 08:25:00+00:00,0.0,0.0
2020-10-25 20:15:00+00:00,2020-10-25 20:20:00+00:00,0.0,0.0
2020-10-26 08:15:00+00:00,2020-10-26 08:20:00+00:00,0.0,0.0
2020-10-26 20:10:00+00:00,2020-10-26 20:15:00+00:00,0.0,0.0
2020-10-27 08:10:00+00:00,2020-10-27 08:15:00+00:00,0.0,0.0
2020-10-27 20:05:00+00:00,2020-10-27 20:10:00+00:00,0.0,0.0
2020-10-28 08:05:00+00:00,2020-10-28 08:10:00+00:00,0.0,0.0
2020-10-28 20:00:00+00:00,2020-10-28 20:05:00+00:00,0.0,0.0
2020-10-29 07:55:00+00:00,2020-10-29 08:00:00+00:00,0.0,0.0
2020-10-29 19:55:00+00:00,2020-10-29 20:00:00+00:00,0.0,0.0
2020-10-30 07:50:00+00:00,2020-10-30 07:55:00+00:00,0.0,0.0
2020-10-30 19:50:00+00:00,2020-10-30 19:55:00+00:00,0.0,0.0
2020-10-31 07:45:00+00:00,2020-10-31 07:50:00+00:00,0.0,0.0
2020-11-01 18:35:00+00:00,2020-11-01 18:40:00+00:00,0.0,0.0
2020-11-02 06:35:00+00:00,2020-11-02 06:40:00+00:00,0.0,0.0
2020-11-02 18:30:00+00:00,2020-11-02 18:35:00+00:00,0.0,0.0
2020-11-03 06:30:00+00:00,2020-11-03 06:35:00+00:00,0.0,0.0
2020-11-03 18:25:00+00:00,2020-11-03 18:30:00+00:00,0.0,0.0
2020-11-04 06:25:00+00:00,2020-11-04 06:30:00+00:00,0.0,0.0
2020-11-04 18:20:00+00:00,2020-11-04 18:25:00+00:00,0.0,0.0
2020-11-05 06:15:00+00:00,2020-11-05 06:20:00+00:00,0.0,0.0
2020-11-05 18:15:00+00:00,2020-11-05 18:20:00+00:00,0.0,0.0
2020-11-06 06:10:00+00:00,2020-11-06 06:15:00+00:00,0.0,0.0
2020-11-06 18:10:00+00:00,2020-11-06 18:15:00+00:00,0.0,0.0
2020-11-07 06:05:00+00:00,2020-11-07 06:10:00+00:00,0.0,0.0
2020-11-07 18:05:00+00:00,2020-11-07 18:10:00+00:00,0.0,0.0
2020-11-08 06:00:00+00:00,2020-11-08 06:05:00+00:00,0.0,0.0
2020-11-08 17:55:00+00:00,2020-11-08 18:00:00+00:00,0.0,0.0
2020-11-09 05:55:00+00:00,2020-11-09 06:00:00+00:00,0.0,0.0
2020-11-09 17:50:00+00:00,2020-11-09 17:55:00+00:00,0.0,0.0
2020-11-10 05:50:00+00:00,2020-11-10 05:55:00+00:00,0.0,0.0
2020-11-11 05:45:00+00:00,2020-11-11 05:50:00+00:00,0.0,0.0
