bin_start_utc,bin_end_utc,depth_5min_mm,mm_per_hr
2021-07-28 11:10:00+00:00,2021-07-28 11:15:00+00:00,25.4,304.79999999999995
2021-08-08 03:10:00+00:00,2021-08-08 03:15:00+00:00,0.0,0.0
2021-08-08 03:25:00+00:00,2021-08-08 03:30:00+00:00,25.4,304.79999999999995
2021-08-08 15:10:00+00:00,2021-08-08 15:15:00+00:00,0.0,0.0
2021-08-09 03:10:00+00:00,2021-08-09 03:15:00+00:00,0.0,0.0
2021-08-09 15:10:00+00:00,2021-08-09 15:15:00+00:00,0.0,0.0
2021-08-10 08:55:00+00:00,2021-08-10 09:00:00+00:00,1.016,12.192
2021-08-10 09:10:00+00:00,2021-08-10 09:15:00+00:00,1.016,12.192
2021-08-10 09:25:00+00:00,2021-08-10 09:30:00+00:00,1.016,12.192
2021-08-10 09:50:00+00:00,2021-08-10 09:55:00+00:00,1.016,12.192
2021-08-11 03:10:00+00:00,2021-08-11 03:15:00+00:00,0.0,0.0
2021-08-11 15:10:00+00:00,2021-08-11 15:15:00+00:00,0.0,0.0
2021-08-12 03:10:00+00:00,2021-08-12 03:15:00+00:00,0.0,0.0
2021-08-12 15:10:00+00:00,2021-08-12 15:15:00+00:00,0.0,0.0
2021-08-12 16:45:00+00:00,2021-08-12 16:50:00+00:00,2.032,24.384
2021-08-12 16:50:00+00:00,2021-08-12 16:55:00+00:00,3.048,36.576
2021-08-12 16:55:00+00:00,2021-08-12 17:00:00+00:00,1.016,12.192
2021-08-12 17:00:00+00:00,2021-08-12 17:05:00+00:00,1.016,12.192
2021-08-12 17:05:00+00:00,2021-08-12 17:10:00+00:00,2.032,24.384
2021-08-12 17:10:00+00:00,2021-08-12 17:15:00+00:00,3.048,36.576
2021-08-12 17:15:00+00:00,2021-08-12 17:20:00+00:00,1.016,12.192
2021-08-12 17:20:00+00:00,2021-08-12 17:25:00+00:00,1.016,12.192
2021-08-12 17:30:00+00:00,2021-08-12 17:35:00+00:00,1.016,12.192
2021-08-12 19:45:00+00:00,2021-08-12 19:50:00+00:00,1.016,12.192
