Reading,Receive,Value,Unit,Data Quality
2015-01-01T00:22:39Z,,0.0,mm,
2015-01-01T12:22:42Z,,0.0,mm,
2015-01-02T00:22:44Z,,0.0,mm,
2015-01-02T12:22:46Z,,0.0,mm,
2015-01-03T00:22:48Z,,0.0,mm,
2015-01-03T12:22:50Z,,0.0,mm,
2015-01-04T00:22:53Z,,0.0,mm,
2015-01-04T12:22:55Z,,0.0,mm,
2015-01-05T00:22:57Z,,0.0,mm,
2015-01-05T12:23:00Z,,0.0,mm,
2015-01-06T00:23:02Z,,0.0,mm,
2015-01-06T12:23:05Z,,0.0,mm,
2015-01-07T00:23:07Z,,0.0,mm,
2015-01-07T12:23:09Z,,0.0,mm,
2015-01-08T00:23:12Z,,0.0,mm,
2015-01-08T12:23:14Z,,0.0,mm,
2015-01-09T00:23:17Z,,0.0,mm,
2015-01-09T12:23:19Z,,0.0,mm,
2015-01-10T00:23:22Z,,0.0,mm,
2015-01-10T12:23:24Z,,0.0,mm,
2015-01-11T00:23:27Z,,0.0,mm,
2015-01-11T12:23:29Z,,0.0,mm,
2015-01-12T00:23:31Z,,0.0,mm,
2015-01-12T12:23:33Z,,0.0,mm,
2015-01-13T00:23:36Z,,0.0,mm,
2015-01-13T12:23:38Z,,0.0,mm,
2015-01-14T00:23:41Z,,0.0,mm,
2015-01-14T12:23:43Z,,0.0,mm,
2015-01-15T00:23:45Z,,0.0,mm,
2015-01-15T12:23:48Z,,0.0,mm,
2015-01-16T00:23:50Z,,0.0,mm,
2015-01-16T12:23:53Z,,0.0,mm,
2015-01-17T00:23:55Z,,0.0,mm,
2015-01-17T12:23:57Z,,0.0,mm,
2015-01-18T00:23:59Z,,0.0,mm,
2015-01-18T12:24:01Z,,0.0,mm,
2015-01-19T00:24:04Z,,0.0,mm,
2015-01-19T12:24:06Z,,0.0,mm,
2015-01-20T00:24:08Z,,0.0,mm,
2015-01-20T12:24:10Z,,0.0,mm,
2015-01-21T00:24:13Z,,0.0,mm,
2015-01-21T12:24:15Z,,0.0,mm,
2015-01-22T00:24:17Z,,0.0,mm,
2015-01-22T12:24:19Z,,0.0,mm,
2015-01-23T00:24:22Z,,0.0,mm,
2015-01-23T12:24:24Z,,0.0,mm,
2015-01-24T00:24:26Z,,0.0,mm,
2015-01-24T12:24:29Z,,0.0,mm,
2015-01-24T22:14:56Z,,1.016,mm,
2015-01-25T00:24:31Z,,0.0,mm,
2015-01-25T00:51:24Z,,1.016,mm,
2015-01-25T12:24:33Z,,0.0,mm,
2015-01-26T00:24:35Z,,0.0,mm,
2015-01-26T12:24:37Z,,0.0,mm,
2015-01-27T00:24:40Z,,0.0,mm,
2015-01-27T12:24:42Z,,0.0,mm,
2015-01-28T00:24:44Z,,0.0,mm,
2015-01-28T12:24:46Z,,0.0,mm,
2015-01-29T00:24:48Z,,0.0,mm,
2015-01-29T12:24:50Z,,0.0,mm,
2015-01-30T00:24:53Z,,0.0,mm,
2015-01-30T12:24:55Z,,0.0,mm,
2015-01-31T00:24:57Z,,0.0,mm,
2015-01-31T04:42:50Z,,1.016,mm,
2015-01-31T06:13:22Z,,1.016,mm,
2015-01-31T07:09:58Z,,1.016,mm,
2015-01-31T08:27:24Z,,1.016,mm,
2015-01-31T08:55:17Z,,1.016,mm,
2015-01-31T09:19:26Z,,1.016,mm,
2015-01-31T09:43:25Z,,1.016,mm,
2015-01-31T10:12:52Z,,1.016,mm,
2015-01-31T11:08:01Z,,1.016,mm,
2015-01-31T12:02:00Z,,1.016,mm,
2015-01-31T12:24:59Z,,0.0,mm,
2015-01-31T12:54:28Z,,1.016,mm,
2015-01-31T13:38:18Z,,1.016,mm,
2015-01-31T14:42:33Z,,1.016,mm,
2015-01-31T15:35:00Z,,1.016,mm,
2015-01-31T16:14:08Z,,1.016,mm,
2015-01-31T17:02:18Z,,1.016,mm,
