Reading,Receive,Value,Unit,Data Quality
2015-01-01T05:08:08Z,,0.0,mm,
2015-01-01T17:05:59Z,,0.0,mm,
2015-01-02T05:03:50Z,,0.0,mm,
2015-01-02T17:01:41Z,,0.0,mm,
2015-01-03T04:59:32Z,,0.0,mm,
2015-01-03T16:57:23Z,,0.0,mm,
2015-01-03T21:27:17Z,,1.016,mm,
2015-01-04T04:55:14Z,,0.0,mm,
2015-01-04T16:53:05Z,,0.0,mm,
2015-01-05T04:50:57Z,,0.0,mm,
2015-01-05T16:48:48Z,,0.0,mm,
2015-01-06T04:46:39Z,,0.0,mm,
2015-01-06T16:44:30Z,,0.0,mm,
2015-01-07T04:42:22Z,,0.0,mm,
2015-01-07T16:40:13Z,,0.0,mm,
2015-01-08T04:38:05Z,,0.0,mm,
2015-01-08T16:35:57Z,,0.0,mm,
2015-01-09T04:33:48Z,,0.0,mm,
2015-01-09T16:31:39Z,,0.0,mm,
2015-01-10T04:29:31Z,,0.0,mm,
2015-01-10T16:27:22Z,,0.0,mm,
2015-01-11T04:25:13Z,,0.0,mm,
2015-01-11T16:23:04Z,,0.0,mm,
2015-01-12T04:20:55Z,,0.0,mm,
2015-01-12T16:18:46Z,,0.0,mm,
2015-01-13T04:16:38Z,,0.0,mm,
2015-01-13T16:14:29Z,,0.0,mm,
2015-01-14T04:12:20Z,,0.0,mm,
2015-01-14T16:10:11Z,,0.0,mm,
2015-01-15T04:08:03Z,,0.0,mm,
2015-01-15T16:05:54Z,,0.0,mm,
2015-01-16T04:03:45Z,,0.0,mm,
2015-01-16T16:01:36Z,,0.0,mm,
2015-01-17T03:59:26Z,,0.0,mm,
2015-01-18T03:55:08Z,,0.0,mm,
2015-01-18T15:52:59Z,,0.0,mm,
2015-01-19T03:50:49Z,,0.0,mm,
2015-01-19T15:48:40Z,,0.0,mm,
2015-01-20T03:46:31Z,,0.0,mm,
2015-01-20T15:44:22Z,,0.0,mm,
2015-01-21T03:42:13Z,,0.0,mm,
2015-01-21T15:40:04Z,,0.0,mm,
2015-01-22T03:37:55Z,,0.0,mm,
2015-01-22T15:35:46Z,,0.0,mm,
2015-01-23T03:33:37Z,,0.0,mm,
2015-01-23T15:31:28Z,,0.0,mm,
2015-01-24T03:29:19Z,,0.0,mm,
2015-01-24T15:27:10Z,,0.0,mm,
2015-01-25T00:17:25Z,,1.016,mm,
2015-01-25T03:25:00Z,,0.0,mm,
2015-01-25T15:22:51Z,,0.0,mm,
2015-01-26T03:20:42Z,,0.0,mm,
2015-01-26T15:18:33Z,,0.0,mm,
2015-01-27T03:16:24Z,,0.0,mm,
2015-01-27T15:14:14Z,,0.0,mm,
2015-01-28T03:12:05Z,,0.0,mm,
2015-01-28T15:09:56Z,,0.0,mm,
2015-01-29T03:07:46Z,,0.0,mm,
2015-01-29T15:05:37Z,,0.0,mm,
