id,n_gauges,a_km,b,nugget,g1,d1_m,b1_deg,w1,g2,d2_m,b2_deg,w2,g3,d3_m,b3_deg,w3,g4,d4_m,b4_deg,w4
12391609,4,31.07795668128578,0.5514102171360642,0.0,2800,6216.258638255029,173.40148472503438,0.18766549899470433,16019,4016.050007017563,257.20076294510267,0.26836207525004585,1720,3115.163422551416,345.0995497140892,0.35972088010511816,2700,6255.910512695266,73.96084544139751,0.1842515456501316
12391608,4,31.07795668128578,0.5514102171360642,0.0,2710,5854.47685908007,57.76357623691979,0.24780954799648472,16019,4414.461643635915,243.06755344540608,0.31928508320045157,2790,4279.42633896625,351.10639592229074,0.24188533961733416,16010,4646.354608599017,306.73444712527584,0.19102002918572958
12391607,4,31.07795668128578,0.5514102171360642,0.0,2710,5327.584608164121,67.79892026051311,0.24100782232633733,2790,3191.688042013056,347.6799480368111,0.31613382935448975,16019,5030.938120346143,231.8275411229761,0.2400829651195295,16010,4098.412771943505,294.03449925902083,0.20277538319964347
12367103,4,31.07795668128578,0.5514102171360642,0.0,16093,2368.3762976623425,36.22106893366845,0.29389334890812935,16006,1670.5708651075918,269.149661996645,0.4171085175320411,16013,3856.390251022125,188.86325292811853,0.16128543590331712,16095,4412.975489023538,96.1253727246671,0.12771269765651244
12367102,4,31.07795668128578,0.5514102171360642,0.0,16093,1594.8479229458526,59.857133402973886,0.4102779507100033,16006,2036.1020012322967,236.1348391648732,0.3055056708051558,16053,3119.5297394680765,308.6119202978557,0.17010972815180667,16010,4565.972229263046,150.86567638501538,0.11410665033303419
12290104,4,31.07795668128578,0.5514102171360642,0.0,16075,4135.238894517838,42.397396433868266,0.27560211060662865,16066,4044.9067835967016,130.08983918475116,0.2262667615484042,16070,2806.4689360653747,250.38959344242025,0.38694657524716475,16069,5822.077221432303,183.8829863337584,0.11118455259780242
12290103,4,31.07795668128578,0.5514102171360642,0.0,16074,3592.692687898818,280.9831714366536,0.39847138566610013,16069,6931.113862423374,183.4511614291553,0.18921767231345743,16057,6132.124070419328,99.25997165010268,0.21676580445540217,16065,6609.076847894793,27.202332031038225,0.19554513756504024
12290102,4,31.07795668128578,0.5514102171360642,0.0,16061,5651.604246029902,103.71264111294909,0.17824813162973357,16074,3575.255157757508,263.16728569195914,0.39893403367200625,16065,5632.574681150271,32.16144894139967,0.23164091499198375,16066,5706.996304576236,147.71184907149916,0.1911769197062765
12290101,4,31.07795668128578,0.5514102171360642,0.0,16065,4715.545892789331,39.12028366760296,0.2005307238774233,16075,2733.271057813941,95.78884283086904,0.3628341366346802,16074,3888.703632148172,246.74767902104884,0.32185685290865057,16066,6661.143231020801,152.98579175035297,0.11477828657924594
12290100,4,31.07795668128578,0.5514102171360642,0.0,16065,3900.1711998111937,49.19727922044024,0.2894807755750362,16075,3031.493048620556,117.19644058910932,0.33046947421404077,16074,4463.871890022457,233.6625232201744,0.29515217019611234,16066,7657.438893305142,156.91396473472287,0.08489758001481074
