id,n_gauges,a_km,b,nugget,g1,d1_m,b1_deg,w1,g2,d2_m,b2_deg,w2,g3,d3_m,b3_deg,w3
12391609,3,196.92297186973383,0.5436295429988254,0.0,2800,6216.258638255029,173.40148472503438,0.2502357890315383,16019,4016.050007017563,257.20076294510267,0.2978297118151646,1720,3115.163422551416,345.0995497140892,0.45193449915329703
12391608,3,196.92297186973383,0.5436295429988254,0.0,2710,5854.47685908007,57.76357623691979,0.20992463124726474,16019,4414.461643635915,243.06755344540608,0.27935778882677326,1720,2070.148471806946,336.65146496415645,0.510717579925962
12391607,3,196.92297186973383,0.5436295429988254,0.0,2710,5327.584608164121,67.79892026051311,0.1888988115593195,1720,1153.6026218544123,313.27785061144857,0.6410652232638899,16019,5030.938120346143,231.8275411229761,0.1700359651767906
12367103,3,196.92297186973383,0.5436295429988254,0.0,16093,2368.3762976623425,36.22106893366845,0.1548228550617079,16096,565.7942103842993,132.56732795469026,0.5970706051281532,16006,1670.5708651075918,269.149661996645,0.24810653981013883
12367102,3,196.92297186973383,0.5436295429988254,0.0,16093,1594.8479229458526,59.857133402973886,0.37320538466224323,16096,1544.284460057106,165.12615889249287,0.403190465686442,16053,3119.5297394680765,308.6119202978557,0.22360414965131475
12290104,3,196.92297186973383,0.5436295429988254,0.0,16075,4135.238894517838,42.397396433868266,0.3586332212257333,16074,3936.620104315129,297.11646246147865,0.36400281926622735,16071,5810.630256448905,178.32752246017492,0.2773639595080393
12290103,3,196.92297186973383,0.5436295429988254,0.0,16075,3380.223069946351,54.89299550526249,0.4199319919332767,16074,3592.692687898818,280.9831714366536,0.3812300180782823,16069,6931.113862423374,183.4511614291553,0.19883798998844104
12290102,3,196.92297186973383,0.5436295429988254,0.0,16074,3575.255157757508,263.16728569195914,0.43393855094408135,16065,5632.574681150271,32.16144894139967,0.29079733191503315,16066,5706.996304576236,147.71184907149916,0.27526411714088556
12290101,3,196.92297186973383,0.5436295429988254,0.0,16065,4715.545892789331,39.12028366760296,0.36485406829117906,16074,3888.703632148172,246.74767902104884,0.4138237149286946,16066,6661.143231020801,152.98579175035297,0.22132221678012634
12290100,3,196.92297186973383,0.5436295429988254,0.0,16065,3900.1711998111937,49.19727922044024,0.4444058970911742,16074,4463.871890022457,233.6625232201744,0.3787808173889074,16066,7657.438893305142,156.91396473472287,0.1768132855199185
12290099,3,196.92297186973383,0.5436295429988254,0.0,16065,3263.555809851383,63.84157609561561,0.4063019779483712,16075,3656.9993561722977,133.02770091889022,0.29825375999195597,16074,5214.870122435152,223.9430538867384,0.2954442620596728
12342625,3,196.92297186973383,0.5436295429988254,0.0,16034,5467.1795404832965,76.43826758233183,0.40087362242693,16033,5584.986143068977,285.19695345332025,0.40640854152223915,16038,7939.727605160817,8.085219949046461,0.19271783605083087
12342624,3,196.92297186973383,0.5436295429988254,0.0,16038,6839.36010980105,9.218323107459357,0.23252565073383652,16034,5296.49840002071,88.1364507541843,0.3799290126721456,16033,5422.312177530152,273.7460187524673,0.3875453365940179
12367114,3,196.92297186973383,0.5436295429988254,0.0,16020,2648.4984468137263,355.5192173585551,0.3517401316461122,16030,2753.9456023666125,246.7033199484831,0.3459686187746657,16044,3329.326579561464,116.37921077084695,0.3022912495792221
12367113,3,196.92297186973383,0.5436295429988254,0.0,16019,4102.543666967726,32.992473188632175,0.29198141701951863,16042,3494.310807150911,157.6259127321896,0.2975009360845747,16026,2576.906878346816,255.64159003151053,0.41051764689590675
12367112,3,196.92297186973383,0.5436295429988254,0.0,16026,3064.6343517849896,235.2045846453896,0.46833283734329867,16045,5451.637664885969,123.03215285428912,0.26872340049439486,16011,5996.514489651724,6.729144556448659,0.2629437621623064
12367111,3,196.92297186973383,0.5436295429988254,0.0,16019,2510.585766199806,60.88926157404677,0.2331351715723205,16020,739.1275101220533,201.23103120551025,0.6517494686900744,16015,4947.566534151718,325.09913424711635,0.11511535973760498
12367110,3,196.92297186973383,0.5436295429988254,0.0,16019,2176.05743691124,87.06011393071589,0.3828711230940759,16020,1821.6501273695617,189.09391266577776,0.37305931077899374,16027,3108.687379640412,255.62973619686545,0.24406956612693034
12367109,3,196.92297186973383,0.5436295429988254,0.0,16019,2373.076456103497,114.87437774630008,0.4015879899681467,16013,2887.3825820626043,350.5812933934836,0.32921751993809634,16027,3567.985019594047,238.17809024166377,0.269194490093757
12367108,3,196.92297186973383,0.5436295429988254,0.0,16013,1807.1464689308807,344.1759182711184,0.3915494980259538,16029,1756.0471705124255,67.01993372753304,0.38291053518546175,16020,4031.7426011263424,184.6727833684736,0.22553996678858446
12367107,3,196.92297186973383,0.5436295429988254,0.0,16015,2936.728837697985,262.5365145683039,0.3830628094108328,16019,3849.196639811785,146.71607818509096,0.3221853556011008,16096,4086.903957743124,6.996573276041715,0.29475183498806634
12367106,3,196.92297186973383,0.5436295429988254,0.0,16011,912.4855380655908,140.44717401478874,0.6293486464521234,16096,2985.117937279318,9.205563582155946,0.2305495640591877,16017,4892.811970750104,258.77636699945606,0.1401017894886889
12367105,3,196.92297186973383,0.5436295429988254,0.0,16013,1684.314951470785,199.1889121696964,0.49679792230027364,16006,2733.770669055801,323.4033405432803,0.3135625282731995,16095,4761.128658865013,68.45132228245001,0.1896395494265269
12367104,3,196.92297186973383,0.5436295429988254,0.0,16013,2760.8421801969453,191.9974540084793,0.3205793517622145,16006,1974.860663594934,303.3266654173634,0.45548518284208395,16095,4454.132398070491,81.75279453349799,0.22393546539570153
12342607,3,196.92297186973383,0.5436295429988254,0.0,16017,1289.33188357189,88.03110785219542,0.3631729107072425,16028,888.4007080266397,190.7542066186099,0.5248632864977977,16062,5769.304533780507,348.179842102915,0.11196380279495985
12342606,3,196.92297186973383,0.5436295429988254,0.0,16017,1655.8143327728017,130.05300248135563,0.5969894956946594,16062,4693.915012737486,345.15107695513404,0.24015510453219632,16055,6445.535908165391,253.3343374632438,0.16285539977314423
12342605,3,196.92297186973383,0.5436295429988254,0.0,16006,4900.139889753954,64.86137676741362,0.18294608044442662,16017,2507.049833063999,150.19023649826613,0.47172358969147105,16062,3639.37331817572,340.3462662653694,0.3453303298641023
12342604,3,196.92297186973383,0.5436295429988254,0.0,16006,4520.568458307904,77.5858440086285,0.21267420438360504,16017,3506.1548895352,159.54726841258002,0.33722314426576916,16062,2630.871894738823,331.75142046783577,0.4501026513506258
12342603,3,196.92297186973383,0.5436295429988254,0.0,16028,5317.931392206942,182.69789339864556,0.22589169905726553,16062,1749.913311200538,313.64317802252367,0.5536750245892903,16053,4686.424827833712,51.09342302918896,0.22043327635344417
12342602,3,196.92297186973383,0.5436295429988254,0.0,16064,2356.4296247154625,13.659198215957304,0.2789513682155745,16006,4547.145085435682,105.92722504021754,0.18365592383332424,16062,1291.1929671335251,274.34907732044326,0.5373927079511013
12367125,3,196.92297186973383,0.5436295429988254,0.0,16035,4150.161685004215,45.35468829896109,0.45981886327217775,16036,4814.105266815826,309.36819972550467,0.3886212009282732,16048,6461.554288724922,352.7827368718466,0.15155993579954904
12342601,3,196.92297186973383,0.5436295429988254,0.0,16064,1295.7167466873,24.40214585295746,0.5437135894909036,16059,2277.933241140418,279.7321221714676,0.31733987467806474,16017,6715.816105811968,170.03861942717597,0.1389465358310317
12367124,3,196.92297186973383,0.5436295429988254,0.0,16035,3444.3505865279053,58.36432616587797,0.21730656506835924,16034,838.3347733452695,289.8933852924728,0.6987263705742421,16048,5365.487002970389,351.0796978947041,0.08396706435739862
12342600,3,196.92297186973383,0.5436295429988254,0.0,16006,5547.474096137684,128.68579291390108,0.18090233597142308,16059,2379.372357486998,252.26603759609003,0.5149367204925168,16052,3987.505761833728,62.88946014113168,0.30416094353606005
12367123,3,196.92297186973383,0.5436295429988254,0.0,16035,2994.5307879915304,76.54350324844637,0.277845068287029,16034,1154.7731968266007,224.438692474824,0.6015411460679885,16039,6247.397889272785,327.161597237814,0.12061378564498249
12342599,3,196.92297186973383,0.5436295429988254,0.0,16064,1150.6323411720862,154.6304660370481,0.5717232121717809,16059,2932.261740463332,231.27005779482045,0.24369931413296034,16054,4603.628378198037,63.99801271437445,0.18457747369525868
