id,a_km,b,nugget,g1,d1_m,b1_deg,w1,g2,d2_m,b2_deg,w2,g3,d3_m,b3_deg,w3
12339114,44.617,1.713,0,16023,2021.331962,126.76409,0.447718461,16018,4654.986702,257.2737967,0.166913244,16025,2053.117653,8.061199519,0.385368295
12339113,44.617,1.713,0,16025,960.789594,16.1155958,0.676998835,16007,3628.947077,260.5330709,0.125630241,16023,2816.81598,145.4352507,0.197370924
12339112,44.617,1.713,0,16025,308.441581,127.2654673,0.912036397,16007,3984.737396,244.6399886,0.04772036,16028,4729.07151,9.82792797,0.040243243
12339111,44.617,1.713,0,16028,3635.842196,12.484453,0.416835636,16022,4369.420131,119.3946751,0.250386878,16007,4588.1647,232.1310208,0.332777487
12339110,44.617,1.713,0,16028,2557.103219,17.40157457,0.323111876,16014,1825.444993,229.8934283,0.551411753,16027,4027.942506,102.9289767,0.125476371
12339109,44.617,1.713,0,16028,1523.947062,29.20157096,0.636631977,16014,2689.583659,211.8033046,0.35125227,16027,4392.044764,117.2503641,0.012115753
12339108,44.617,1.713,0,16027,4981.967222,128.7869114,-0.174270389,16017,2455.945474,62.40719549,0.720128524,16014,3687.780508,202.9617586,0.454141864
12339107,44.617,1.713,0,16014,4736.01689,197.9542202,0.321331152,16062,5639.225067,356.797938,0.266293715,16016,2689.514399,97.29948272,0.412375133
12339106,44.617,1.713,0,16055,5626.23089,250.6407402,0.199563335,16062,4533.099936,355.7461749,0.220333927,16017,2392.75911,116.8863504,0.580102738
12339105,44.617,1.713,0,16006,5690.492614,68.72162739,0.049433272,16028,3177.939854,168.0408084,0.590796636,16059,4978.869562,344.9356992,0.359770092
12339104,44.617,1.713,0,16059,3924.902157,340.4206448,0.475698741,16006,5366.999704,79.74737374,0.096440462,16028,4266.634275,171.4102609,0.427860797
12339124,44.617,1.713,0,16038,7015.185619,16.26236627,0.02095931,16033,4554.404889,274.2526981,0.571235662,16034,6164.526032,88.552588,0.407805028
12339123,44.617,1.713,0,16036,3264.703656,77.53796313,0.13903039,16031,923.2825092,200.6123758,0.657182622,16046,2386.365453,326.1865915,0.203786988
12339122,44.617,1.713,0,16031,2004.089169,189.9479166,0.439643302,16046,1606.944969,302.9038042,0.420782833,16039,5349.418156,41.44715451,0.139573865
