id,n_gauges,a_km,b,nugget,g1,d1_m,b1_deg,w1,g2,d2_m,b2_deg,w2,g3,d3_m,b3_deg,w3,g4,d4_m,b4_deg,w4
12391609,4,196.92297186973383,0.5436295429988254,0.0,2800,6216.258638255029,173.40148472503438,0.23318688054856251,16019,4016.050007017563,257.20076294510267,0.21607048237029897,1720,3115.163422551416,345.0995497140892,0.3547212824626392,16008,3513.993684965495,302.0651047236006,0.19602135461849923
12391608,4,196.92297186973383,0.5436295429988254,0.0,2710,5854.47685908007,57.76357623691979,0.19130852964820075,16019,4414.461643635915,243.06755344540608,0.19360088749912138,1720,2070.148471806946,336.65146496415645,0.4189626358996178,16008,3091.136759113353,284.15129194843666,0.19612794695306007
12391607,4,196.92297186973383,0.5436295429988254,0.0,2710,5327.584608164121,67.79892026051311,0.2428279200499946,2790,3191.688042013056,347.6799480368111,0.3179638942385858,16019,5030.938120346143,231.8275411229761,0.2426675880730415,16010,4098.412771943505,294.03449925902083,0.196540597638378
12367103,4,196.92297186973383,0.5436295429988254,0.0,16093,2368.3762976623425,36.22106893366845,0.29598856598729073,16006,1670.5708651075918,269.149661996645,0.42271714365919466,16013,3856.390251022125,188.86325292811853,0.15811502302691108,16095,4412.975489023538,96.1253727246671,0.12317926732660357
12367102,4,196.92297186973383,0.5436295429988254,0.0,16006,2036.1020012322967,236.1348391648732,0.4139309206776508,16053,3119.5297394680765,308.6119202978557,0.22160136529591132,5700,4593.160476657571,25.80227090293681,0.16629535270419943,16095,4644.731425977272,109.8963007050425,0.1981723613222384
12290104,4,196.92297186973383,0.5436295429988254,0.0,16075,4135.238894517838,42.397396433868266,0.27848668081376965,16066,4044.9067835967016,130.08983918475116,0.2216698954927954,16070,2806.4689360653747,250.38959344242025,0.3991132243604126,16071,5810.630256448905,178.32752246017492,0.10073019933302235
12290103,4,196.92297186973383,0.5436295429988254,0.0,16075,3380.223069946351,54.89299550526249,0.32389965746160876,16066,4820.092468967905,140.41413902125169,0.1836145500499291,16070,3364.627206412832,232.4250261028573,0.25065159570776574,16074,3592.692687898818,280.9831714366536,0.24183419678069645
12290102,4,196.92297186973383,0.5436295429988254,0.0,16061,5651.604246029902,103.71264111294909,0.17303355477367258,16074,3575.255157757508,263.16728569195914,0.40896827730916663,16065,5632.574681150271,32.16144894139967,0.23076315576181855,16066,5706.996304576236,147.71184907149916,0.18723501215534222
12290101,4,196.92297186973383,0.5436295429988254,0.0,16065,4715.545892789331,39.12028366760296,0.19810830772726412,16075,2733.271057813941,95.78884283086904,0.368477743689381,16074,3888.703632148172,246.74767902104884,0.329054084366776,16066,6661.143231020801,152.98579175035297,0.10435986421657878
12290100,4,196.92297186973383,0.5436295429988254,0.0,16065,3900.1711998111937,49.19727922044024,0.29327837909939364,16075,3031.493048620556,117.19644058910932,0.33396427381817767,16074,4463.871890022457,233.6625232201744,0.3019511347356422,16066,7657.438893305142,156.91396473472287,0.0708062123467864
