event,event_start_local,event_end_local,n_event_hours,n_grids,n_gauges_used,n_gauges_per_grid
3,2015-09-10 11:00:00,2015-09-11 12:00:00,26,4738,95,4

station_id,file_exists,rows_read,n_duplicates_collapsed,n_bad_time_rows_dropped,n_missing_after_reindex,n_filled_as_zero
16005,True,119226,13,0,16,16
16006,True,119224,13,0,18,18
16007,True,119214,13,0,17,17
16008,True,119218,13,0,18,18
16010,True,96500,11,0,18,18
16011,True,104153,12,0,18,18
16013,True,119223,13,0,16,16
16014,True,95109,11,0,18,18
16015,True,119218,13,0,17,17
16016,True,113129,13,0,18,18
16017,True,109568,12,0,18,18
16018,True,119206,13,0,18,18
16019,True,105157,12,0,18,18
16020,True,105149,12,0,18,18
16021,True,105163,12,0,16,16
16022,True,105155,12,0,18,18
16023,True,105154,12,0,17,17
16024,True,101860,11,0,19,19
16025,True,105161,12,0,19,19
16026,True,104358,12,0,17,17
16027,True,105153,12,0,19,19
16028,True,119219,13,0,18,18
16029,True,110428,12,0,18,18
16030,True,119221,13,0,17,17
16031,True,105155,12,0,17,17
16032,True,105155,12,0,18,18
16033,True,105156,12,0,20,20
16034,True,105147,12,0,19,19
16035,True,119225,13,0,19,19
16036,True,105154,12,0,18,18
16037,True,119223,13,0,16,16
16038,True,96766,11,0,17,17
16039,True,119221,13,0,19,19
16040,True,119221,13,0,18,18
16042,True,119219,13,0,19,19
16043,True,119218,13,0,19,19
16044,True,119224,13,0,19,19
16045,True,119223,13,0,18,18
16046,True,105153,12,0,19,19
16047,True,105157,12,0,19,19
16048,True,119216,13,0,17,17
16049,True,119217,13,0,19,19
16050,True,105156,12,0,20,20
16051,True,105158,12,0,18,18
16052,True,105162,12,0,19,19
16053,True,104289,12,0,17,17
16054,True,105153,12,0,19,19
16055,True,98172,11,0,18,18
16057,True,119223,13,0,19,19
16058,True,119222,13,0,17,17
16059,True,119214,13,0,19,19
16061,True,119217,13,0,20,20
16062,True,119217,13,0,17,17
16063,True,119217,13,0,19,19
16064,True,119216,13,0,18,18
16065,True,119221,13,0,19,19
16066,True,119210,13,0,18,18
16067,True,119220,13,0,19,19
16068,True,119222,13,0,19,19
16069,True,119208,13,0,18,18
16070,True,119218,13,0,18,18
16071,True,119220,13,0,18,18
16072,True,119215,13,0,18,18
16073,True,119208,13,0,19,19
16074,True,119214,13,0,19,19
16075,True,119212,13,0,18,18
16076,True,119222,13,0,18,18
16078,True,119219,13,0,19,19
16079,True,119213,13,0,18,18
16084,True,119219,13,0,19,19
16085,True,119220,13,0,18,18
16086,True,119229,13,0,20,20
16088,True,94436,11,0,18,18
16093,True,119228,13,0,19,19
16094,True,119215,13,0,18,18
16095,True,119213,13,0,19,19
16096,True,96586,11,0,18,18
1720,True,119229,13,0,18,18
2420,True,119216,13,0,18,18
2700,True,119218,13,0,18,18
2710,True,119210,13,0,18,18
2790,True,117991,13,0,17,17
2800,True,119212,13,0,18,18
2900,True,105155,12,0,18,18
3000,True,105157,12,0,19,19
5100,True,119215,13,0,20,20
5110,True,119037,13,0,19,19
5170,True,119206,13,0,20,20
5600,True,119208,13,0,18,18
5700,True,119229,13,0,18,18
5800,True,119217,13,0,19,19
5900,True,119219,13,0,19,19
7000,True,106181,12,0,22,22
7050,True,92086,11,0,21,21
7080,True,92119,11,0,18,18
