event,event_start_local,event_end_local,n_event_hours,n_grids,n_gauges_used,n_gauges_per_grid
9,2018-07-17 21:00:00,2018-07-18 16:00:00,20,2924,86,4

station_id,file_exists,rows_read,n_duplicates_collapsed,n_bad_time_rows_dropped,n_missing_after_reindex,n_filled_as_zero
16005,True,119226,13,0,13,13
16006,True,119224,13,0,15,15
16007,True,119214,13,0,15,15
16008,True,119218,13,0,15,15
16010,True,96500,11,0,15,15
16011,True,104153,12,0,15,15
16013,True,119223,13,0,14,14
16014,True,95109,11,0,16,16
16015,True,119218,13,0,13,13
16016,True,113129,13,0,15,15
16017,True,109568,12,0,16,16
16018,True,119206,13,0,15,15
16019,True,105157,12,0,14,14
16020,True,105149,12,0,15,15
16021,True,105163,12,0,16,16
16022,True,105155,12,0,14,14
16023,True,105154,12,0,16,16
16024,True,101860,11,0,18,18
16025,True,105161,12,0,16,16
16026,True,104358,12,0,16,16
16027,True,105153,12,0,16,16
16028,True,119219,13,0,16,16
16029,True,110428,12,0,16,16
16030,True,119221,13,0,15,15
16032,True,105155,12,0,15,15
16035,True,119225,13,0,14,14
16037,True,119223,13,0,16,16
16038,True,96766,11,0,16,16
16039,True,119221,13,0,15,15
16040,True,119221,13,0,12,12
16042,True,119219,13,0,14,14
16043,True,119218,13,0,14,14
16044,True,119224,13,0,15,15
16045,True,119223,13,0,16,16
16046,True,105153,12,0,16,16
16048,True,119216,13,0,13,13
16049,True,119217,13,0,14,14
16050,True,105156,12,0,16,16
16051,True,105158,12,0,14,14
16052,True,105162,12,0,13,13
16053,True,104289,12,0,16,16
16054,True,105153,12,0,14,14
16055,True,98172,11,0,16,16
16057,True,119223,13,0,17,17
16058,True,119222,13,0,16,16
16059,True,119214,13,0,15,15
16060,True,85078,9,0,14,14
16061,True,119217,13,0,16,16
16062,True,119217,13,0,14,14
16063,True,119217,13,0,16,16
16064,True,119216,13,0,16,16
16065,True,119221,13,0,17,17
16066,True,119210,13,0,16,16
16067,True,119220,13,0,16,16
16068,True,119222,13,0,18,18
16069,True,119208,13,0,18,18
16070,True,119218,13,0,18,18
16071,True,119220,13,0,18,18
16072,True,119215,13,0,18,18
16073,True,119208,13,0,17,17
16074,True,119214,13,0,18,18
16075,True,119212,13,0,15,15
16076,True,119222,13,0,18,18
16085,True,119220,13,0,18,18
16086,True,119229,13,0,16,16
16090,True,68174,8,0,14,14
16093,True,119228,13,0,14,14
16094,True,119215,13,0,15,15
16095,True,119213,13,0,15,15
16096,True,96586,11,0,15,15
16098,True,78042,9,0,9,9
1720,True,119229,13,0,16,16
2420,True,119216,13,0,14,14
2700,True,119218,13,0,15,15
2710,True,119210,13,0,15,15
2790,True,117991,13,0,15,15
2800,True,119212,13,0,14,14
3000,True,105157,12,0,16,16
5100,True,119215,13,0,14,14
5110,True,119037,13,0,16,16
5170,True,119206,13,0,17,17
5400,True,119218,13,0,14,14
5600,True,119208,13,0,15,15
5700,True,119229,13,0,14,14
5800,True,119217,13,0,14,14
5900,True,119219,13,0,14,14
