id,Latitude,Longitude
252.0,38.7439094,-94.7935765
262.0,38.7439094,-94.7519065
266.0,38.7439094,-94.7352385
323.0,38.7480764,-94.8102445
326.0,38.7480764,-94.7977435
327.0,38.7480764,-94.7935765
329.0,38.7480764,-94.7852425
337.0,38.7480764,-94.7519065
338.0,38.7480764,-94.7477395
341.0,38.7480764,-94.7352385
397.0,38.7522434,-94.8144115
398.0,38.7522434,-94.8102445
399.0,38.7522434,-94.8060775
401.0,38.7522434,-94.7977435
402.0,38.7522434,-94.7935765
406.0,38.7522434,-94.7769085
407.0,38.7522434,-94.7727415
408.0,38.7522434,-94.7685745
409.0,38.7522434,-94.7644075
410.0,38.7522434,-94.7602405
412.0,38.7522434,-94.7519065
413.0,38.7522434,-94.7477395
415.0,38.7522434,-94.7394055
416.0,38.7522434,-94.7352385
417.0,38.7522434,-94.7310715
422.0,38.7522434,-94.7102365
423.0,38.7522434,-94.7060695
424.0,38.7522434,-94.7019025
425.0,38.7522434,-94.6977355
427.0,38.7522434,-94.6894015
428.0,38.7522434,-94.6852345
432.0,38.7522434,-94.6685665
472.0,38.7564104,-94.8144115
473.0,38.7564104,-94.8102445
474.0,38.7564104,-94.8060775
476.0,38.7564104,-94.7977435
477.0,38.7564104,-94.7935765
478.0,38.7564104,-94.7894095
481.0,38.7564104,-94.7769085
482.0,38.7564104,-94.7727415
483.0,38.7564104,-94.7685745
484.0,38.7564104,-94.7644075
485.0,38.7564104,-94.7602405
486.0,38.7564104,-94.7560735
487.0,38.7564104,-94.7519065
488.0,38.7564104,-94.7477395
490.0,38.7564104,-94.7394055
491.0,38.7564104,-94.7352385
492.0,38.7564104,-94.7310715
493.0,38.7564104,-94.7269045
494.0,38.7564104,-94.7227375
495.0,38.7564104,-94.7185705
496.0,38.7564104,-94.7144035
497.0,38.7564104,-94.7102365
498.0,38.7564104,-94.7060695
499.0,38.7564104,-94.7019025
500.0,38.7564104,-94.6977355
501.0,38.7564104,-94.6935685
502.0,38.7564104,-94.6894015
503.0,38.7564104,-94.6852345
504.0,38.7564104,-94.6810675
507.0,38.7564104,-94.6685665
508.0,38.7564104,-94.6643995
509.0,38.7564104,-94.6602325
542.0,38.7605774,-94.8352465
543.0,38.7605774,-94.8310795
544.0,38.7605774,-94.8269125
545.0,38.7605774,-94.8227455
546.0,38.7605774,-94.8185785
547.0,38.7605774,-94.8144115
548.0,38.7605774,-94.8102445
549.0,38.7605774,-94.8060775
550.0,38.7605774,-94.8019105
551.0,38.7605774,-94.7977435
554.0,38.7605774,-94.7852425
555.0,38.7605774,-94.7810755
556.0,38.7605774,-94.7769085
557.0,38.7605774,-94.7727415
558.0,38.7605774,-94.7685745
559.0,38.7605774,-94.7644075
560.0,38.7605774,-94.7602405
561.0,38.7605774,-94.7560735
562.0,38.7605774,-94.7519065
563.0,38.7605774,-94.7477395
564.0,38.7605774,-94.7435725
565.0,38.7605774,-94.7394055
566.0,38.7605774,-94.7352385
567.0,38.7605774,-94.7310715
568.0,38.7605774,-94.7269045
569.0,38.7605774,-94.7227375
570.0,38.7605774,-94.7185705
571.0,38.7605774,-94.7144035
572.0,38.7605774,-94.7102365
573.0,38.7605774,-94.7060695
574.0,38.7605774,-94.7019025
575.0,38.7605774,-94.6977355
576.0,38.7605774,-94.6935685
577.0,38.7605774,-94.6894015
578.0,38.7605774,-94.6852345
579.0,38.7605774,-94.6810675
580.0,38.7605774,-94.6769005
581.0,38.7605774,-94.6727335
582.0,38.7605774,-94.6685665
583.0,38.7605774,-94.6643995
584.0,38.7605774,-94.6602325
585.0,38.7605774,-94.6560655
614.0,38.7647444,-94.8477475
615.0,38.7647444,-94.8435805
616.0,38.7647444,-94.8394135
617.0,38.7647444,-94.8352465
618.0,38.7647444,-94.8310795
619.0,38.7647444,-94.8269125
620.0,38.7647444,-94.8227455
621.0,38.7647444,-94.8185785
622.0,38.7647444,-94.8144115
623.0,38.7647444,-94.8102445
624.0,38.7647444,-94.8060775
625.0,38.7647444,-94.8019105
626.0,38.7647444,-94.7977435
627.0,38.7647444,-94.7935765
628.0,38.7647444,-94.7894095
629.0,38.7647444,-94.7852425
631.0,38.7647444,-94.7769085
632.0,38.7647444,-94.7727415
633.0,38.7647444,-94.7685745
634.0,38.7647444,-94.7644075
635.0,38.7647444,-94.7602405
636.0,38.7647444,-94.7560735
637.0,38.7647444,-94.7519065
638.0,38.7647444,-94.7477395
639.0,38.7647444,-94.7435725
640.0,38.7647444,-94.7394055
641.0,38.7647444,-94.7352385
642.0,38.7647444,-94.7310715
643.0,38.7647444,-94.7269045
644.0,38.7647444,-94.7227375
645.0,38.7647444,-94.7185705
646.0,38.7647444,-94.7144035
647.0,38.7647444,-94.7102365
648.0,38.7647444,-94.7060695
649.0,38.7647444,-94.7019025
650.0,38.7647444,-94.6977355
651.0,38.7647444,-94.6935685
652.0,38.7647444,-94.6894015
653.0,38.7647444,-94.6852345
654.0,38.7647444,-94.6810675
655.0,38.7647444,-94.6769005
656.0,38.7647444,-94.6727335
657.0,38.7647444,-94.6685665
658.0,38.7647444,-94.6643995
659.0,38.7647444,-94.6602325
660.0,38.7647444,-94.6560655
661.0,38.7647444,-94.6518985
662.0,38.7647444,-94.6477315
676.0,38.7689114,-94.9019185
677.0,38.7689114,-94.8977515
685.0,38.7689114,-94.8644155
686.0,38.7689114,-94.8602485
689.0,38.7689114,-94.8477475
690.0,38.7689114,-94.8435805
691.0,38.7689114,-94.8394135
692.0,38.7689114,-94.8352465
693.0,38.7689114,-94.8310795
694.0,38.7689114,-94.8269125
695.0,38.7689114,-94.8227455
696.0,38.7689114,-94.8185785
697.0,38.7689114,-94.8144115
698.0,38.7689114,-94.8102445
699.0,38.7689114,-94.8060775
700.0,38.7689114,-94.8019105
701.0,38.7689114,-94.7977435
702.0,38.7689114,-94.7935765
703.0,38.7689114,-94.7894095
704.0,38.7689114,-94.7852425
705.0,38.7689114,-94.7810755
706.0,38.7689114,-94.7769085
707.0,38.7689114,-94.7727415
708.0,38.7689114,-94.7685745
709.0,38.7689114,-94.7644075
710.0,38.7689114,-94.7602405
711.0,38.7689114,-94.7560735
712.0,38.7689114,-94.7519065
713.0,38.7689114,-94.7477395
714.0,38.7689114,-94.7435725
715.0,38.7689114,-94.7394055
716.0,38.7689114,-94.7352385
717.0,38.7689114,-94.7310715
718.0,38.7689114,-94.7269045
719.0,38.7689114,-94.7227375
720.0,38.7689114,-94.7185705
721.0,38.7689114,-94.7144035
722.0,38.7689114,-94.7102365
723.0,38.7689114,-94.7060695
724.0,38.7689114,-94.7019025
725.0,38.7689114,-94.6977355
726.0,38.7689114,-94.6935685
727.0,38.7689114,-94.6894015
728.0,38.7689114,-94.6852345
729.0,38.7689114,-94.6810675
730.0,38.7689114,-94.6769005
731.0,38.7689114,-94.6727335
732.0,38.7689114,-94.6685665
733.0,38.7689114,-94.6643995
734.0,38.7689114,-94.6602325
735.0,38.7689114,-94.6560655
736.0,38.7689114,-94.6518985
737.0,38.7689114,-94.6477315
738.0,38.7689114,-94.6435645
751.0,38.7730784,-94.9019185
752.0,38.7730784,-94.8977515
753.0,38.7730784,-94.8935845
754.0,38.7730784,-94.8894175
755.0,38.7730784,-94.8852505
756.0,38.7730784,-94.8810835
757.0,38.7730784,-94.8769165
758.0,38.7730784,-94.8727495
760.0,38.7730784,-94.8644155
761.0,38.7730784,-94.8602485
762.0,38.7730784,-94.8560815
763.0,38.7730784,-94.8519145
764.0,38.7730784,-94.8477475
765.0,38.7730784,-94.8435805
766.0,38.7730784,-94.8394135
767.0,38.7730784,-94.8352465
768.0,38.7730784,-94.8310795
769.0,38.7730784,-94.8269125
770.0,38.7730784,-94.8227455
771.0,38.7730784,-94.8185785
772.0,38.7730784,-94.8144115
773.0,38.7730784,-94.8102445
774.0,38.7730784,-94.8060775
775.0,38.7730784,-94.8019105
776.0,38.7730784,-94.7977435
777.0,38.7730784,-94.7935765
778.0,38.7730784,-94.7894095
779.0,38.7730784,-94.7852425
780.0,38.7730784,-94.7810755
781.0,38.7730784,-94.7769085
782.0,38.7730784,-94.7727415
783.0,38.7730784,-94.7685745
784.0,38.7730784,-94.7644075
785.0,38.7730784,-94.7602405
786.0,38.7730784,-94.7560735
787.0,38.7730784,-94.7519065
788.0,38.7730784,-94.7477395
789.0,38.7730784,-94.7435725
790.0,38.7730784,-94.7394055
791.0,38.7730784,-94.7352385
792.0,38.7730784,-94.7310715
793.0,38.7730784,-94.7269045
794.0,38.7730784,-94.7227375
795.0,38.7730784,-94.7185705
796.0,38.7730784,-94.7144035
797.0,38.7730784,-94.7102365
798.0,38.7730784,-94.7060695
799.0,38.7730784,-94.7019025
800.0,38.7730784,-94.6977355
801.0,38.7730784,-94.6935685
802.0,38.7730784,-94.6894015
803.0,38.7730784,-94.6852345
804.0,38.7730784,-94.6810675
805.0,38.7730784,-94.6769005
806.0,38.7730784,-94.6727335
807.0,38.7730784,-94.6685665
808.0,38.7730784,-94.6643995
809.0,38.7730784,-94.6602325
810.0,38.7730784,-94.6560655
811.0,38.7730784,-94.6518985
812.0,38.7730784,-94.6477315
813.0,38.7730784,-94.6435645
814.0,38.7730784,-94.6393975
826.0,38.7772454,-94.9019185
827.0,38.7772454,-94.8977515
828.0,38.7772454,-94.8935845
829.0,38.7772454,-94.8894175
830.0,38.7772454,-94.8852505
831.0,38.7772454,-94.8810835
832.0,38.7772454,-94.8769165
833.0,38.7772454,-94.8727495
834.0,38.7772454,-94.8685825
835.0,38.7772454,-94.8644155
836.0,38.7772454,-94.8602485
837.0,38.7772454,-94.8560815
838.0,38.7772454,-94.8519145
839.0,38.7772454,-94.8477475
840.0,38.7772454,-94.8435805
841.0,38.7772454,-94.8394135
842.0,38.7772454,-94.8352465
843.0,38.7772454,-94.8310795
844.0,38.7772454,-94.8269125
845.0,38.7772454,-94.8227455
846.0,38.7772454,-94.8185785
847.0,38.7772454,-94.8144115
848.0,38.7772454,-94.8102445
849.0,38.7772454,-94.8060775
850.0,38.7772454,-94.8019105
851.0,38.7772454,-94.7977435
852.0,38.7772454,-94.7935765
853.0,38.7772454,-94.7894095
854.0,38.7772454,-94.7852425
855.0,38.7772454,-94.7810755
856.0,38.7772454,-94.7769085
857.0,38.7772454,-94.7727415
858.0,38.7772454,-94.7685745
859.0,38.7772454,-94.7644075
860.0,38.7772454,-94.7602405
861.0,38.7772454,-94.7560735
862.0,38.7772454,-94.7519065
863.0,38.7772454,-94.7477395
864.0,38.7772454,-94.7435725
865.0,38.7772454,-94.7394055
866.0,38.7772454,-94.7352385
867.0,38.7772454,-94.7310715
868.0,38.7772454,-94.7269045
869.0,38.7772454,-94.7227375
870.0,38.7772454,-94.7185705
871.0,38.7772454,-94.7144035
872.0,38.7772454,-94.7102365
873.0,38.7772454,-94.7060695
874.0,38.7772454,-94.7019025
875.0,38.7772454,-94.6977355
876.0,38.7772454,-94.6935685
877.0,38.7772454,-94.6894015
878.0,38.7772454,-94.6852345
879.0,38.7772454,-94.6810675
880.0,38.7772454,-94.6769005
881.0,38.7772454,-94.6727335
882.0,38.7772454,-94.6685665
883.0,38.7772454,-94.6643995
884.0,38.7772454,-94.6602325
885.0,38.7772454,-94.6560655
886.0,38.7772454,-94.6518985
887.0,38.7772454,-94.6477315
888.0,38.7772454,-94.6435645
889.0,38.7772454,-94.6393975
890.0,38.7772454,-94.6352305
891.0,38.7772454,-94.6310635
892.0,38.7772454,-94.6268965
901.0,38.7814124,-94.9019185
902.0,38.7814124,-94.8977515
903.0,38.7814124,-94.8935845
904.0,38.7814124,-94.8894175
905.0,38.7814124,-94.8852505
906.0,38.7814124,-94.8810835
907.0,38.7814124,-94.8769165
908.0,38.7814124,-94.8727495
909.0,38.7814124,-94.8685825
910.0,38.7814124,-94.8644155
911.0,38.7814124,-94.8602485
912.0,38.7814124,-94.8560815
913.0,38.7814124,-94.8519145
914.0,38.7814124,-94.8477475
915.0,38.7814124,-94.8435805
916.0,38.7814124,-94.8394135
917.0,38.7814124,-94.8352465
918.0,38.7814124,-94.8310795
919.0,38.7814124,-94.8269125
920.0,38.7814124,-94.8227455
921.0,38.7814124,-94.8185785
922.0,38.7814124,-94.8144115
923.0,38.7814124,-94.8102445
924.0,38.7814124,-94.8060775
925.0,38.7814124,-94.8019105
926.0,38.7814124,-94.7977435
927.0,38.7814124,-94.7935765
928.0,38.7814124,-94.7894095
929.0,38.7814124,-94.7852425
930.0,38.7814124,-94.7810755
931.0,38.7814124,-94.7769085
932.0,38.7814124,-94.7727415
933.0,38.7814124,-94.7685745
934.0,38.7814124,-94.7644075
935.0,38.7814124,-94.7602405
936.0,38.7814124,-94.7560735
937.0,38.7814124,-94.7519065
938.0,38.7814124,-94.7477395
939.0,38.7814124,-94.7435725
940.0,38.7814124,-94.7394055
941.0,38.7814124,-94.7352385
942.0,38.7814124,-94.7310715
943.0,38.7814124,-94.7269045
944.0,38.7814124,-94.7227375
945.0,38.7814124,-94.7185705
946.0,38.7814124,-94.7144035
947.0,38.7814124,-94.7102365
948.0,38.7814124,-94.7060695
949.0,38.7814124,-94.7019025
950.0,38.7814124,-94.6977355
951.0,38.7814124,-94.6935685
952.0,38.7814124,-94.6894015
953.0,38.7814124,-94.6852345
954.0,38.7814124,-94.6810675
955.0,38.7814124,-94.6769005
956.0,38.7814124,-94.6727335
957.0,38.7814124,-94.6685665
958.0,38.7814124,-94.6643995
959.0,38.7814124,-94.6602325
960.0,38.7814124,-94.6560655
961.0,38.7814124,-94.6518985
962.0,38.7814124,-94.6477315
963.0,38.7814124,-94.6435645
964.0,38.7814124,-94.6393975
965.0,38.7814124,-94.6352305
966.0,38.7814124,-94.6310635
967.0,38.7814124,-94.6268965
976.0,38.7855794,-94.9019185
977.0,38.7855794,-94.8977515
978.0,38.7855794,-94.8935845
979.0,38.7855794,-94.8894175
980.0,38.7855794,-94.8852505
981.0,38.7855794,-94.8810835
982.0,38.7855794,-94.8769165
983.0,38.7855794,-94.8727495
984.0,38.7855794,-94.8685825
985.0,38.7855794,-94.8644155
986.0,38.7855794,-94.8602485
987.0,38.7855794,-94.8560815
988.0,38.7855794,-94.8519145
989.0,38.7855794,-94.8477475
990.0,38.7855794,-94.8435805
991.0,38.7855794,-94.8394135
992.0,38.7855794,-94.8352465
993.0,38.7855794,-94.8310795
994.0,38.7855794,-94.8269125
995.0,38.7855794,-94.8227455
996.0,38.7855794,-94.8185785
997.0,38.7855794,-94.8144115
998.0,38.7855794,-94.8102445
