,ID,Latitude,Longitude,NAD83_15N_Lat,NAD83_15N_Long
110,16030,38.85477,-94.69391,4302023.729,353017.3767
111,16043,38.85041,-94.66797,4301498.422,355259.5209
112,16042,38.846111,-94.649,4300991.427,356897.1528
113,16044,38.85216,-94.63033,4301633.64,358529.4451
114,16045,38.85897,-94.61172,4302360.728,360157.7457
115,3820,39.2173556,-94.6016381,4342119.275,361733.018
116,3800,39.2171598,-94.6187435,4342123.792,360255.8674
117,4150,39.2397496,-94.6637126,4344701.251,356419.575
118,3740,39.2480624,-94.554122,4345455.786,365893.6974
119,3900,39.1817751,-94.6011238,4338169.635,361707.6569
120,3680,39.2139353,-94.5160203,4341612.499,369118.2804
121,3880,39.2117351,-94.6406849,4341555.81,358350.6865
122,7020,39.0840883,-94.6524518,4327407.602,357076.7118
123,7000,39.075596,-94.657436,4326472.96,356628.403
124,7060,39.141502,-94.691359,4333841.488,353830.0602
125,7030,39.15638,-94.8225,4335712.188,342529.0611
126,7080,39.115592,-94.851816,4331236.614,339903.49
127,7050,39.091082,-94.755781,4328351.432,348154.0374
128,3940,39.1981,-94.5297,4339874.9,367907.5557
129,3760,39.1737536,-94.4492503,4337058.723,374811.6545
130,3660,39.3061169,-94.6487459,4352043.434,357845.5023
131,3690,39.2940006,-94.5894925,4350607.22,362930.9489
132,16025,38.88336,-94.74213,4305275.372,348893.5564
133,16023,38.85438,-94.72608,4302032.731,350224.9486
134,16024,38.87044,-94.74208,4303841.431,348870.5217
135,16021,38.8758,-94.7235,4304405.678,350493.718
136,16022,38.87633,-94.70066,4304427.325,352476.2124
137,16026,38.86883,-94.69363,4303583.641,353070.6226
138,16027,38.89755,-94.69955,4306780.513,352616.3725
139,16020,38.88875,-94.66794,4305753.297,355339.878
140,16019,38.90636,-94.63997,4307663.656,357800.9891
141,16053,39.00213,-94.69355,4318377.165,353352.4447
142,16090,39.00722,-94.6988,4318950.533,352908.3544
143,16052,39.02197,-94.694416,4320580.433,353318.4533
144,16054,39.03388,-94.68766,4321891.353,353927.8632
145,16051,39.04377,-94.65597,4322938.54,356690.8772
146,3000,39.0586837,-94.6260096,4324546.89,359313.4244
147,2900,39.0718617,-94.605555,4325977.944,361109.141
148,1010,39.1054396,-94.5594001,4329634.934,365166.0109
149,16032,38.81205,-94.81608,4297486.45,342321.5365
150,16033,38.76725,-94.79733,4292482.406,343851.856
151,16031,38.76716,-94.74855,4292390.274,348089.857
152,16046,38.79263,-94.76072,4295237.173,347086.9042
153,16036,38.781888,-94.70847,4293958.951,351602.6775
154,16047,38.80363,-94.68102,4296327.634,354031.4929
155,16034,38.76744,-94.67413,4292300.385,354556.2803
156,16005,39.0283,-94.626,4321174.855,359253.9597
157,16050,39.038549,-94.670131,4322381.519,355454.6577
