id,Latitude,Longitude,radius_used_km,g1,d1_m,b1_deg,g2,d2_m,b2_deg,g3,d3_m,b3_deg,g4,d4_m,b4_deg,g5,d5_m,b5_deg,g6,d6_m,b6_deg,g7,d7_m,b7_deg,g8,d8_m,b8_deg,g9,d9_m,b9_deg,g10,d10_m,b10_deg
1.0,38.8447,-94.8653,8,16086,2757.0581319037015,41.66811228154086,16085,3780.825498478041,229.91337845711516,16068,4515.048958955611,343.7919799737395,16032,5599.933108507675,130.399229451064,16076,6085.199628857422,281.8417475108736,16067,4997.756723513019,59.79711938167509,16018,6017.070213210933,79.03813682195084,16073,6273.392846898915,341.66002085907604,16007,7370.105047843411,68.46774454325771,16071,7694.926792900405,349.4000249692443
2.0,38.8447,-94.861133,8,16086,2531.5279484726543,35.557886671776316,16085,4063.5794595060493,233.19430263128652,16068,4628.762012581333,339.50105072255764,16032,5330.245943335818,132.91683818642878,16076,6438.823276081381,281.1852904524978,16067,4689.37783770729,57.58110834644697,16018,5663.189404663193,78.3465382434278,16073,6396.117002817659,338.59262282618755,16007,7035.654589185399,67.39171855695582,16071,7769.404726124142,346.7858129317561
3.0,38.8447,-94.856966,8,16086,2340.1491933333414,28.353528596043247,16085,4357.8966065747845,236.04055640486862,16068,4767.130556932916,335.43748337520447,16032,5071.920778088464,135.6966023970807,16018,5310.2471643949875,77.56270470864956,16067,4389.002398598867,55.05736835559185,16073,6536.469963327783,335.648843944729,16007,6703.939260781263,66.20862417594134,16076,6793.207107750941,280.597389993108,16071,7859.7468278895685,344.22648565628975
4.0,38.8447,-94.852799,8,16086,2191.8857233245903,20.025231593622152,16085,4661.587269849561,238.52160365171437,16032,4826.782211122648,138.7664414786555,16068,4928.078229111667,331.62118182592815,16018,4958.44391925361,76.66727032626665,16067,4098.390528422692,52.1692274931512,16007,6375.386009291916,64.90284665792575,16073,6693.342842780839,332.8359528364131,16076,7148.238062478965,280.06796618557036,16071,7965.413331758596,341.7302095480271
5.0,38.8447,-94.848632,9,16086,2095.9074613308567,10.71809496691435,16032,4596.940311196156,142.1536900003174,16018,4608.040548959114,75.63517016945241,16085,4972.934459704421,240.69580637893938,16088,8652.52899940137,193.1781629836364,16067,3819.771343363734,48.85004320039508,16068,5109.471755678419,328.06100683286377,16007,6050.509976270654,63.45588097618611,16073,6865.603338234422,330.15807380469676,16076,7503.824287491629,279.58880417105075
6.0,38.8447,-94.844465,9,16086,2059.5371895070834,0.8069336930884106,16018,4259.382555649288,74.43344128682065,16032,4384.801194694527,145.88269630972957,16085,5290.586605057458,242.61157018795598,16088,8741.874743341165,195.48436394274918,16067,3555.9649373789266,45.02364768561415,16068,5309.215903740653,324.7567983725269,16007,5729.936669554312,61.845733607858506,16073,7052.12393095265,327.61659196983356,16076,7859.890420161548,279.15314579061004
7.0,38.8447,-94.840298,9,16086,2085.8952682069307,350.84770908920416,16067,3310.514384255742,40.607344941585495,16032,4193.052634352106,149.97134947435757,16085,5613.473463279728,244.30881227695306,16037,8621.576202884535,100.52212159262996,16088,8845.068415940372,197.74036575502404,16018,3912.93652777042,73.01796178119548,16007,5414.430401046862,60.04621579017851,16068,5525.320868446259,321.70161698156517,16073,7251.804370239412,325.2106105281408
8.0,38.8447,-94.836131,9,16086,2172.699931222117,341.41214525389574,16067,3087.800135464504,35.51960517951363,16032,4024.61015012308,154.42651649287222,16085,5940.7415551598815,245.82040548597166,16037,8267.029281009758,100.98153916201903,16088,8961.63165081662,199.94105046007516,16018,3569.3466141168446,71.32851213455217,16007,5104.930750979118,58.026133202841834,16068,5755.944160385318,318.88385436905867,16073,7463.588496973939,322.93741372223394
9.0,38.8447,-94.831964,9,16086,2313.156111853303,332.91097722922956,16067,2893.077808057696,29.695197639222044,16032,3882.5083281252582,159.2387359595932,16085,6271.705057199065,247.1734590844614,16037,7913.058194102847,101.48197597999524,16018,3229.524532308067,69.2811358344535,16007,4802.59913561799,55.74840573148589,16068,5999.411716298116,316.28902194067103,16073,7686.4759034824465,320.7929024913669,16014,8256.894385336915,48.206653288779194
10.0,38.8447,-94.827797,8,16086,2498.230911791865,325.52437539535003,16067,2732.338571899046,23.10973735656495,16032,3769.727121323653,164.3770827708055,16085,6605.80855099741,248.39039841437094,16037,7559.743830619804,102.02911249149975,16018,2894.7975118091003,66.75609267019763,16007,4508.877690672515,53.16920834924764,16068,6254.223691704631,313.9011514193804,16073,7919.529171937109,318.7719825518673,16024,7954.848764256446,68.88514989301939
