station,nominal_step_seconds,n_missing_ranges_ge_min_gap,output_csv
16048.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16048.hourly_mm_missing_ranges.csv
16049.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16049.hourly_mm_missing_ranges.csv
16050.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16050.hourly_mm_missing_ranges.csv
16051.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16051.hourly_mm_missing_ranges.csv
16052.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16052.hourly_mm_missing_ranges.csv
16053.hourly_mm,3600,2,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16053.hourly_mm_missing_ranges.csv
16054.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16054.hourly_mm_missing_ranges.csv
16055.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16055.hourly_mm_missing_ranges.csv
16057.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16057.hourly_mm_missing_ranges.csv
16058.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16058.hourly_mm_missing_ranges.csv
16059.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16059.hourly_mm_missing_ranges.csv
16060.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16060.hourly_mm_missing_ranges.csv
16061.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16061.hourly_mm_missing_ranges.csv
16062.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16062.hourly_mm_missing_ranges.csv
16063.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16063.hourly_mm_missing_ranges.csv
16064.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16064.hourly_mm_missing_ranges.csv
16065.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16065.hourly_mm_missing_ranges.csv
16066.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16066.hourly_mm_missing_ranges.csv
16067.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16067.hourly_mm_missing_ranges.csv
16068.hourly_mm,3600,2,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16068.hourly_mm_missing_ranges.csv
16069.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16069.hourly_mm_missing_ranges.csv
16070.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16070.hourly_mm_missing_ranges.csv
16071.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16071.hourly_mm_missing_ranges.csv
16072.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16072.hourly_mm_missing_ranges.csv
16073.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16073.hourly_mm_missing_ranges.csv
16074.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16074.hourly_mm_missing_ranges.csv
16075.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16075.hourly_mm_missing_ranges.csv
16076.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16076.hourly_mm_missing_ranges.csv
16077.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16077.hourly_mm_missing_ranges.csv
16078.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16078.hourly_mm_missing_ranges.csv
16079.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16079.hourly_mm_missing_ranges.csv
16080.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16080.hourly_mm_missing_ranges.csv
16081.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16081.hourly_mm_missing_ranges.csv
16082.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16082.hourly_mm_missing_ranges.csv
16083.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16083.hourly_mm_missing_ranges.csv
16084.hourly_mm,3600,2,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16084.hourly_mm_missing_ranges.csv
16085.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16085.hourly_mm_missing_ranges.csv
16086.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16086.hourly_mm_missing_ranges.csv
16087.hourly_mm,3600,2,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16087.hourly_mm_missing_ranges.csv
16088.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16088.hourly_mm_missing_ranges.csv
16090.hourly_mm,3600,2,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16090.hourly_mm_missing_ranges.csv
16093.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16093.hourly_mm_missing_ranges.csv
16094.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16094.hourly_mm_missing_ranges.csv
16095.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16095.hourly_mm_missing_ranges.csv
16096.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16096.hourly_mm_missing_ranges.csv
16098.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16098.hourly_mm_missing_ranges.csv
16099.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16099.hourly_mm_missing_ranges.csv
16105.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16105.hourly_mm_missing_ranges.csv
16106.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16106.hourly_mm_missing_ranges.csv
16112.hourly_mm,3600,4,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/16112.hourly_mm_missing_ranges.csv
1720.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/1720.hourly_mm_missing_ranges.csv
2320.hourly_mm,3600,3,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/2320.hourly_mm_missing_ranges.csv
2420.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/2420.hourly_mm_missing_ranges.csv
2440.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/2440.hourly_mm_missing_ranges.csv
2460.hourly_mm,3600,6,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/2460.hourly_mm_missing_ranges.csv
2500.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/2500.hourly_mm_missing_ranges.csv
2520.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/2520.hourly_mm_missing_ranges.csv
2540.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/2540.hourly_mm_missing_ranges.csv
2600.hourly_mm,3600,1,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/2600.hourly_mm_missing_ranges.csv
2610.hourly_mm,3600,0,/mnt/12TB/Sujan/Spatial_correlation/Codes/dependent_files/Missing_gap_time/2610.hourly_mm_missing_ranges.csv
