time,event_raw_value_str,event_value,event_unit,hourly_value
2012-02-07 01:38:36+00:00,0.0,0.0,mm,
2012-02-07 13:38:36+00:00,0.0,0.0,mm,
2012-02-08 01:38:37+00:00,0.0,0.0,mm,
2012-02-08 13:38:38+00:00,0.0,0.0,mm,
2012-02-09 01:38:38+00:00,0.0,0.0,mm,
2012-02-09 13:34:53+00:00,0.0,0.0,mm,
2012-02-10 01:38:40+00:00,0.0,0.0,mm,
2012-02-10 13:38:41+00:00,0.0,0.0,mm,
2012-02-11 01:38:42+00:00,0.0,0.0,mm,
2012-02-11 13:38:43+00:00,0.0,0.0,mm,
2012-02-12 01:38:43+00:00,0.0,0.0,mm,
2012-02-12 13:38:44+00:00,0.0,0.0,mm,
2012-02-13 01:38:45+00:00,0.0,0.0,mm,
2012-02-13 13:38:46+00:00,0.0,0.0,mm,
2012-02-13 16:12:51+00:00,0.04,1.016,mm,
2012-02-14 01:38:47+00:00,0.0,0.0,mm,
2012-02-14 09:17:01+00:00,0.04,1.016,mm,
2012-02-14 10:17:48+00:00,0.04,1.016,mm,
2012-02-14 13:38:48+00:00,0.0,0.0,mm,
2012-02-15 01:38:48+00:00,0.0,0.0,mm,
2012-02-15 08:59:28+00:00,0.04,1.016,mm,
2012-02-15 13:38:49+00:00,0.04,1.016,mm,
2012-02-15 18:06:28+00:00,0.04,1.016,mm,
2012-02-16 01:38:50+00:00,0.0,0.0,mm,
2012-02-16 13:38:51+00:00,0.0,0.0,mm,
2012-02-17 01:38:51+00:00,0.0,0.0,mm,
2012-02-17 13:38:52+00:00,0.0,0.0,mm,
2012-02-18 01:35:07+00:00,0.0,0.0,mm,
2012-02-18 13:38:54+00:00,0.0,0.0,mm,
2012-02-19 01:38:54+00:00,0.0,0.0,mm,
2012-02-19 13:38:55+00:00,0.0,0.0,mm,
2012-02-20 01:38:56+00:00,0.0,0.0,mm,
2012-02-20 13:38:57+00:00,0.0,0.0,mm,
2012-02-20 14:20:23+00:00,0.04,1.016,mm,
2012-02-20 14:36:47+00:00,0.04,1.016,mm,
2012-02-20 19:17:46+00:00,0.04,1.016,mm,
2012-02-20 19:19:46+00:00,0.04,1.016,mm,
2012-02-20 19:26:16+00:00,0.04,1.016,mm,
2012-02-20 19:31:40+00:00,0.04,1.016,mm,
2012-02-20 19:36:53+00:00,0.04,1.016,mm,
2012-02-20 19:43:50+00:00,0.08,2.032,mm,
2012-02-20 19:47:33+00:00,0.04,1.016,mm,
2012-02-20 19:51:52+00:00,0.04,1.016,mm,
