time,raw_raw_value_str,raw_value,raw_unit,event_raw_value_str,event_value,event_unit,hourly_value
2013-02-07 00:01:59+00:00,,,,0.04,1.016,mm,
2013-02-07 00:03:15+00:00,,,,0.04,1.016,mm,
2013-02-07 01:46:34+00:00,,,,0.04,1.016,mm,
2013-02-07 04:17:15+00:00,,,,0.04,1.016,mm,
2013-02-07 04:25:13+00:00,,,,0.04,1.016,mm,
2013-02-07 04:34:18+00:00,,,,0.04,1.016,mm,
2013-02-07 04:53:39+00:00,,,,0.04,1.016,mm,
2013-02-07 05:11:44+00:00,,,,0.04,1.016,mm,
2013-02-07 05:26:05+00:00,,,,0.04,1.016,mm,
2013-02-07 05:37:03+00:00,,,,0.04,1.016,mm,
2013-02-07 05:44:33+00:00,,,,0.04,1.016,mm,
2013-02-07 05:51:20+00:00,,,,0.04,1.016,mm,
2013-02-07 05:58:57+00:00,,,,0.04,1.016,mm,
2013-02-07 06:11:50+00:00,,,,0.08,2.032,mm,
2013-02-07 06:17:24+00:00,,,,0.04,1.016,mm,
2013-02-07 06:23:37+00:00,,,,0.04,1.016,mm,
2013-02-07 06:29:57+00:00,,,,0.04,1.016,mm,
2013-02-07 06:35:49+00:00,,,,0.04,1.016,mm,
2013-02-07 06:46:52+00:00,,,,0.04,1.016,mm,
2013-02-07 08:01:19+00:00,,,,0.04,1.016,mm,
2013-02-07 08:19:01+00:00,,,,0.04,1.016,mm,
2013-02-07 08:39:53+00:00,,,,0.04,1.016,mm,
2013-02-07 09:08:08+00:00,,,,0.04,1.016,mm,
2013-02-07 09:29:52+00:00,,,,0.04,1.016,mm,
2013-02-07 10:34:44+00:00,,,,0.04,1.016,mm,
2013-02-07 12:43:45+00:00,,,,0.0,0.0,mm,
2013-02-08 00:41:47+00:00,,,,0.0,0.0,mm,
2013-02-08 12:39:48+00:00,,,,0.0,0.0,mm,
2013-02-09 00:37:49+00:00,,,,0.0,0.0,mm,
2013-02-09 12:35:51+00:00,,,,0.0,0.0,mm,
2013-02-09 20:59:24+00:00,,,,0.04,1.016,mm,
2013-02-10 00:33:52+00:00,,,,0.0,0.0,mm,
2013-02-10 12:31:53+00:00,,,,0.0,0.0,mm,
2013-02-11 00:29:54+00:00,,,,0.0,0.0,mm,
2013-02-11 12:27:56+00:00,,,,0.0,0.0,mm,
2013-02-12 00:25:57+00:00,,,,0.0,0.0,mm,
2013-02-12 12:23:58+00:00,,,,0.0,0.0,mm,
2013-02-12 15:00:03+00:00,,,,0.04,1.016,mm,
2013-02-12 15:00:24+00:00,,,,0.04,1.016,mm,
2013-02-13 00:22:00+00:00,,,,0.0,0.0,mm,
2013-02-13 10:53:35+00:00,,,,0.04,1.016,mm,
2013-02-13 10:53:59+00:00,,,,0.04,1.016,mm,
2013-02-13 10:54:59+00:00,,,,0.04,1.016,mm,
2013-02-13 10:55:20+00:00,,,,0.04,1.016,mm,
2013-02-13 10:55:43+00:00,,,,0.04,1.016,mm,
2013-02-13 12:20:01+00:00,,,,0.0,0.0,mm,
2013-02-13 15:08:23+00:00,,,,0.04,1.016,mm,
