time,event_raw_value_str,event_value,event_unit
2013-08-02 03:01:49+00:00,0.04,1.016,mm
2013-08-02 03:39:25+00:00,0.04,1.016,mm
2013-08-02 04:11:48+00:00,0.04,1.016,mm
2013-08-02 04:33:28+00:00,0.04,1.016,mm
2013-08-02 04:53:27+00:00,0.04,1.016,mm
2013-08-02 05:08:55+00:00,0.04,1.016,mm
2013-08-02 05:28:00+00:00,0.04,1.016,mm
2013-08-02 05:41:53+00:00,0.04,1.016,mm
2013-08-02 05:55:06+00:00,0.04,1.016,mm
2013-08-02 06:04:10+00:00,0.04,1.016,mm
2013-08-02 06:13:09+00:00,0.04,1.016,mm
2013-08-02 06:28:41+00:00,0.04,1.016,mm
2013-08-02 07:31:31+00:00,0.0,0.0,mm
2013-08-02 19:29:35+00:00,0.0,0.0,mm
2013-08-03 07:27:39+00:00,0.0,0.0,mm
2013-08-03 19:25:43+00:00,0.0,0.0,mm
2013-08-04 07:23:47+00:00,0.0,0.0,mm
2013-08-04 09:45:32+00:00,0.04,1.016,mm
2013-08-04 09:54:57+00:00,0.04,1.016,mm
2013-08-04 10:05:57+00:00,0.04,1.016,mm
2013-08-04 10:15:19+00:00,0.04,1.016,mm
2013-08-04 10:24:10+00:00,0.04,1.016,mm
2013-08-04 10:32:14+00:00,0.04,1.016,mm
2013-08-04 10:40:28+00:00,0.04,1.016,mm
2013-08-04 10:47:37+00:00,0.04,1.016,mm
2013-08-04 10:52:00+00:00,0.04,1.016,mm
2013-08-04 10:54:06+00:00,0.04,1.016,mm
2013-08-04 10:57:01+00:00,0.04,1.016,mm
2013-08-04 11:03:06+00:00,0.04,1.016,mm
2013-08-04 11:06:39+00:00,0.04,1.016,mm
2013-08-04 11:08:13+00:00,0.04,1.016,mm
2013-08-04 11:09:53+00:00,0.04,1.016,mm
2013-08-04 11:11:32+00:00,0.04,1.016,mm
2013-08-04 11:13:20+00:00,0.04,1.016,mm
2013-08-04 11:14:58+00:00,0.04,1.016,mm
2013-08-04 11:16:35+00:00,0.04,1.016,mm
2013-08-04 11:19:47+00:00,0.08,2.032,mm
2013-08-04 11:22:05+00:00,0.04,1.016,mm
2013-08-04 11:23:57+00:00,0.04,1.016,mm
2013-08-04 11:34:04+00:00,0.08,2.032,mm
2013-08-04 11:40:35+00:00,0.04,1.016,mm
2013-08-04 11:48:06+00:00,0.04,1.016,mm
2013-08-04 12:05:12+00:00,0.04,1.016,mm
2013-08-04 13:17:39+00:00,0.04,1.016,mm
2013-08-04 19:21:50+00:00,0.0,0.0,mm
2013-08-05 07:19:54+00:00,0.0,0.0,mm
2013-08-05 19:17:58+00:00,0.0,0.0,mm
2013-08-06 07:16:02+00:00,0.0,0.0,mm
2013-08-06 19:14:06+00:00,0.0,0.0,mm
2013-08-07 05:37:58+00:00,0.04,1.016,mm
2013-08-07 05:49:02+00:00,0.04,1.016,mm
2013-08-07 06:01:32+00:00,0.04,1.016,mm
2013-08-07 06:10:09+00:00,0.04,1.016,mm
2013-08-07 06:33:48+00:00,0.04,1.016,mm
2013-08-07 07:12:10+00:00,0.0,0.0,mm
2013-08-07 19:10:14+00:00,0.0,0.0,mm
2013-08-08 07:08:18+00:00,0.0,0.0,mm
2013-08-08 19:06:22+00:00,0.0,0.0,mm
2013-08-09 07:04:26+00:00,0.0,0.0,mm
2013-08-09 19:02:30+00:00,0.0,0.0,mm
2013-08-10 07:00:34+00:00,0.0,0.0,mm
2013-08-10 18:58:38+00:00,0.0,0.0,mm
2013-08-11 06:56:42+00:00,0.0,0.0,mm
2013-08-11 18:54:46+00:00,0.0,0.0,mm
2013-08-12 06:20:41+00:00,0.08,2.032,mm
2013-08-12 06:42:00+00:00,0.08,2.032,mm
2013-08-12 06:43:23+00:00,0.04,1.016,mm
2013-08-12 06:44:22+00:00,0.04,1.016,mm
2013-08-12 06:46:28+00:00,0.08,2.032,mm
2013-08-12 06:47:21+00:00,0.04,1.016,mm
2013-08-12 06:48:06+00:00,0.04,1.016,mm
2013-08-12 06:48:59+00:00,0.04,1.016,mm
2013-08-12 06:50:14+00:00,0.04,1.016,mm
2013-08-12 06:52:35+00:00,0.04,1.016,mm
2013-08-12 06:52:58+00:00,0.0,0.0,mm
2013-08-12 06:56:26+00:00,0.04,1.016,mm
2013-08-12 07:00:59+00:00,0.04,1.016,mm
2013-08-12 07:34:10+00:00,0.08,2.032,mm
2013-08-12 07:51:17+00:00,0.04,1.016,mm
2013-08-12 08:23:22+00:00,0.04,1.016,mm
2013-08-12 18:50:53+00:00,0.0,0.0,mm
2013-08-13 06:48:57+00:00,0.0,0.0,mm
2013-08-13 18:47:01+00:00,0.0,0.0,mm
2013-08-14 06:45:05+00:00,0.0,0.0,mm
2013-08-14 18:43:09+00:00,0.0,0.0,mm
2013-08-15 06:41:13+00:00,0.0,0.0,mm
2013-08-15 18:39:17+00:00,0.0,0.0,mm
2013-08-16 06:37:21+00:00,0.0,0.0,mm
2013-08-16 18:35:25+00:00,0.0,0.0,mm
2013-08-17 06:33:29+00:00,0.0,0.0,mm
2013-08-17 18:31:33+00:00,0.0,0.0,mm
2013-08-18 06:29:37+00:00,0.0,0.0,mm
2013-08-18 18:27:41+00:00,0.0,0.0,mm
2013-08-19 06:25:45+00:00,0.0,0.0,mm
2013-08-19 18:23:49+00:00,0.0,0.0,mm
2013-08-20 06:21:53+00:00,0.0,0.0,mm
2013-08-20 18:19:58+00:00,0.0,0.0,mm
2013-08-21 06:18:01+00:00,0.0,0.0,mm
2013-08-21 18:16:06+00:00,0.0,0.0,mm
2013-08-22 06:14:09+00:00,0.0,0.0,mm
2013-08-22 18:12:14+00:00,0.0,0.0,mm
2013-08-23 06:10:17+00:00,0.0,0.0,mm
2013-08-23 18:08:22+00:00,0.0,0.0,mm
2013-08-24 06:06:26+00:00,0.0,0.0,mm
2013-08-24 18:04:30+00:00,0.0,0.0,mm
2013-08-25 06:02:34+00:00,0.0,0.0,mm
2013-08-25 18:00:38+00:00,0.0,0.0,mm
2013-08-26 05:58:42+00:00,0.0,0.0,mm
2013-08-26 17:56:46+00:00,0.0,0.0,mm
2013-08-27 05:54:50+00:00,0.0,0.0,mm
2013-08-27 17:52:54+00:00,0.0,0.0,mm
2013-08-28 05:50:58+00:00,0.0,0.0,mm
2013-08-28 17:49:02+00:00,0.0,0.0,mm
2013-08-29 05:47:06+00:00,0.0,0.0,mm
2013-08-30 05:43:14+00:00,0.0,0.0,mm
2013-08-30 17:41:18+00:00,0.0,0.0,mm
2013-08-31 05:39:22+00:00,0.0,0.0,mm
2013-08-31 17:37:26+00:00,0.0,0.0,mm
2013-09-01 05:35:30+00:00,0.0,0.0,mm
2013-09-01 06:59:34+00:00,0.04,1.016,mm
2013-09-01 07:01:42+00:00,0.04,1.016,mm
2013-09-01 07:03:15+00:00,0.04,1.016,mm
2013-09-01 07:04:23+00:00,0.04,1.016,mm
2013-09-01 07:05:25+00:00,0.04,1.016,mm
2013-09-01 07:06:22+00:00,0.04,1.016,mm
2013-09-01 07:07:47+00:00,0.08,2.032,mm
2013-09-01 07:08:35+00:00,0.04,1.016,mm
2013-09-01 07:09:32+00:00,0.04,1.016,mm
2013-09-01 07:10:29+00:00,0.04,1.016,mm
2013-09-01 07:11:05+00:00,0.04,1.016,mm
2013-09-01 07:11:42+00:00,0.04,1.016,mm
2013-09-01 07:12:28+00:00,0.04,1.016,mm
2013-09-01 07:13:23+00:00,0.04,1.016,mm
2013-09-01 07:14:59+00:00,0.04,1.016,mm
2013-09-01 07:16:21+00:00,0.04,1.016,mm
2013-09-01 07:17:46+00:00,0.04,1.016,mm
2013-09-01 07:19:45+00:00,0.04,1.016,mm
2013-09-01 07:22:17+00:00,0.04,1.016,mm
2013-09-01 07:27:10+00:00,0.04,1.016,mm
2013-09-01 07:38:36+00:00,0.04,1.016,mm
2013-09-01 08:13:43+00:00,0.04,1.016,mm
2013-09-01 08:26:45+00:00,0.04,1.016,mm
2013-09-01 08:37:00+00:00,0.04,1.016,mm
2013-09-01 08:49:14+00:00,0.04,1.016,mm
2013-09-01 17:33:34+00:00,0.0,0.0,mm
2013-09-02 17:29:42+00:00,0.0,0.0,mm
2013-09-03 05:27:46+00:00,0.0,0.0,mm
2013-09-03 17:25:50+00:00,0.0,0.0,mm
2013-09-04 05:23:54+00:00,0.0,0.0,mm
2013-09-04 17:21:59+00:00,0.0,0.0,mm
2013-09-05 05:20:03+00:00,0.0,0.0,mm
2013-09-05 17:18:07+00:00,0.0,0.0,mm
2013-09-06 05:16:11+00:00,0.0,0.0,mm
2013-09-06 17:14:15+00:00,0.0,0.0,mm
2013-09-07 05:12:19+00:00,0.0,0.0,mm
2013-09-07 17:10:23+00:00,0.0,0.0,mm
2013-09-08 05:08:27+00:00,0.0,0.0,mm
2013-09-08 17:06:31+00:00,0.0,0.0,mm
2013-09-09 05:04:35+00:00,0.0,0.0,mm
2013-09-09 17:02:39+00:00,0.0,0.0,mm
2013-09-10 05:00:43+00:00,0.0,0.0,mm
2013-09-10 16:58:47+00:00,0.0,0.0,mm
2013-09-11 04:56:51+00:00,0.0,0.0,mm
2013-09-11 16:54:55+00:00,0.0,0.0,mm
2013-09-12 04:52:59+00:00,0.0,0.0,mm
2013-09-12 16:51:04+00:00,0.0,0.0,mm
2013-09-13 04:49:07+00:00,0.0,0.0,mm
2013-09-13 16:47:12+00:00,0.0,0.0,mm
2013-09-14 04:45:16+00:00,0.0,0.0,mm
2013-09-14 16:43:20+00:00,0.0,0.0,mm
2013-09-15 04:41:24+00:00,0.0,0.0,mm
2013-09-15 11:33:04+00:00,0.04,1.016,mm
2013-09-15 16:39:28+00:00,0.0,0.0,mm
2013-09-15 23:30:01+00:00,0.04,1.016,mm
2013-09-15 23:30:57+00:00,0.04,1.016,mm
2013-09-15 23:31:36+00:00,0.04,1.016,mm
2013-09-15 23:32:05+00:00,0.04,1.016,mm
2013-09-15 23:32:42+00:00,0.04,1.016,mm
2013-09-15 23:34:07+00:00,0.08,2.032,mm
2013-09-15 23:36:20+00:00,0.04,1.016,mm
2013-09-15 23:40:54+00:00,0.04,1.016,mm
2013-09-15 23:49:33+00:00,0.04,1.016,mm
2013-09-15 23:53:14+00:00,0.04,1.016,mm
2013-09-16 01:40:48+00:00,0.04,1.016,mm
2013-09-16 03:58:30+00:00,0.04,1.016,mm
2013-09-16 04:37:31+00:00,0.0,0.0,mm
2013-09-16 16:35:35+00:00,0.0,0.0,mm
2013-09-17 04:33:39+00:00,0.0,0.0,mm
2013-09-17 06:31:38+00:00,0.04,1.016,mm
2013-09-17 07:41:15+00:00,0.04,1.016,mm
