,station1,station2,distance_km,correlation
0,3620,3600,1.4155288875276528,0.9673270722619276
1,3620,2540,9.844914389429565,0.4523694208115482
2,3620,2520,12.308294855311967,0.2844249500577484
3,3620,3810,4.882184901611277,0.5542822313450879
4,3620,3770,20.80403273186744,-0.252250320410439
5,3620,16048,53.07095396346315,-0.9449111825230682
6,3620,16035,56.34208376763955,-0.3592106040535498
7,3620,16040,53.49698170114927,-1.0
8,3620,16049,49.60938762482338,-1.0
9,3620,2800,47.86071717257522,-0.6644704619272651
10,3620,2320,40.725020836705745,-1.0
11,3620,2700,40.70539860115879,0.031086831074451413
12,3620,2710,38.0461812912521,-0.061824466773518605
13,3620,2420,35.82917024287033,-0.632611751754975
14,3620,5110,32.844715507151875,0.7469029461643668
15,3620,2440,31.84772720018064,0.670082701650043
16,3620,2460,29.43556817065566,0.4355724051843766
17,3620,4080,30.987354330125942,0.9222215748405199
18,3620,4040,29.616266820508013,0.43328716491862745
19,3620,4160,23.100342525726408,0.40705569119019475
20,3620,2500,25.06956844726054,0.25864106040209756
21,3620,16093,33.00249513317577,2.788250192751583e-17
22,3620,5600,32.71868700193334,0.7263972036812305
23,3620,16094,32.413989578625824,-0.4663213712685439
24,3620,5700,29.634918330495157,0.9337709459921324
25,3620,5800,28.518929303906404,0.6962667520636939
26,3620,5900,27.896514797946868,0.3041539134599181
27,3620,5170,31.878485440967236,0.7901020372802622
28,3620,5100,31.117378211950246,0.017233696556464513
29,3620,5200,25.306110761286803,0.6071138244127523
30,3620,5400,28.140576723907227,0.7145761347396183
31,3620,6000,29.24559245761994,0.7431303939461165
32,3620,16087,67.27070566511418,-0.37640370458140543
33,3620,16085,56.805550509921474,0.5773502691896257
34,3620,16088,61.46112318255528,0.5005202012851406
35,3620,16086,50.83200634420019,0.45454545454545453
36,3620,16068,49.986589777739745,0.727606875108999
37,3620,16073,48.8581431028158,0.5000000000000001
38,3620,16071,47.17453681546372,0.5000000000000001
39,3620,16070,44.51781764868004,0.8164965809277258
40,3620,16072,44.88646876863374,0.5345224838248488
41,3620,16074,42.82627679165852,0.7492686492653552
42,3620,16037,51.86950928879121,0.6246950475544242
43,3620,16038,52.08264786441672,0.4873773249664941
44,3620,16039,52.32235975196523,-0.5000000000000001
45,3620,3640,2.7125980817204036,0.9390516088062782
