time_local,16006,16010,16014,16016,16017,16038,16042,16045,16050,16051,16052,16053,16054,16055,16057,16058,16059,16060,16061,16062,16063,16064,16065,16066,16067,16068,16069,16070,16071,16072,16073,16074,16075,16076,16077,16079,16080,16081,16082,16085,16086,16090,16095,16096,2440,2460,2500,2600,2610,2620,2630,2640,2650,2700,2790,2840,2900,3000,3680,3690,3700,3720,3740,3760,3770,3800,3810,3860,3900,3980,4040,4060,4080,4160,5110,5200,5400,5600,5700,5800,6000,7000,7010,7020,7030,7050,7060
2016-08-26 18:00:00-05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.016,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,1.016,,,,,,,,,2.032,,,
2016-08-26 19:00:00-05:00,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,1.016,0.0,,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,1.016,,,
2016-08-26 20:00:00-05:00,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,1.016,,,,,,0.0,,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,1.016,,,
2016-08-26 21:00:00-05:00,,,1.016,,,,,6.096,0.0,0.0,,,,,,,,0.0,,,,,,,,0.0,,,1.016,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,1.016,,,0.0
2016-08-26 22:00:00-05:00,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,2.032,,,,,,,,,,,,,,,,,,,,,,,,,2.032,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,1.016,,,
2016-08-26 23:00:00-05:00,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1.016,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,
2016-08-27 00:00:00-05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.032,,,,,,,4.064,1.016,3.048,6.096,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,1.016,,0.0,
2016-08-27 01:00:00-05:00,,,,,,,,,,,,,,,,2.032,,,,,6.096,,27.432,,,,,14.224,2.032,21.336,,35.56,6.096,,1.016,32.512,2.032,10.16,19.304,,,,,,,,,58.928,14.224,1.016,,,,,,,,,,50.8,,12.192,4.064,,,16.256,37.592,2.032,1.016,,,,,0.0,,,,,,,,,13.208,1.016,28.956,16.256,11.176
2016-08-27 02:00:00-05:00,1.016,,,,,,,,39.624,33.528,55.88,31.496,55.88,32.512,10.16,32.512,14.224,26.416,16.256,45.72,27.432,39.624,8.128,5.08,1.016,19.304,2.032,30.48,2.032,26.416,12.192,2.032,23.368,14.224,,2.032,,2.032,,8.128,11.176,54.864,,0.0,,,,46.736,64.008,80.264,66.04,40.64,47.752,,,,25.4,24.384,41.656,41.656,48.768,57.912,72.136,10.16,10.16,41.656,41.656,56.896,50.8,25.4,,,,,,3.048,,,12.192,3.048,,46.736,44.704,,0.508,32.512,55.88
2016-08-27 03:00:00-05:00,69.088,10.668,3.048,27.432,48.768,,,,45.72,61.976,39.624,61.976,25.4,17.272,11.176,1.016,13.208,5.08,6.096,36.576,,32.512,,9.144,15.24,7.112,11.176,2.032,1.016,1.016,14.224,,1.016,6.096,11.176,1.016,8.128,,1.016,,7.112,45.72,36.576,53.848,39.624,50.8,73.152,1.016,5.08,9.144,9.144,11.176,33.528,,8.128,,56.896,59.944,13.208,0.0,12.192,2.032,1.016,40.64,37.592,1.016,,4.064,4.064,20.32,30.48,17.272,14.224,77.21600000000001,30.48,75.184,74.168,60.96,81.28,79.248,54.864,23.368,,,,,
2016-08-27 04:00:00-05:00,5.08,0.508,2.032,2.032,,,0.0,0.0,9.144,12.192,14.224,9.144,15.24,6.096,13.208,7.112,14.224,13.208,18.288,9.144,5.08,12.192,1.016,10.16,2.032,2.032,2.032,4.064,1.016,8.128,1.016,6.096,8.128,2.032,2.032,9.144,,10.16,20.32,2.032,1.016,12.192,1.016,4.064,23.368,29.464,32.512,,,,1.016,1.016,1.016,,6.096,,15.24,16.256,,1.016,1.016,,2.032,8.128,7.112,,,0.0,2.032,2.032,43.688,40.64,34.544,16.256,16.256,16.256,14.224,7.112,12.192,16.256,23.368,8.128,,,,,
2016-08-27 05:00:00-05:00,15.24,8.636,8.128,8.128,8.128,4.572,7.112,4.064,30.48,23.368,32.512,22.352,29.464,20.32,21.336,9.144,21.336,22.352,18.288,34.544,3.048,43.688,1.016,13.208,8.128,22.352,11.176,5.08,1.016,6.096,20.32,10.16,2.032,12.192,3.048,29.464,1.016,18.288,18.288,2.032,7.112,26.416,14.224,13.208,,,11.176,,1.016,1.016,,2.032,3.048,,7.112,,19.304,22.352,1.016,,,,,1.016,2.032,,1.016,,,0.0,1.016,,,13.208,,7.112,4.064,9.144,22.352,8.128,,21.336,2.032,,0.508,1.016,1.016
2016-08-27 06:00:00-05:00,5.08,2.54,1.016,3.048,4.064,0.254,3.048,3.048,3.048,3.048,1.016,3.048,1.016,,2.032,3.048,1.016,,2.032,1.016,2.032,2.032,3.048,2.032,,,1.016,11.176,1.016,10.16,,7.112,5.08,,1.016,9.144,,10.16,12.192,,,3.048,3.048,5.08,20.32,17.272,7.112,1.016,,1.016,1.016,1.016,1.016,23.368,19.304,12.192,3.048,3.048,1.016,,1.016,1.016,1.016,4.064,3.048,,,1.016,1.016,1.016,14.224,19.304,20.32,5.08,18.288,5.08,8.128,6.096,3.048,13.208,16.256,1.016,1.016,,,1.016,1.016
2016-08-27 07:00:00-05:00,,0.254,,,,,,,,,,,0.0,,,2.032,,,0.0,1.016,3.048,,5.08,,,,,,1.016,1.016,1.016,4.064,2.032,,,1.016,,,0.0,,,,,,,,1.016,1.016,1.016,,,1.016,,,,1.016,1.016,,1.016,1.016,1.016,2.032,2.032,,,2.032,3.048,2.032,,1.016,,,0.0,,,,,,0.0,0.0,,2.032,1.016,,1.27,1.016,1.016
2016-08-27 08:00:00-05:00,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,,,,0.0,0.0,,,,0.0,0.0,,,,1.016,1.016,,,1.016,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,1.016,
2016-08-27 09:00:00-05:00,,,0.0,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,0.0,,,1.016,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.016,,,,,,,,,1.016,,,,,,0.0,,,,,,0.0
2016-08-27 10:00:00-05:00,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,1.016,1.016,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,
2016-08-27 11:00:00-05:00,,,,,,,,,,,,0.0,1.016,,,,,,1.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.016,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,
2016-08-27 12:00:00-05:00,,,,1.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.016,,,,,,,,0.0,1.016,,,0.0,,,,,,,,,,,,,2.032,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,
