time_local,16005,16006,16007,16008,16010,16011,16013,16014,16015,16016,16017,16018,16019,16020,16021,16022,16023,16026,16028,16029,16030,16031,16032,16036,16037,16038,16040,16045,16048,16051,16053,16055,16058,16062,16064,16066,16069,16070,16071,16072,16075,16076,16077,16079,16080,16082,16085,16087,16088,16094,16096,1720,2420,2460,2540,2600,2700,2710,2720,2740,2790,2800,2890,2900,3700,3720,4000,4160,5200,5400,5600,5700,7010,7060,7080
2015-09-10 11:00:00-05:00,3.048,6.096,6.096,4.064,4.318,4.064,4.064,7.112,5.08,5.08,5.08,6.096,5.08,11.176,9.144,9.144,8.128,8.128,11.176,4.064,9.144,6.096,9.144,4.064,6.096,6.8580000000000005,7.112,3.048,7.112,4.064,6.096,13.208,12.192,12.192,9.144,10.16,10.16,9.144,11.176,12.192,18.288,5.08,2.032,5.08,3.048,5.08,3.048,1.016,5.08,5.08,7.112,4.064,4.064,1.016,1.016,,2.032,2.032,1.016,1.016,4.064,2.032,1.016,6.096,,0.0,,2.032,2.032,2.032,4.064,6.096,1.016,1.016,14.224
2015-09-10 12:00:00-05:00,1.016,,,,0.254,1.016,1.016,,1.016,1.016,1.016,,1.016,,1.016,,,1.016,1.016,,,1.016,,,1.016,,,1.016,,,1.016,,,1.016,1.016,,,,,,,,,,,,,,,,,,,1.016,,,1.016,1.016,2.032,1.016,1.016,1.016,1.016,1.016,1.016,,1.016,,1.016,1.016,,,1.016,,
2015-09-10 13:00:00-05:00,,,,,,,,,,,,,,,,,,,,,,,,,,0.254,,,,,,,1.016,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
2015-09-10 14:00:00-05:00,,,1.016,,,,,,,,,,,,,,,,,,,,,,,,,,,1.016,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,0.0,,,,,
2015-09-10 15:00:00-05:00,,,,,,,,,,,,,,,,,1.016,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-10 16:00:00-05:00,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
2015-09-10 17:00:00-05:00,,,,,0.0,,,,,0.0,0.0,,0.0,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-10 18:00:00-05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
2015-09-10 19:00:00-05:00,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,1.016,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,1.016,,,,0.0,,,0.0
