station_1,station_2,distance_km,correlation,n_overlap,pos_frac_1,pos_frac_2,miss_frac_1,miss_frac_2
3620,3600,1.4155288875276528,0.965285204975774,14,0.9285714285714286,1.0,0.5333333333333333,0.5333333333333333
3620,7010,19.844229167494426,0.7378255685869021,12,0.9285714285714286,0.9285714285714286,0.5333333333333333,0.5333333333333333
3620,2540,9.844914389429565,0.5367126150366607,13,0.9285714285714286,1.0,0.5333333333333333,0.5666666666666667
3620,2520,12.308294855311967,0.47173792644808893,12,0.9285714285714286,0.9230769230769231,0.5333333333333333,0.5666666666666667
3620,3810,4.882184901611277,0.8885612484372732,12,0.9285714285714286,0.9230769230769231,0.5333333333333333,0.5666666666666667
3620,3770,20.80403273186744,0.35419865102657094,11,0.9285714285714286,0.9166666666666666,0.5333333333333333,0.6
3620,16049,49.60938762482338,0.45711646185847593,9,0.9285714285714286,0.8333333333333334,0.5333333333333333,0.6
3620,2700,40.70539860115879,0.39709427608398107,8,0.9285714285714286,0.8333333333333334,0.5333333333333333,0.6
3620,5110,32.844715507151875,0.5231122954124666,9,0.9285714285714286,0.8333333333333334,0.5333333333333333,0.6
3620,2460,29.43556817065566,0.31778154300010103,10,0.9285714285714286,0.8571428571428571,0.5333333333333333,0.5333333333333333
3620,4060,30.71084826631733,0.20329529577337166,9,0.9285714285714286,0.8333333333333334,0.5333333333333333,0.6
3620,4040,29.616266820508013,0.2988254274415531,9,0.9285714285714286,0.8461538461538461,0.5333333333333333,0.5666666666666667
3620,4160,23.100342525726408,0.6410266305116962,10,0.9285714285714286,0.8571428571428571,0.5333333333333333,0.5333333333333333
3620,2500,25.06956844726054,0.5910167190595662,11,0.9285714285714286,0.9230769230769231,0.5333333333333333,0.5666666666666667
3620,16093,33.00249513317577,0.4238217096661034,9,0.9285714285714286,0.8333333333333334,0.5333333333333333,0.6
3620,5600,32.71868700193334,0.4669835189373498,11,0.9285714285714286,0.9166666666666666,0.5333333333333333,0.6
3620,16094,32.413989578625824,0.25238880734650304,10,0.9285714285714286,0.8571428571428571,0.5333333333333333,0.5333333333333333
3620,5700,29.634918330495157,0.40893804757062485,9,0.9285714285714286,0.8571428571428571,0.5333333333333333,0.5333333333333333
3620,5800,28.518929303906404,0.4192803568710779,10,0.9285714285714286,0.9166666666666666,0.5333333333333333,0.6
3620,5170,31.878485440967236,0.3577772811123253,10,0.9285714285714286,0.9166666666666666,0.5333333333333333,0.6
3620,5100,31.117378211950246,0.4190526437399131,9,0.9285714285714286,0.9166666666666666,0.5333333333333333,0.6
3620,5200,25.306110761286803,0.5985343152418308,10,0.9285714285714286,0.9166666666666666,0.5333333333333333,0.6
3620,5400,28.140576723907227,0.41799815525871703,9,0.9285714285714286,0.7857142857142857,0.5333333333333333,0.5333333333333333
3620,6000,29.24559245761994,0.42730016372419244,11,0.9285714285714286,0.9230769230769231,0.5333333333333333,0.5666666666666667
3620,16073,48.8581431028158,0.32462179731338586,8,0.9285714285714286,0.8333333333333334,0.5333333333333333,0.6
3620,16069,47.448440735869674,-0.06472747168076519,9,0.9285714285714286,0.8333333333333334,0.5333333333333333,0.6
3620,16070,44.51781764868004,0.1084093781081336,10,0.9285714285714286,0.8125,0.5333333333333333,0.4666666666666667
3620,16072,44.88646876863374,-0.03397350375304827,9,0.9285714285714286,0.8461538461538461,0.5333333333333333,0.5666666666666667
3620,16074,42.82627679165852,-0.17134081816921157,10,0.9285714285714286,0.9230769230769231,0.5333333333333333,0.5666666666666667
3620,16038,52.08264786441672,0.48598038736053567,10,0.9285714285714286,0.8333333333333334,0.5333333333333333,0.6
3620,3640,2.7125980817204036,0.8420160800363106,13,0.9285714285714286,1.0,0.5333333333333333,0.5
3620,2610,11.928133194959672,0.38124066792908157,13,0.9285714285714286,0.8125,0.5333333333333333,0.4666666666666667
3620,3720,6.403634139923678,0.8688332912717665,13,0.9285714285714286,1.0,0.5333333333333333,0.5666666666666667
3620,3860,11.159630723741587,0.6793901590884925,12,0.9285714285714286,0.9230769230769231,0.5333333333333333,0.5666666666666667
3620,16018,50.362202395709076,0.6122505268485571,10,0.9285714285714286,0.8333333333333334,0.5333333333333333,0.6
3620,16007,48.598837598292754,0.8597967779407181,8,0.9285714285714286,0.8333333333333334,0.5333333333333333,0.6
3620,16014,45.323641497613245,0.9183554990871547,9,0.9285714285714286,0.8333333333333334,0.5333333333333333,0.6
3620,16028,41.273627381875166,0.39392652491079516,11,0.9285714285714286,0.7857142857142857,0.5333333333333333,0.5333333333333333
3620,16017,40.04724625722299,0.63371407353276,11,0.9285714285714286,0.8666666666666667,0.5333333333333333,0.5
3620,16006,35.27289882242157,0.36907645708268044,9,0.9285714285714286,0.75,0.5333333333333333,0.6
3620,16083,60.02152753602911,0.3516522575129147,11,0.9285714285714286,0.8461538461538461,0.5333333333333333,0.5666666666666667
3620,16076,54.87995893970766,0.4687268131775695,8,0.9285714285714286,0.8333333333333334,0.5333333333333333,0.6
3620,16077,55.191106937257864,0.15092391486486892,9,0.9285714285714286,0.75,0.5333333333333333,0.6
3620,16082,56.73266201011458,0.021993230600009385,9,0.9285714285714286,0.8333333333333334,0.5333333333333333,0.6
3620,16079,47.46466710509959,0.057367258423213094,10,0.9285714285714286,0.9166666666666666,0.5333333333333333,0.6
3620,2840,40.06882456773053,0.038562991675671225,7,0.9285714285714286,0.8333333333333334,0.5333333333333333,0.6
3620,4200,7.1914839198007385,0.7130452211966322,13,0.9285714285714286,0.9285714285714286,0.5333333333333333,0.5333333333333333
3620,3920,15.41717540529516,0.47833435776476274,11,0.9285714285714286,0.9230769230769231,0.5333333333333333,0.5666666666666667
3620,16055,43.001717168471465,0.24115001835130226,10,0.9285714285714286,0.8571428571428571,0.5333333333333333,0.5333333333333333
3620,16057,39.20500572367303,-0.16346295685287301,10,0.9285714285714286,0.9285714285714286,0.5333333333333333,0.5333333333333333
3620,16061,38.759437940938064,0.402868795704221,10,0.9285714285714286,0.8571428571428571,0.5333333333333333,0.5333333333333333
3620,16075,38.19431867762818,0.3483046520294372,12,0.9285714285714286,0.875,0.5333333333333333,0.4666666666666667
3620,16065,34.76006289394019,0.032313335205859,10,0.9285714285714286,0.9333333333333333,0.5333333333333333,0.5
3620,16064,32.64972147539576,0.4816547130926463,10,0.9285714285714286,0.9285714285714286,0.5333333333333333,0.5333333333333333
3620,16062,35.29230586954195,0.5252559480121188,10,0.9285714285714286,0.9285714285714286,0.5333333333333333,0.5333333333333333
3620,16059,34.28562525074618,0.6249260949892194,10,0.9285714285714286,0.9285714285714286,0.5333333333333333,0.5333333333333333
3620,16060,35.16609607104722,0.6141854113977353,10,0.9285714285714286,0.9230769230769231,0.5333333333333333,0.5666666666666667
3620,16058,35.046554257642434,0.4672769147235184,10,0.9285714285714286,0.9285714285714286,0.5333333333333333,0.5333333333333333
3620,16063,34.87168678217397,0.4937498147392569,11,0.9285714285714286,0.8666666666666667,0.5333333333333333,0.5
3620,2620,15.054311947578144,0.31314461762339446,12,0.9285714285714286,0.8571428571428571,0.5333333333333333,0.5333333333333333
3620,2600,5.016410146139531,0.8397167942029652,13,0.9285714285714286,1.0,0.5333333333333333,0.5333333333333333
3620,2650,15.540112579286975,0.6269865829039445,10,0.9285714285714286,0.8,0.5333333333333333,0.5
3620,3980,15.0393052962017,0.25146663198750047,11,0.9285714285714286,1.0,0.5333333333333333,0.5666666666666667
3620,2630,13.309483450783755,0.3212996803018782,12,0.9285714285714286,0.9230769230769231,0.5333333333333333,0.5666666666666667
3620,2640,13.452277437497795,0.6126785883550346,11,0.9285714285714286,0.8666666666666667,0.5333333333333333,0.5
3620,16042,49.228521152443776,0.49650141173592255,9,0.9285714285714286,0.8333333333333334,0.5333333333333333,0.6
3620,16044,48.52659031011927,0.448305202765568,9,0.9285714285714286,0.8333333333333334,0.5333333333333333,0.6
3620,16045,47.79374049667481,0.4735676362814246,9,0.9285714285714286,0.8333333333333334,0.5333333333333333,0.6
3620,3820,8.330978622191434,0.8951276139507679,13,0.9285714285714286,0.9230769230769231,0.5333333333333333,0.5666666666666667
3620,3800,8.060302190411967,0.6475312086172091,13,0.9285714285714286,0.8666666666666667,0.5333333333333333,0.5
